# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,7.666110216421149687e-15,1.209739993244758392e-09,1.212131130840346742e-09,2.283422553922127207e+01,2.333341066251740870e+01
5.549999999999999822e+00,8.601483946111447797e-15,1.522967611653194971e-09,1.525978959285346822e-09,2.258419807343348396e+01,2.308338335864727497e+01
5.599999999999999645e+00,9.650981939078511199e-15,1.917285558060413432e-09,1.921088055640212308e-09,2.233403132234011679e+01,2.283321679683814409e+01
5.650000000000000355e+00,1.082852723654286103e-14,2.413663193660904585e-09,2.418498760480771569e-09,2.208369469287620745e+01,2.258287735198640434e+01
5.700000000000000178e+00,1.214974117161837958e-14,3.038489442653572561e-09,3.044698578701371441e-09,2.183313641007984529e+01,2.233231097358618200e+01
5.750000000000000000e+00,1.363215044311562702e-14,3.824983016315252380e-09,3.833032643792746484e-09,2.158223950079064224e+01,2.208140029411659100e+01
5.799999999999999822e+00,1.529541941755696371e-14,4.814936973774736018e-09,4.825480215161984292e-09,2.133095163177496545e+01,2.183009085701256424e+01
5.849999999999999645e+00,1.716161072771528042e-14,6.060963494432357731e-09,6.074888222890633346e-09,2.107913155332006738e+01,2.157824180140314496e+01
5.900000000000000355e+00,1.925547760779088328e-14,7.629268678404755692e-09,7.647787375145432937e-09,2.082666075456982213e+01,2.132573460423363088e+01
5.950000000000000178e+00,2.160479182184180349e-14,9.603130082518614885e-09,9.627931551628507635e-09,2.057350550053595839e+01,2.107253450854374677e+01
6.000000000000000000e+00,2.424071150856168168e-14,1.208734364733612820e-08,1.212075977950110057e-08,2.031954266980041979e+01,2.081851959176631794e+01
6.049999999999999822e+00,2.719819378783489434e-14,1.521370695534594075e-08,1.525900844438359392e-08,2.006469304569183976e+01,2.056361296538724304e+01
6.099999999999999645e+00,3.051645755923602226e-14,1.914807522864329720e-08,1.920977807067867243e-08,1.980873096720445403e+01,2.030759834152593157e+01
6.150000000000000355e+00,3.423950257704402997e-14,2.409909444651784169e-08,2.418343021064265503e-08,1.955137954534146871e+01,2.005020962754012004e+01
6.200000000000000178e+00,3.841669161847969580e-14,3.032913702911862414e-08,3.044478483823919970e-08,1.929231510265118743e+01,1.979112553777115835e+01
6.250000000000000000e+00,4.310340338068730299e-14,3.816801832944495529e-08,3.832721922895148695e-08,1.903110799558674415e+01,1.952989594990547317e+01
6.299999999999999822e+00,4.836176465734967616e-14,4.803012395020110705e-08,4.825041216336268271e-08,1.876693646648931235e+01,1.926564425014120019e+01
6.349999999999999645e+00,5.426147136867503464e-14,6.043582870062292919e-08,6.074268439585749473e-08,1.849812967391668650e+01,1.899660452493892393e+01
6.400000000000000355e+00,6.088070916084129821e-14,7.603800958481092455e-08,7.646911610109209048e-08,1.822323244385691510e+01,1.872116190893353149e+01
