# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,0.000000000000000000e+00,9.974397290443408615e-01,1.000000000000000000e+00,3.503990291516529965e-01,6.998954031665576281e-01,1.203933244695505778e+00,1.563187500068465852e+00,1.878664324730266344e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.973150327505566626e-01,1.000000000000000000e+00,3.454616117469342385e-01,6.950200423190580068e-01,1.198982684740073523e+00,1.558342102174449906e+00,1.873890210958265357e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.972248995310524222e-01,1.000000000000000000e+00,3.386889219067796830e-01,6.884109490508123486e-01,1.192319887560749692e+00,1.551817998135724963e+00,1.867469345909022138e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.969993408486812481e-01,1.000000000000000000e+00,3.337153378208270738e-01,6.833953504285190661e-01,1.187161700935014608e+00,1.546744300689077534e+00,1.862451682148567045e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.968265920448036166e-01,1.000000000000000000e+00,3.262021349645323198e-01,6.760019388913391936e-01,1.179673095218817025e+00,1.539403902258570156e+00,1.855211515353452967e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.966413427048367302e-01,1.000000000000000000e+00,3.173608349680279161e-01,6.673092960532613915e-01,1.170869359550657407e+00,1.530764123606338956e+00,1.846686978757084319e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.964243141639920198e-01,1.000000000000000000e+00,3.071463642320324539e-01,6.572612661928687317e-01,1.160689576700207226e+00,1.520760414175505559e+00,1.836804971484255589e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.960902560292786978e-01,1.000000000000000000e+00,2.968633722987163992e-01,6.470705661554205790e-01,1.150313146221265015e+00,1.510561424124468033e+00,1.826713492736125488e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.958228594585867288e-01,1.000000000000000000e+00,2.811022577665838185e-01,6.316636426691886186e-01,1.134741179787461363e+00,1.495213100956213736e+00,1.811542881756032841e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.954104418994081938e-01,1.000000000000000000e+00,2.653363807940962715e-01,6.161307760511434140e-01,1.118926643525561815e+00,1.479534388506657194e+00,1.795971243905185588e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.950421843348890016e-01,1.000000000000000000e+00,2.452088504509148947e-01,5.964695023034991550e-01,1.098965634858338092e+00,1.459717852049415399e+00,1.776281651720466925e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.946077691660966114e-01,1.000000000000000000e+00,2.216178454374571061e-01,5.734239633147240056e-01,1.075519042645083800e+00,1.436326136407416243e+00,1.752963148683555517e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.940018604607022690e-01,1.000000000000000000e+00,1.962373187835382282e-01,5.485853063796426454e-01,1.050151110223097817e+00,1.410930246469220606e+00,1.727538299398531763e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.933992514015901332e-01,1.000000000000000000e+00,1.628023629448449583e-01,5.159032791982340882e-01,1.016803039334433834e+00,1.377355193172860481e+00,1.693850009123387679e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.926189396257247832e-01,1.000000000000000000e+00,1.233612932442937904e-01,4.772442223933879291e-01,9.772340959752554568e-01,1.337044363414882753e+00,1.653188440088925404e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.916265971017859115e-01,1.000000000000000000e+00,8.021339376777802954e-02,4.346559825678468769e-01,9.336959963385922379e-01,1.292562360421612766e+00,1.608303563855571383e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.899360940450869784e-01,1.000000000000000000e+00,4.645487563493588823e-03,3.568836124544176869e-01,8.522168853073210926e-01,1.210150806286549141e+00,1.524736542631998759e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.870111453266023904e-01,1.000000000000000000e+00,-9.446269901798132196e-02,2.526805662436402145e-01,7.424115427262876210e-01,1.100706870636315671e+00,1.414082509034969348e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.871254303878489456e-01,1.000000000000000000e+00,-2.145889056434810982e-01,1.315498803034671482e-01,6.194188066776433743e-01,9.783130599300520203e-01,1.291330131127850223e+00
6.450000000000000178e+00,0.000000000000000000e+00,9.774880256906238740e-01,1.000000000000000000e+00,-3.559614000159143643e-01,-3.593708209265145115e-02,4.473607404430808288e-01,8.067411533850616934e-01,1.112965642994424798e+00
6.500000000000000000e+00,0.000000000000000000e+00,9.800336435795300449e-01,1.000000000000000000e+00,-6.208781179635813885e-01,-3.108554783785848485e-01,1.568978191470904449e-01,5.096138107844438991e-01,8.122150732181481203e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.749433411334746946e-01,1.000000000000000000e+00,-5.993556859090602984e-01,-4.029212449064161206e-01,2.621006302855732883e-02,3.435940843678793044e-01,6.157603724773537124e-01
