# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,1.321878151970546329e-10,4.169509369067164858e-05,4.180211844039962923e-05,1.129740330057154551e+01,1.164689967458645015e+01,1.215093751611539830e+01,1.251019177148836548e+01,1.282566859615015176e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.678225019733898239e-05,4.690265783115182802e-05,1.117213118143392592e+01,1.152163100925301364e+01,1.202566466549535562e+01,1.238492477369881328e+01,1.270040556539837695e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.248949746268202142e-05,5.262553372499379189e-05,1.104624754531653963e+01,1.139576294247007127e+01,1.189978581998364859e+01,1.225906455905085579e+01,1.257455849401869585e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.889208286735503177e-05,5.904667659396805712e-05,1.091981925514235030e+01,1.126935500577337734e+01,1.177335735433493369e+01,1.213266494858848432e+01,1.244817932727120535e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.607443358137748469e-05,6.625128025806404307e-05,1.079285813459831189e+01,1.114241656416325554e+01,1.164638749731133771e+01,1.200573380188337325e+01,1.232127512771809563e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.413166901598197580e-05,7.433493177801762789e-05,1.066520822868127283e+01,1.101480186519164306e+01,1.151873324478541605e+01,1.187813149749476338e+01,1.219370888398839980e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.317015001782478709e-05,8.340487911107849212e-05,1.053679217542641311e+01,1.088643489064300951e+01,1.139031733282336489e+01,1.174978101309363865e+01,1.206540385844992613e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.330860297861083032e-05,9.358145331014023596e-05,1.040761253482853022e+01,1.075731350815203768e+01,1.126113435115357220e+01,1.162067631287476388e+01,1.193635260059971870e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046806146669327704e-04,1.049996640927925730e-04,1.027743052492851916e+01,1.062720921894050718e+01,1.113095516940730079e+01,1.149058988043832841e+01,1.180633017648139571e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174357318675716219e-04,1.178109898862245153e-04,1.014604869336592685e+01,1.049593019128315774e+01,1.099958351647328669e+01,1.135932155312458036e+01,1.167513522348222921e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317414563022137309e-04,1.321853860294444898e-04,1.001333677175408354e+01,1.036335083725975181e+01,1.086688782595157932e+01,1.122673443049562536e+01,1.154262722663106899e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477860742164178803e-04,1.483135376779151724e-04,9.878983004545439428e+00,1.022917476608346021e+01,1.073256666053756447e+01,1.109252190670578386e+01,1.140849709463504524e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.657787549417713124e-04,1.664093871859453184e-04,9.742855219884752671e+00,1.009326997121784331e+01,1.059647705779988769e+01,1.095653093563631586e+01,1.127258226790651463e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.859543119835774293e-04,1.867129693493121739e-04,9.604543036697862135e+00,9.955235370252822236e+00,1.045820516992849036e+01,1.081833172222575001e+01,1.113444258606438098e+01
6.200000000000000178e+00,1.321710460497052221e-10,2.085754973918085278e-04,2.094935919344847130e-04,9.463427132833530209e+00,9.814462104969052803e+00,1.031712244452870664e+01,1.067725395973573654e+01,1.099338943225527743e+01
6.250000000000000000e+00,1.321684900685529955e-10,2.339337107780792410e-04,2.350534034568093440e-04,9.319203973209653213e+00,9.670628924543464677e+00,1.017289614443579637e+01,1.053292662952431868e+01,1.084903709740825661e+01
6.299999999999999822e+00,1.321656222693747660e-10,2.623468420864238644e-04,2.637313952391998344e-04,9.169811753788579267e+00,9.521475071498144871e+00,1.002307540244965622e+01,1.038289215782277353e+01,1.069887605807421238e+01
6.349999999999999645e+00,1.321624046198513373e-10,2.941515152920153118e-04,2.959078904731527728e-04,9.012027572068006975e+00,9.363401074157614801e+00,9.863741985475435570e+00,1.022332793958968722e+01,1.053903201163790015e+01
