# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,3.363314609928959146e-10,1.060906342948063309e-04,1.063629522722671806e-04,1.063291944477083462e+01,1.113695728629977566e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.190340592785808088e-04,1.193404278445334078e-04,1.050765565654519662e+01,1.101168931262698436e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.335550633862971244e-04,1.339011962210633685e-04,1.038179303811693899e+01,1.088581591503684365e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.498450481654331349e-04,1.502383968961633624e-04,1.025539119341457450e+01,1.075939354048132657e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.681187558863508587e-04,1.685687226273783351e-04,1.012845956535125680e+01,1.063243049552681185e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.886181134699115426e-04,1.891352899204490551e-04,1.000085248022533335e+01,1.050478385486057675e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.116136242135115901e-04,2.122108588729707391e-04,9.872494011261068181e+00,1.037637644582856922e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.374072209486444976e-04,2.381014447763088037e-04,9.743382133260865885e+00,1.024720296498045968e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.663386051926450995e-04,2.671503689839050777e-04,9.613288447601419762e+00,1.011703438191850779e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.987880338105858139e-04,2.997428022806590932e-04,9.482021237548536874e+00,9.985674539916217896e+00
6.000000000000000000e+00,3.362548116901911995e-10,3.351813808909448575e-04,3.363108603862553889e-04,9.349455046179762974e+00,9.852992002734396237e+00
6.049999999999999822e+00,3.362411355375255976e-10,3.759973196701884711e-04,3.773393183831896315e-04,9.215293608956564242e+00,9.718685458368966579e+00
6.099999999999999645e+00,3.362257913040335868e-10,4.217675507437843203e-04,4.233720188591539690e-04,9.079405077402924462e+00,9.582612100576042735e+00
6.150000000000000355e+00,3.362085756244888758e-10,4.730888884606855365e-04,4.750190574934287191e-04,8.941388502373776248e+00,9.444358212319123425e+00
6.200000000000000178e+00,3.361892603637229642e-10,5.306290631988326871e-04,5.329648397909720345e-04,8.800635137769745597e+00,9.303295349253588142e+00
6.250000000000000000e+00,3.361675896057175422e-10,5.951284807928293756e-04,5.979771138074227660e-04,8.656823898139606399e+00,9.159090936326634846e+00
6.299999999999999822e+00,3.361432762782788540e-10,6.673946776001735354e-04,6.709170961234686009e-04,8.507693807461905067e+00,9.009293848021073359e+00
6.349999999999999645e+00,3.361159983696005328e-10,7.482825159694580933e-04,7.527508221582534251e-04,8.349644848056264834e+00,8.849985234056319428e+00
6.400000000000000355e+00,3.360853946878800272e-10,8.389059081888405704e-04,8.445618673199099770e-04,8.180379568475316887e+00,8.679035329288822709e+00
6.450000000000000178e+00,3.360510601094509975e-10,9.400766829093385379e-04,9.475656026068789324e-04,7.995784168535507774e+00,8.492349441408201471e+00
6.500000000000000000e+00,3.360125402545509822e-10,1.053183237093031259e-03,1.063125167307015298e-03,7.783129083922275981e+00,8.275711498741500804e+00
6.549999999999999822e+00,3.359693255228082574e-10,1.179900802431145188e-03,1.192769362535114766e-03,7.554600628739535750e+00,8.038394300572178963e+00
6.599999999999999645e+00,3.359208444127454553e-10,1.321108473294678714e-03,1.338212692723651743e-03,7.348647406151442851e+00,7.820277609611444802e+00
6.650000000000000355e+00,3.358664560409798414e-10,1.478405718673722006e-03,1.501377808020408315e-03,7.170713376987492893e+00,7.631633237716229701e+00
6.700000000000000178e+00,3.358054417673012148e-10,1.653870975623644365e-03,1.684420629056301898e-03,7.009484074454725544e+00,7.460733916528901943e+00
6.750000000000000000e+00,3.357369958213435860e-10,1.849539201059453896e-03,1.889758466929090290e-03,6.858130320118128509e+00,7.292131924427756928e+00
6.799999999999999822e+00,3.356602148150846873e-10,2.067300368830372274e-03,2.120101485705856281e-03,6.705021444199680047e+00,7.106583715942562662e+00
6.849999999999999645e+00,3.355740860128394499e-10,2.309264045757533721e-03,2.378487892441582315e-03,6.569778113183161850e+00,6.921470987481235682e+00
6.900000000000000355e+00,3.354774742167115916e-10,2.578127699415966485e-03,2.668323280825100809e-03,6.458478291739140786e+00,6.763641144864585897e+00
6.950000000000000178e+00,3.353691071105954785e-10,2.876950899301175275e-03,2.993424599173444972e-03,6.354053046887287337e+00,6.632561660734189957e+00
7.000000000000000000e+00,3.352475588897607596e-10,3.208959342474677467e-03,3.358069261677636575e-03,6.260290079208061798e+00,6.523066501509852344e+00
7.049999999999999822e+00,3.351112319858228808e-10,3.577748259466871552e-03,3.767049973491349343e-03,6.183093619991595347e+00,6.436540336155715636e+00
7.099999999999999645e+00,3.349583366785531313e-10,3.987682897820781468e-03,4.225735895300601445e-03,6.116607893076242419e+00,6.364192872813184465e+00
7.150000000000000355e+00,3.347868683666349493e-10,4.443579170131169154e-03,4.740140831055064501e-03,6.053871380862020146e+00,6.296043991355595892e+00
7.200000000000000178e+00,3.345945822493041718e-10,4.950435291272737258e-03,5.316999183047439390e-03,5.996967499357310771e+00,6.234608579962461761e+00
7.250000000000000000e+00,3.343789651501186278e-10,5.514162643359452921e-03,5.963850480604164679e-03,5.943986071354217415e+00,6.177496897813824717e+00
7.299999999999999822e+00,3.341372041932966099e-10,6.141426565297613584e-03,6.689133351070021029e-03,5.891578907323250291e+00,6.120276261052531197e+00
7.349999999999999645e+00,3.338661520227310345e-10,6.839211460946318863e-03,7.502289862766904453e-03,5.839914356547538432e+00,6.063179888032010467e+00
7.400000000000000355e+00,3.335622882347251251e-10,7.615170520407860133e-03,8.413881226784521508e-03,5.789205078126592241e+00,6.006479827531947535e+00
7.450000000000000178e+00,3.332216766787875889e-10,8.477876558808631821e-03,9.435715894597072537e-03,5.739796701422235969e+00,5.950522379615847512e+00
7.500000000000000000e+00,3.328399182678789539e-10,9.436785264418538766e-03,1.058099112732309964e-02,5.692193447973622256e+00,5.895741031103391094e+00
7.549999999999999822e+00,3.324120989321923304e-10,1.050257413750189418e-02,1.186444913438293620e-02,5.647058670157598215e+00,5.844159251677567113e+00
7.599999999999999645e+00,3.319327323512767855e-10,1.168775275967130940e-02,1.330254887712958335e-02,5.603003331149800204e+00,5.794970291501286397e+00
7.650000000000000355e+00,3.313956971111598959e-10,1.300578986821881479e-02,1.491365459748021129e-02,5.558260960806848061e+00,5.745527533408797183e+00
7.700000000000000178e+00,3.307941679600316970e-10,1.447088761480201310e-02,1.671824205086478929e-02,5.513019256081207686e+00,5.696017429301186041e+00
7.750000000000000000e+00,3.301205408829623850e-10,1.609876029377149687e-02,1.873912328207273312e-02,5.467687109837640946e+00,5.646947019845327986e+00
7.799999999999999822e+00,3.293663517892607301e-10,1.790715250519367419e-02,2.100169056317782376e-02,5.422370247779177532e+00,5.598182833761164545e+00
7.849999999999999645e+00,3.285221887131520232e-10,1.991556436639013716e-02,2.353417979150390638e-02,5.376980194006236502e+00,5.549225453141190201e+00
7.900000000000000355e+00,3.275775975789954065e-10,2.214522246580042514e-02,2.636795319397365958e-02,5.332030266309274680e+00,5.500633841573304039e+00
7.950000000000000178e+00,3.265209817879141854e-10,2.462020773219296410e-02,2.953780056721736977e-02,5.287656768087252601e+00,5.452418256170190602e+00
8.000000000000000000e+00,3.253394961576088268e-10,2.736652386583081700e-02,3.308225745813347940e-02,5.243769556139568522e+00,5.404199535036624980e+00
