# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,2.125951365414697194e-10,6.705848250979471348e-05,6.723061109070145667e-05,1.113097775621696428e+01,1.163501559774590532e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.524004328204827888e-05,7.543369527491772502e-05,1.100571118108813096e+01,1.150974483726166397e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.441884463032480498e-05,8.463763175005015052e-05,1.087984544933584630e+01,1.138386832659500669e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.471589090934110920e-05,9.496452345370001648e-05,1.075344012351769152e+01,1.125744247143863674e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.062669458642431731e-04,1.065513670828823373e-04,1.062650460203502689e+01,1.113047553390925515e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.192249639210201469e-04,1.195518691003270595e-04,1.049889316617777979e+01,1.100282454364654683e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.337609719231495399e-04,1.341384829870180377e-04,1.037052983693025254e+01,1.087441227584803016e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.500658751300567532e-04,1.505046946528156915e-04,1.024141252785290845e+01,1.074523336601940571e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.683544672852504596e-04,1.688675861701536835e-04,1.011131278309863291e+01,1.061505872664417893e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.888671961128708763e-04,1.894707116576513340e-04,9.980038820221793117e+00,1.048369213563083235e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.118733679447470811e-04,2.125873232227291291e-04,9.847465107464032030e+00,1.035100208238280572e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.376756937435475434e-04,2.385239894588641869e-04,9.713295308137730899e+00,1.021668718328825776e+01
6.099999999999999645e+00,2.125550577328640028e-10,2.666104415044711360e-04,2.676246541192679176e-04,9.577397483464757499e+00,1.008060454287166152e+01
6.150000000000000355e+00,2.125485276260225288e-10,2.990550859794135867e-04,3.002751883266174511e-04,9.439370608151250508e+00,9.942340369371237330e+00
6.200000000000000178e+00,2.125412009644671761e-10,3.354319890794384899e-04,3.369084961033257586e-04,9.298605872042941201e+00,9.801266156713182909e+00
6.250000000000000000e+00,2.125329806156516112e-10,3.762095280958989495e-04,3.780102401811241968e-04,9.154782095209107240e+00,9.657049237228022776e+00
6.299999999999999822e+00,2.125237576110710412e-10,4.218986110398519952e-04,4.241252630841054676e-04,9.005638426541203501e+00,9.507238633039840181e+00
6.349999999999999645e+00,2.125134097061989549e-10,4.730401834053093156e-04,4.758647874445214227e-04,8.847575160380266368e+00,9.347915846564283981e+00
6.400000000000000355e+00,2.125017997657818659e-10,5.303390851094053147e-04,5.339144895299463350e-04,8.678295036298798948e+00,9.176951281215849576e+00
6.450000000000000178e+00,2.124887739534585643e-10,5.943094134922448975e-04,5.990435511464893992e-04,8.493684750498211145e+00,8.990250739232351407e+00
6.500000000000000000e+00,2.124741597021779517e-10,6.658299339219218372e-04,6.721148075494676405e-04,8.281016639128068846e+00,8.773600272463134786e+00
6.549999999999999822e+00,2.124577634391069833e-10,7.459610353313810048e-04,7.540961229042597927e-04,8.052474476362043276e+00,8.536270609324390080e+00
6.599999999999999645e+00,2.124393680356249522e-10,8.352602619520927167e-04,8.460731403144450963e-04,7.846499736951763282e+00,8.318134171910500640e+00
6.650000000000000355e+00,2.124187299495543438e-10,9.347409508529315328e-04,9.492635706674738827e-04,7.668535287790874122e+00,8.129460897824074550e+00
6.700000000000000178e+00,2.123955760229505559e-10,1.045719781800003067e-03,1.065033203686478660e-03,7.507268288459812311e+00,7.958525342971228156e+00
6.750000000000000000e+00,2.123695998945220781e-10,1.169486701467373733e-03,1.194913845828840700e-03,7.355870463268757931e+00,7.789883021371750260e+00
6.799999999999999822e+00,2.123404579810440251e-10,1.307240936502147843e-03,1.340623413219067459e-03,7.202713793043834301e+00,7.604295441502088693e+00
6.849999999999999645e+00,2.123077649769151054e-10,1.460321641926031746e-03,1.504088433863733131e-03,7.067410847475322555e+00,7.419137899566848660e+00
6.900000000000000355e+00,2.122710888152531484e-10,1.630440989004820242e-03,1.687469242173534733e-03,6.956035803887431257e+00,7.261247379065125074e+00
6.950000000000000178e+00,2.122299450275818342e-10,1.819541809676268563e-03,1.893188180530116105e-03,6.851524779243071350e+00,7.130089507231559764e+00
7.000000000000000000e+00,2.121837904321893732e-10,2.029674161553805898e-03,2.123961157492367836e-03,6.757661326954242043e+00,7.020497479864282298e+00
7.049999999999999822e+00,2.121320160736006140e-10,2.263124431495823919e-03,2.382832950436328690e-03,6.680343014879419172e+00,6.933851145961128282e+00
7.099999999999999645e+00,2.120739393272594594e-10,2.522669170031036946e-03,2.673216682141987387e-03,6.613714668759747894e+00,6.861361784138253483e+00
7.150000000000000355e+00,2.120087950744446095e-10,2.811374129744812714e-03,2.998937946216239173e-03,6.550817094894590298e+00,6.793053121210775203e+00
7.200000000000000178e+00,2.119357258426179754e-10,3.132425679860312024e-03,3.364284105349388872e-03,6.493728502153572890e+00,6.731434426693937212e+00
7.250000000000000000e+00,2.118537707958354974e-10,3.489594095314848404e-03,3.774059339261702679e-03,6.440537429876464159e+00,6.674115029429870560e+00
7.299999999999999822e+00,2.117618534485557778e-10,3.887134657309760863e-03,4.233646075660338869e-03,6.387896648199308913e+00,6.616664420787714107e+00
7.349999999999999645e+00,2.116587679642156066e-10,4.329514813397290947e-03,4.749073497361273183e-03,6.335971102754555773e+00,6.559312626147374203e+00
7.400000000000000355e+00,2.115431638874034946e-10,4.821637769208540758e-03,5.327093881421851064e-03,6.284969474894907648e+00,6.502327953318925324e+00
7.450000000000000178e+00,2.114135291455003056e-10,5.369004232100802257e-03,5.975267590937759915e-03,6.235232522072607253e+00,6.446052225014405224e+00
7.500000000000000000e+00,2.112681711424972880e-10,5.977693180351958263e-03,6.702057605952846039e-03,6.187258397621647532e+00,6.390913520275383064e+00
7.549999999999999822e+00,2.111051957546667098e-10,6.654581034500180181e-03,7.516934545105783717e-03,6.141702833366473158e+00,6.338924417114007781e+00
7.599999999999999645e+00,2.109224840252887656e-10,7.407733741339074009e-03,8.430493191995416802e-03,6.097174710408467035e+00,6.289274074467080311e+00
7.650000000000000355e+00,2.107176663443311009e-10,8.245862899161602450e-03,9.454581596783849864e-03,6.051907310697778541e+00,6.239317787054169173e+00
7.700000000000000178e+00,2.104880938896282180e-10,9.178192408234113128e-03,1.060244387029818033e-02,6.006081492601857974e+00,6.189235007601297411e+00
7.750000000000000000e+00,2.102308070997675861e-10,1.021496243885750693e-02,1.188887781960139625e-02,5.960097271988125556e+00,6.139523270003735433e+00
7.799999999999999822e+00,2.099425009469138653e-10,1.136777165109716797e-02,1.333040858387005839e-02,5.914051798880450406e+00,6.090041516759342244e+00
7.849999999999999645e+00,2.096194867819506056e-10,1.264942192599637256e-02,1.494547940868625954e-02,5.867847979987878659e+00,6.040283951434560095e+00
7.900000000000000355e+00,2.092576505368198582e-10,1.407392227595964836e-02,1.675466063433996358e-02,5.821985526477760686e+00,5.990796020824198820e+00
7.950000000000000178e+00,2.088524070926338967e-10,1.565722981098604735e-02,1.878087785526981121e-02,5.776587937282407381e+00,5.941576555467193543e+00
8.000000000000000000e+00,2.083986506605764415e-10,1.741669568151484743e-02,2.104966001555707428e-02,5.731552323253239933e+00,5.892236626282141287e+00
