# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.000000000000000000e+00,1.157366337198093579e-10,1.132078516012011229e-05,1.157372124049732249e-05,1.287148494931352616e+01,1.314506302027440654e+01
5.049999999999999822e+00,1.157364924998439799e-10,1.270209003772845434e-05,1.298592089411944459e-05,1.274806586208211456e+01,1.302227532366441665e+01
5.099999999999999645e+00,1.157363340486418609e-10,1.425209303590501799e-05,1.457043291536756862e-05,1.262618813491077674e+01,1.290253423767491370e+01
5.150000000000000355e+00,1.157361562637272256e-10,1.598825826988532647e-05,1.634828206180184953e-05,1.250685275084747161e+01,1.278636895999964906e+01
5.200000000000000178e+00,1.157359567860971987e-10,1.793575124308166555e-05,1.834305836192279477e-05,1.238808105069874443e+01,1.267193445795527396e+01
5.250000000000000000e+00,1.157357329689244317e-10,2.012325357314217970e-05,2.058123008973089009e-05,1.226768382191427520e+01,1.255728047020581783e+01
5.299999999999999822e+00,1.157354818424414241e-10,2.257398788223563194e-05,2.309249491970537883e-05,1.214933527227557875e+01,1.244517494415165260e+01
5.349999999999999645e+00,1.157352000745418598e-10,2.532272332597879363e-05,2.591017391551146904e-05,1.203145975800609335e+01,1.233419360265095577e+01
5.400000000000000355e+00,1.157348839265753380e-10,2.841096144366167119e-05,2.907165358063072404e-05,1.191148059434299711e+01,1.222203888662001248e+01
5.450000000000000178e+00,1.157345292037507095e-10,3.187287454091734069e-05,3.261888182693494425e-05,1.179252372501143498e+01,1.211108080331464976e+01
5.500000000000000000e+00,1.157341311994896207e-10,3.575964012728031219e-05,3.659892443782225552e-05,1.167263303099488070e+01,1.199957630413121734e+01
5.549999999999999822e+00,1.157336846329931827e-10,4.011771795753088580e-05,4.106458940215728059e-05,1.155293520315917277e+01,1.188834738255636125e+01
5.599999999999999645e+00,1.157331835791944300e-10,4.500632230104340708e-05,4.607512738970895864e-05,1.143286261707799412e+01,1.177686212964603385e+01
5.650000000000000355e+00,1.157326213901680457e-10,5.049738208456164317e-05,5.169701765350305229e-05,1.131037440821410200e+01,1.166329501396776180e+01
5.700000000000000178e+00,1.157319906069567079e-10,5.664284816747715393e-05,5.800484976690791785e-05,1.118969520067697943e+01,1.155112019721799754e+01
5.750000000000000000e+00,1.157312828606457689e-10,6.355421323742998705e-05,6.508231287639811393e-05,1.106815403412164756e+01,1.143801187743131464e+01
5.799999999999999822e+00,1.157304887613764380e-10,7.133931766594854801e-05,7.302330556965140509e-05,1.094316932292653632e+01,1.132163614284263531e+01
