# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,5.003494851504283936e-10,1.579247597336838290e-04,1.582369093132481193e-04,1.004713996622412253e+01,1.054796547269764773e+01
5.549999999999999822e+00,5.003398320951906082e-10,1.771910579195210044e-04,1.775430197887848728e-04,9.921739809849640324e+00,1.042256806004546377e+01
5.599999999999999645e+00,5.003290014107782066e-10,1.988000676931120283e-04,1.992043886136566613e-04,9.795860935995925445e+00,1.029668673510714427e+01
5.650000000000000355e+00,5.003168494620983173e-10,2.230326311560724896e-04,2.235082859733705015e-04,9.669736829879006734e+00,1.017054595369536685e+01
5.700000000000000178e+00,5.003032151027859492e-10,2.502112229430804671e-04,2.507770045981571835e-04,9.542930051110467105e+00,1.004371730576280441e+01
5.750000000000000000e+00,5.002879175423513518e-10,2.806924772532849353e-04,2.813721254672552400e-04,9.415456229654466824e+00,9.916213439974185917e+00
5.799999999999999822e+00,5.002707539540770817e-10,3.148772706824223594e-04,3.156993020158745632e-04,9.287203345920914899e+00,9.787922159189555771e+00
5.849999999999999645e+00,5.002514967922859875e-10,3.532203834863487514e-04,3.542136255982097155e-04,9.157730481037539505e+00,9.658410280290560479e+00
5.900000000000000355e+00,5.002298907838445835e-10,3.962188521035522621e-04,3.974256424807470680e-04,9.027393439772716022e+00,9.528025340379130625e+00
5.950000000000000178e+00,5.002056495545602740e-10,4.444356118389739853e-04,4.459081010494811881e-04,8.896007256988973211e+00,9.396584905330747972e+00
6.000000000000000000e+00,5.001784518464336445e-10,4.984983502633290797e-04,5.003035173027490417e-04,8.763434253705590038e+00,9.263953852222641672e+00
6.049999999999999822e+00,5.001479372764935638e-10,5.591111337480225794e-04,5.613326571829884738e-04,8.629394428390973815e+00,9.129868789701255594e+00
6.099999999999999645e+00,5.001137015820887835e-10,6.270728399523161451e-04,6.298040459923998600e-04,8.493155871807282153e+00,8.993626387296501434e+00
6.150000000000000355e+00,5.000752912910010498e-10,7.032630607948525290e-04,7.066246281680104357e-04,8.354357793073525329e+00,8.854861845985951163e+00
6.200000000000000178e+00,5.000321977474823027e-10,7.886585697055054512e-04,7.928117152053627435e-04,8.212436490927800037e+00,8.712958097949005776e+00
6.250000000000000000e+00,4.999838504172520809e-10,8.843395787591127287e-04,8.895063756658600504e-04,8.066256183151871539e+00,8.566651299288693622e+00
6.299999999999999822e+00,4.999296093855086875e-10,9.915006060001387185e-04,9.979884391527193976e-04,7.911980063746497649e+00,8.411917284117073734e+00
6.349999999999999645e+00,4.998687569520575178e-10,1.111453492467729450e-03,1.119693306055066220e-03,7.745533355184612390e+00,8.244328414645778480e+00
6.400000000000000355e+00,4.998004882166134698e-10,1.245619474276182673e-03,1.256230776943191530e-03,7.571434355114291748e+00,8.068134701575097267e+00
6.450000000000000178e+00,4.997239005351203120e-10,1.395590941773264563e-03,1.409406139929389240e-03,7.384930347425694208e+00,7.878372511987635107e+00
