# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.000000000000000000e+00,0.000000000000000000e+00,9.781456564296565626e-01,1.000000000000000000e+00,5.301674941378919925e-01,8.037455650987794797e-01
5.049999999999999822e+00,0.000000000000000000e+00,9.781010803500950201e-01,1.000000000000000000e+00,5.590422152552250168e-01,8.443633631607170287e-01
5.099999999999999645e+00,0.000000000000000000e+00,9.783364817642041800e-01,1.000000000000000000e+00,5.624849136005209971e-01,8.659206453100267709e-01
5.150000000000000355e+00,0.000000000000000000e+00,9.748381743833195445e-01,1.000000000000000000e+00,6.133306194754837293e-01,9.243227994917333490e-01
5.200000000000000178e+00,0.000000000000000000e+00,9.776998480414927917e-01,1.000000000000000000e+00,5.857499999046993366e-01,9.184006387279453065e-01
5.250000000000000000e+00,0.000000000000000000e+00,9.770354281433709653e-01,1.000000000000000000e+00,5.937676866123453578e-01,9.406310647903524114e-01
5.299999999999999822e+00,0.000000000000000000e+00,9.748003366658034574e-01,1.000000000000000000e+00,6.340437883801826047e-01,9.904184025708673289e-01
5.349999999999999645e+00,0.000000000000000000e+00,9.762358096914909300e-01,1.000000000000000000e+00,6.170355415312016589e-01,9.898383098606871044e-01
5.400000000000000355e+00,0.000000000000000000e+00,9.774080142266442506e-01,1.000000000000000000e+00,6.075447492640151381e-01,9.943262732742823573e-01
5.450000000000000178e+00,0.000000000000000000e+00,9.745445656088160824e-01,1.000000000000000000e+00,6.460924256152296152e-01,1.039716266513423193e+00
5.500000000000000000e+00,0.000000000000000000e+00,9.785070761242413706e-01,1.000000000000000000e+00,6.033320475144989814e-01,1.012275880606352985e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.734067029847721653e-01,1.000000000000000000e+00,6.583957143909628940e-01,1.071322055355878433e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.778375113902304516e-01,1.000000000000000000e+00,6.086402757117923557e-01,1.035849362610569813e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.756610153397767826e-01,1.000000000000000000e+00,6.208060137344446616e-01,1.054797793029109698e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.729112049973481779e-01,1.000000000000000000e+00,6.476529311876859651e-01,1.086806608555640707e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.800153325454173947e-01,1.000000000000000000e+00,6.143461582675442401e-01,1.062471158930094361e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.807092527121744618e-01,1.000000000000000000e+00,5.900902294567629269e-01,1.045210741290475198e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.731025758888871557e-01,1.000000000000000000e+00,6.217977202119158164e-01,1.079970961283201802e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.777532491166373019e-01,1.000000000000000000e+00,5.689539391267004476e-01,1.035147241575721466e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.754088101260883770e-01,1.000000000000000000e+00,5.680428485477548861e-01,1.037676923205665958e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.767356307174630548e-01,1.000000000000000000e+00,5.591727455967046012e-01,1.032579140062253487e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.713491484350946781e-01,1.000000000000000000e+00,5.555410146491084333e-01,1.031847161205426744e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.748566326960231843e-01,1.000000000000000000e+00,5.086406280242954381e-01,9.898621041540422993e-01
6.150000000000000355e+00,0.000000000000000000e+00,9.686800228284474512e-01,1.000000000000000000e+00,5.220327977699810162e-01,1.005134763341786197e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.695147862726066768e-01,1.000000000000000000e+00,4.921136430676043005e-01,9.784569139921686087e-01
6.250000000000000000e+00,0.000000000000000000e+00,9.701227971416951368e-01,1.000000000000000000e+00,4.297119303960243997e-01,9.187565355243449972e-01
6.299999999999999822e+00,0.000000000000000000e+00,9.675597071573998065e-01,1.000000000000000000e+00,4.193142606260238381e-01,9.108744046065595512e-01
6.349999999999999645e+00,0.000000000000000000e+00,9.675648257122503315e-01,1.000000000000000000e+00,3.586605560085729394e-01,8.523562933348856063e-01
6.400000000000000355e+00,0.000000000000000000e+00,9.637523087806915134e-01,1.000000000000000000e+00,3.131420165547353918e-01,8.051808775372819582e-01
6.450000000000000178e+00,0.000000000000000000e+00,9.584107268039661065e-01,1.000000000000000000e+00,2.368101073806414547e-01,7.224346718599150563e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.685422918736730225e-01,1.000000000000000000e+00,1.338850036773209240e-01,6.175003352076373631e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.696317670933992661e-01,1.000000000000000000e+00,-4.658569974255755142e-02,4.370530569755004535e-01
6.599999999999999645e+00,0.000000000000000000e+00,9.722555057090961350e-01,1.000000000000000000e+00,-8.316922754383639926e-01,-4.903286011746956774e-01
6.650000000000000355e+00,0.000000000000000000e+00,9.673153755256335140e-01,1.000000000000000000e+00,-5.644732732204928993e-01,-4.006304157600268923e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.633628131448220833e-01,1.000000000000000000e+00,-7.132786388222420726e-01,-5.055324265134260031e-01
6.750000000000000000e+00,0.000000000000000000e+00,9.580446331199010679e-01,1.000000000000000000e+00,-8.793275776743776362e-01,-6.309445599506418034e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.464261175714381302e-01,1.000000000000000000e+00,-5.102019712516003835e-01,-6.230553583229969661e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.362469663543340204e-01,1.000000000000000000e+00,-1.799981975106845766e-02,-3.728815274308239225e-01
6.900000000000000355e+00,0.000000000000000000e+00,9.262275658203108497e-01,1.000000000000000000e+00,2.155948467378507871e-01,5.184749229125884540e-02
6.950000000000000178e+00,0.000000000000000000e+00,9.164927477217433838e-01,1.000000000000000000e+00,5.363948782173579843e-01,6.325469188184982272e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.073354518595512230e-01,1.000000000000000000e+00,9.532026028799194250e-01,9.907515516638625286e-01
7.049999999999999822e+00,0.000000000000000000e+00,8.987595634704210745e-01,1.000000000000000000e+00,1.107037915928920313e+00,1.114028070310411067e+00
7.099999999999999645e+00,0.000000000000000000e+00,8.904904426597340938e-01,1.000000000000000000e+00,1.437931213641341799e+00,1.527524613021334687e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.826525720053792767e-01,1.000000000000000000e+00,1.564360715095403975e+00,1.649077033634043232e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.750807303022486439e-01,1.000000000000000000e+00,1.267464019536511444e+00,1.107504879375952100e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.677841078930421670e-01,1.000000000000000000e+00,1.203621191034102367e+00,1.247716111481835810e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.606746664240827460e-01,1.000000000000000000e+00,1.839881061656868155e+00,1.900882247744249298e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.543149702750534313e-01,1.000000000000000000e+00,1.865980258299593686e+00,1.813931002772143586e+00
7.400000000000000355e+00,0.000000000000000000e+00,8.480930592632879295e-01,1.000000000000000000e+00,1.723214383492006618e+00,1.742211098210383113e+00
7.450000000000000178e+00,0.000000000000000000e+00,8.419907049291218692e-01,1.000000000000000000e+00,1.769844790698243742e+00,1.870586389004571970e+00
7.500000000000000000e+00,0.000000000000000000e+00,8.359958624222034729e-01,1.000000000000000000e+00,1.781233752181158536e+00,1.911418571521849685e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.303262124001408173e-01,1.000000000000000000e+00,1.892998298134372703e+00,1.996499973123590621e+00
7.599999999999999645e+00,0.000000000000000000e+00,8.245964770175465697e-01,1.000000000000000000e+00,1.956929788744830034e+00,2.027308128254951214e+00
7.650000000000000355e+00,0.000000000000000000e+00,8.184127513515960795e-01,1.000000000000000000e+00,2.036438663493669310e+00,2.068814156919714264e+00
7.700000000000000178e+00,0.000000000000000000e+00,8.117362088456770985e-01,1.000000000000000000e+00,2.160911416108042715e+00,2.196013386804139600e+00
7.750000000000000000e+00,0.000000000000000000e+00,8.058304345650136868e-01,1.000000000000000000e+00,2.283826097291417057e+00,2.278149078878961120e+00
7.799999999999999822e+00,0.000000000000000000e+00,7.999043815457301809e-01,1.000000000000000000e+00,2.361125071102009088e+00,2.361776137633107453e+00
7.849999999999999645e+00,0.000000000000000000e+00,7.940185769347443134e-01,1.000000000000000000e+00,2.469616110762459016e+00,2.461706670005000319e+00
7.900000000000000355e+00,0.000000000000000000e+00,7.885933786307668392e-01,1.000000000000000000e+00,2.557962812238201877e+00,2.518570804554400411e+00
7.950000000000000178e+00,0.000000000000000000e+00,7.827030009078022044e-01,1.000000000000000000e+00,2.654424561890799339e+00,2.619898217987937983e+00
8.000000000000000000e+00,0.000000000000000000e+00,7.767290279166375599e-01,1.000000000000000000e+00,2.741118577950480528e+00,2.699909823978870804e+00
8.050000000000000711e+00,0.000000000000000000e+00,7.709881820863208057e-01,1.000000000000000000e+00,2.831102056910772546e+00,2.794798488572865836e+00
8.099999999999999645e+00,0.000000000000000000e+00,7.653439081529480603e-01,1.000000000000000000e+00,2.916759515780476875e+00,2.887683406063722202e+00
8.150000000000000355e+00,0.000000000000000000e+00,7.600361302903080318e-01,1.000000000000000000e+00,2.993566468119766455e+00,2.972261768534153248e+00
8.199999999999999289e+00,0.000000000000000000e+00,7.548252463758748920e-01,1.000000000000000000e+00,3.068062949569217324e+00,3.041625980876425217e+00
