# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.000000000000000000e+00,2.517099658046360134e-10,2.462120873698969212e-05,2.517131122051895372e-05,1.202790289577118443e+01,1.230148096673207192e+01
5.049999999999999822e+00,2.517091979742831275e-10,2.762533866583569836e-05,2.824263263205723255e-05,1.190448481447856466e+01,1.217869428100143381e+01
5.099999999999999645e+00,2.517083364572458212e-10,3.099635504131007175e-05,3.168870078138834144e-05,1.178260822719204270e+01,1.205895435277992078e+01
5.150000000000000355e+00,2.517073698227415759e-10,3.477223708528022592e-05,3.555523879841116083e-05,1.166327414474775992e+01,1.194279040476580178e+01
5.200000000000000178e+00,2.517062852454084063e-10,3.900771283131880768e-05,3.989354813093959589e-05,1.154450390446056929e+01,1.182835740462202523e+01
5.250000000000000000e+00,2.517050683351889634e-10,4.376515638021731352e-05,4.476118900865682331e-05,1.142410829025588725e+01,1.171370509191008580e+01
5.299999999999999822e+00,2.517037029464694647e-10,4.909506785564455504e-05,5.022274388669704758e-05,1.130576157852220121e+01,1.160160147387084351e+01
5.349999999999999645e+00,2.517021709639463122e-10,5.507305812147253899e-05,5.635067397942502551e-05,1.118788812683899891e+01,1.149062227939359104e+01
5.400000000000000355e+00,2.517004520623839422e-10,6.178937807240611935e-05,6.322628022874909437e-05,1.106791123655808207e+01,1.137846994164864611e+01
5.450000000000000178e+00,2.516985234370843822e-10,6.931833575065659571e-05,7.094078142714644165e-05,1.094895693876949849e+01,1.126751454460841728e+01
5.500000000000000000e+00,2.516963595014993838e-10,7.777122029885357943e-05,7.959652376714822534e-05,1.082906910318799021e+01,1.115601303512379161e+01
5.549999999999999822e+00,2.516939315479866958e-10,8.724905604115698956e-05,8.930833781777870739e-05,1.070937449199143998e+01,1.104478747230777458e+01
5.599999999999999645e+00,2.516912073672212149e-10,9.788060184360070407e-05,1.002050608796407319e-04,1.058930549767742235e+01,1.093330596859859583e+01
5.650000000000000355e+00,2.516881508212304088e-10,1.098222626586874227e-04,1.124312448428712734e-04,1.046682124973051486e+01,1.081974299197347023e+01
5.700000000000000178e+00,2.516847213644111442e-10,1.231869854171252412e-04,1.261490721199349846e-04,1.034614655720393728e+01,1.070757287071485564e+01
5.750000000000000000e+00,2.516808735062014317e-10,1.382172032150776541e-04,1.415405049588017996e-04,1.022461041910098345e+01,1.059446977433194093e+01
5.799999999999999822e+00,2.516765562083131905e-10,1.551473918492612199e-04,1.588096965118793039e-04,1.009963120737539555e+01,1.047809975642002911e+01
5.849999999999999645e+00,2.516717122085740839e-10,1.740745055280504652e-04,1.781856954681899029e-04,9.975109432022733813e+00,1.036178415107134754e+01
5.900000000000000355e+00,2.516662772624643160e-10,1.952810624192562086e-04,1.999254799072570216e-04,9.849276254872549430e+00,1.024398138522395385e+01
5.950000000000000178e+00,2.516601792923563052e-10,2.191011604638054935e-04,2.243173603394394127e-04,9.720656128288091224e+00,1.012330406964272811e+01
6.000000000000000000e+00,2.516533374332606730e-10,2.458140991926989374e-04,2.516847967219568659e-04,9.591887456175655302e+00,1.000203054051363694e+01
6.049999999999999822e+00,2.516456609625317694e-10,2.757213231814881205e-04,2.823906796375893016e-04,9.462850712470356029e+00,9.880061208938215600e+00
6.099999999999999645e+00,2.516370480994755757e-10,3.092472588840642668e-04,3.168421318622978411e-04,9.331341504815661381e+00,9.755412394118721409e+00
6.150000000000000355e+00,2.516273846591151704e-10,3.468074164725777533e-04,3.554958933039360823e-04,9.198755938565312817e+00,9.629351895928003557e+00
6.200000000000000178e+00,2.516165425424801289e-10,3.888359331802161787e-04,3.988643598440296499e-04,9.066039891175080356e+00,9.502735837590321921e+00
6.250000000000000000e+00,2.516043780436777434e-10,4.360255580065290995e-04,4.475223550536613329e-04,8.928756360280758031e+00,9.371395157447729218e+00
6.299999999999999822e+00,2.515907299516461769e-10,4.889154200005341655e-04,5.021147231799406386e-04,8.788698394943622816e+00,9.237001248842375389e+00
6.349999999999999645e+00,2.515754174218615529e-10,5.481785389812562958e-04,5.633648423183448568e-04,8.646038507337486578e+00,9.099710589497767899e+00
6.400000000000000355e+00,2.515582375903357376e-10,6.145351447151243618e-04,6.320841684215756104e-04,8.499001197085931381e+00,8.957558239177046744e+00
6.450000000000000178e+00,2.515389628989718763e-10,6.886288473238565263e-04,7.091829338771544686e-04,8.346871717498608234e+00,8.809318477699974892e+00
6.500000000000000000e+00,2.515173380977033969e-10,7.719767578956835590e-04,7.956821389511611539e-04,8.186258307002489687e+00,8.651719895806110117e+00
6.549999999999999822e+00,2.514930768847889026e-10,8.660225946831765463e-04,8.927269906089617662e-04,8.009941128061328186e+00,8.478107977408008367e+00
6.599999999999999645e+00,2.514658581421330345e-10,9.717368824427958726e-04,1.001601961232479431e-03,7.741758368262800616e+00,8.191085020473664713e+00
6.650000000000000355e+00,2.514353217175021437e-10,1.090186154348560124e-03,1.123747659755933506e-03,7.463635313457160692e+00,7.866710806598632644e+00
6.700000000000000178e+00,2.514010636999651252e-10,1.222462627266129994e-03,1.260779729904145221e-03,7.230350486964994161e+00,7.588244750602910926e+00
6.750000000000000000e+00,2.513626311287547710e-10,1.370142305406981797e-03,1.414510014745476007e-03,6.987241508979550986e+00,7.318184805021274997e+00
6.799999999999999822e+00,2.513195160689745292e-10,1.534341791335509970e-03,1.586970253866459152e-03,6.783569168417379558e+00,7.067213905889083492e+00
6.849999999999999645e+00,2.512711489801083350e-10,1.716433883683001404e-03,1.780438609331252411e-03,6.650591741506310939e+00,6.863412324552903954e+00
6.900000000000000355e+00,2.512168912950872045e-10,1.918507446293502873e-03,1.997469349415668255e-03,6.556123983501812802e+00,6.719074713781473918e+00
6.950000000000000178e+00,2.511560271186695561e-10,2.142777001122484273e-03,2.240926055086389299e-03,6.479953375528474169e+00,6.626376763789259883e+00
7.000000000000000000e+00,2.510877539440666591e-10,2.391763006010031757e-03,2.514018753497947872e-03,6.422447494648572786e+00,6.564855492490195843e+00
7.049999999999999822e+00,2.510111722760554759e-10,2.668328161278031921e-03,2.820345425542740512e-03,6.375881941876208714e+00,6.512964775616076452e+00
7.099999999999999645e+00,2.509252740372450271e-10,2.975637917138538452e-03,3.163938380784576000e-03,6.335508286432776970e+00,6.468939477158912155e+00
7.150000000000000355e+00,2.508289296217043959e-10,3.317208113831291490e-03,3.549316042947120962e-03,6.300442052459416686e+00,6.432357311090342478e+00
7.200000000000000178e+00,2.507208734468373522e-10,3.696959139940110810e-03,3.981540742415066482e-03,6.258865111999540431e+00,6.382692117592171144e+00
7.250000000000000000e+00,2.505996878402712364e-10,4.119235326527310136e-03,4.466283168679673239e-03,6.206626581904188811e+00,6.321118030764033335e+00
7.299999999999999822e+00,2.504637850837171284e-10,4.588861893685963408e-03,5.009894194896057605e-03,6.162126529784735851e+00,6.273929657350372224e+00
7.349999999999999645e+00,2.503113874204396643e-10,5.111366927980203097e-03,5.619484848005788964e-03,6.128125532096674988e+00,6.236324760021673796e+00
7.400000000000000355e+00,2.501405048173982278e-10,5.692925546177829248e-03,6.303015260171665815e-03,6.089045295643913391e+00,6.192592930206181734e+00
7.450000000000000178e+00,2.499489102576661447e-10,6.340221005182790880e-03,7.069393499099923053e-03,6.045088856409464029e+00,6.146800821831398309e+00
7.500000000000000000e+00,2.497341123239110246e-10,7.060675450315481716e-03,7.928585234120369071e-03,5.999075463540911812e+00,6.101370336226672464e+00
7.549999999999999822e+00,2.494933248202190239e-10,7.862642686033189873e-03,8.891735248888558638e-03,5.952411654548150466e+00,6.055342703032636109e+00
7.599999999999999645e+00,2.492234331683047891e-10,8.755335527647734040e-03,9.971301856545437131e-03,5.906301681452525543e+00,6.008548174137438025e+00
7.650000000000000355e+00,2.489209573063775222e-10,9.748519196421355504e-03,1.118120530425458121e-02,5.860020974190014442e+00,5.960043092629710770e+00
7.700000000000000178e+00,2.485820108162203076e-10,1.085263222994278798e-02,1.253699126488338512e-02,5.814859800826049252e+00,5.912009461241623853e+00
7.750000000000000000e+00,2.482022560084337170e-10,1.208001223566906000e-02,1.405601049602975446e-02,5.771685512473659685e+00,5.865400623718556972e+00
7.799999999999999822e+00,2.477768547098940558e-10,1.344471362942026293e-02,1.575761569018837432e-02,5.729467554009360697e+00,5.819184256263980615e+00
7.849999999999999645e+00,2.473004145245972287e-10,1.496171577996930832e-02,1.766337643137557908e-02,5.687858674054311336e+00,5.773742083736493669e+00
7.900000000000000355e+00,2.467669303833541566e-10,1.664807342177193963e-02,1.979731299634804667e-02,5.647098903015709936e+00,5.728515061991345192e+00
7.950000000000000178e+00,2.461697212644599576e-10,1.852206942394064512e-02,2.218614947192469253e-02,5.606932795729846930e+00,5.683522956803336967e+00
8.000000000000000000e+00,2.455013620629072179e-10,2.060310961232886609e-02,2.485958627813580554e-02,5.567345728394450077e+00,5.639310549501487912e+00
8.050000000000000711e+00,2.447536107178385651e-10,2.291339305218147160e-02,2.785059165841025780e-02,5.528222971724751744e+00,5.595726721184959729e+00
8.099999999999999645e+00,2.439173308863619921e-10,2.547761643027546263e-02,3.119571098431657766e-02,5.489572841619789756e+00,5.553063953175723100e+00
8.150000000000000355e+00,2.429824106881612841e-10,2.832317226457855414e-02,3.493539177711956628e-02,5.451174237057429650e+00,5.511115595954727553e+00
8.199999999999999289e+00,2.419376783533757557e-10,3.148019106752236729e-02,3.911432111626157032e-02,5.412852256191065692e+00,5.469416897405913858e+00
8.250000000000000000e+00,2.407708160022663637e-10,3.498041193095906276e-02,4.378177052069902320e-02,5.374814336365304257e+00,5.427802143055565409e+00
8.300000000000000711e+00,2.394682732881260127e-10,3.885734570160577495e-02,4.899194137726047699e-02,5.337339078159573091e+00,5.386808157302951372e+00
8.349999999999999645e+00,2.380151832661868638e-10,4.314847442187866311e-02,5.480430146501720501e-02,5.300474244294207438e+00,5.346745839584585269e+00
8.400000000000000355e+00,2.363952836347261638e-10,4.789566341083838219e-02,6.128389999086004264e-02,5.264307424838094107e+00,5.307478602686103386e+00
8.449999999999999289e+00,2.345908474556536219e-10,5.314241225997164836e-02,6.850164470715006115e-02,5.229044547538791221e+00,5.269093551445450885e+00
8.500000000000000000e+00,2.325826286265313126e-10,5.893593947151946205e-02,7.653452002363930751e-02,5.194899884672750545e+00,5.231614427808978007e+00
8.550000000000000711e+00,2.303498287686109154e-10,6.532766394123171172e-02,8.546571945532101255e-02,5.162036915385641578e+00,5.195006446750497275e+00
8.599999999999999645e+00,2.278700938356421074e-10,7.237057493126995700e-02,9.538465918719615799e-02,5.130736359790681433e+00,5.159506601868095288e+00
8.650000000000000355e+00,2.251195506458708738e-10,8.012028608075429104e-02,1.063868319462810408e-01,5.101357239169402646e+00,5.125257985639464664e+00
8.699999999999999289e+00,2.220728956881963166e-10,8.863488590649989951e-02,1.185734517769793384e-01,5.074127370472936605e+00,5.092339171286376143e+00
8.750000000000000000e+00,2.187035509200204684e-10,9.797336906205227069e-02,1.320508308496827210e-01,5.049245443786460896e+00,5.060862053394828308e+00
8.800000000000000711e+00,2.149839037867431142e-10,1.081965388768356684e-01,1.469294193827921369e-01,5.026921183141681126e+00,5.030845041768273518e+00
8.849999999999999645e+00,2.108856512225145170e-10,1.193650912345713688e-01,1.633224296397065012e-01,5.007431245782690610e+00,5.002615058366664869e+00
8.900000000000000355e+00,2.063802697322927947e-10,1.315317561774743127e-01,1.813439556005934650e-01,4.991214706475638252e+00,4.976537835234850604e+00
8.949999999999999289e+00,2.014396354961524768e-10,1.447456927297859075e-01,2.011064925451546415e-01,4.978648839580074537e+00,4.952742287967069501e+00
9.000000000000000000e+00,1.960368193347494552e-10,1.590569100560998150e-01,2.227177571907668074e-01,4.969830950318666396e+00,4.931187639614876161e+00
9.050000000000000711e+00,1.901470807230802475e-10,1.744996321266226447e-01,2.462767116374436072e-01,4.964447525935604233e+00,4.910467444481795951e+00
9.099999999999999645e+00,1.837490820415809852e-10,1.910876419558479034e-01,2.718687063634406265e-01,4.961902321788414838e+00,4.888680925330866955e+00
9.150000000000000355e+00,1.768263379088428006e-10,2.087209533499020664e-01,2.995596828943933310e-01,4.964844863167023448e+00,4.871470656364166985e+00
9.199999999999999289e+00,1.693689035561345663e-10,2.273531124021518912e-01,3.293894203052263325e-01,4.975368737211596226e+00,4.863407099990972426e+00
9.250000000000000000e+00,1.613752894522059186e-10,2.470403209365304720e-01,3.613638767209408909e-01,4.992215603573015414e+00,4.861936313345225358e+00
9.300000000000000711e+00,1.528545654313956398e-10,2.677341491735926726e-01,3.954467728041820562e-01,5.015324822781856540e+00,4.866458660053091023e+00
9.349999999999999645e+00,1.438285853064472687e-10,2.893522522234847627e-01,4.315506933039755522e-01,5.045100145166685479e+00,4.877309648184620983e+00
9.400000000000000355e+00,1.343342218412478691e-10,3.117763387219640858e-01,4.695281471647730909e-01,5.081860945783098771e+00,4.894439611385337230e+00
9.449999999999999289e+00,1.244254526311272933e-10,3.348319646649328685e-01,5.091632240052553771e-01,5.126238867196924787e+00,4.918457054380361626e+00
9.500000000000000000e+00,1.141750823457542370e-10,3.583021711027193357e-01,5.501647051467476457e-01,5.179077964123806055e+00,4.950349879036657796e+00
9.550000000000000711e+00,1.036758310746287792e-10,3.819362160454846666e-01,5.921617102312495273e-01,5.240740692757853481e+00,4.989985735093746655e+00
9.599999999999999645e+00,9.304047085269982842e-11,4.054316612597118619e-01,6.347031511189653585e-01,5.311987324134776145e+00,5.038065256462658681e+00
9.650000000000000355e+00,8.240066563352219630e-11,4.284491048315976491e-01,6.772623719956757382e-01,5.393662344974337941e+00,5.095365913608134179e+00
9.699999999999999289e+00,7.190418085790208867e-11,4.506277335593647515e-01,7.192483110981562344e-01,5.486448067395201633e+00,5.162372674216797463e+00
9.750000000000000000e+00,6.171019685694709084e-11,4.715914059215896570e-01,7.600242471019763579e-01,5.591071485234266447e+00,5.239616328483734264e+00
9.800000000000000711e+00,5.198260451915195711e-11,4.909732313252734848e-01,7.989346164531567762e-01,5.708538223669776812e+00,5.327693531404776195e+00
9.849999999999999645e+00,4.288139437796096349e-11,5.084222029039165980e-01,8.353394570179206724e-01,5.839540764915717830e+00,5.426763077283297321e+00
9.900000000000000355e+00,3.455256917521713530e-11,5.236542056673919587e-01,8.686547578288960070e-01,5.985205309406985918e+00,5.538185644381513839e+00
9.949999999999999289e+00,2.711738811533318564e-11,5.364749390166461129e-01,8.983954820684317832e-01,6.145983308652127164e+00,5.662118037494188627e+00
1.000000000000000000e+01,2.066212874345688404e-11,5.467642621023974803e-01,9.242165195559369772e-01,6.321229728055925534e+00,5.797402237685048476e+00
1.005000000000000071e+01,1.522983540532889524e-11,5.545110220577744720e-01,9.459456929084489873e-01,6.510207528281178213e+00,5.943174192101523090e+00
1.009999999999999964e+01,1.081559382952123165e-11,5.598279966025855314e-01,9.636026592116796463e-01,6.711403095086822645e+00,6.098134951909820245e+00
1.015000000000000036e+01,7.366617412741415255e-12,5.629431301573778468e-01,9.773985648787989478e-01,6.921405458195998506e+00,6.258873438067681150e+00
