# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.980273276259058468e-01,1.000000000000000000e+00,5.454094454408249248e-01,1.046234951914357225e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.978517499213641617e-01,1.000000000000000000e+00,5.380241244989605320e-01,1.038898820712660154e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.973242035800531369e-01,1.000000000000000000e+00,5.356962513877761012e-01,1.036436020819614612e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.968157558610796221e-01,1.000000000000000000e+00,5.317743927832481177e-01,1.032384922383911885e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.965790436396478880e-01,1.000000000000000000e+00,5.211291356492608884e-01,1.021740173671751961e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.959895620253306214e-01,1.000000000000000000e+00,5.159053789160523706e-01,1.016330637154467809e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.957209226933464441e-01,1.000000000000000000e+00,5.022887256460251137e-01,1.002689537134578757e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.953957262168390274e-01,1.000000000000000000e+00,4.875557807254722320e-01,9.879002517001609363e-01
5.900000000000000355e+00,0.000000000000000000e+00,9.947347331485129063e-01,1.000000000000000000e+00,4.778118624750291588e-01,9.779846269215966004e-01
5.950000000000000178e+00,0.000000000000000000e+00,9.943146580725911177e-01,1.000000000000000000e+00,4.585598256298055730e-01,9.587003169661798552e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.934721910040196224e-01,1.000000000000000000e+00,4.440756642622005756e-01,9.440844557643899293e-01
6.049999999999999822e+00,0.000000000000000000e+00,9.928975464942164653e-01,1.000000000000000000e+00,4.182401932668753375e-01,9.184847488753931088e-01
6.099999999999999645e+00,0.000000000000000000e+00,9.922316886861833884e-01,1.000000000000000000e+00,3.884361710879744578e-01,8.890626137939534601e-01
6.150000000000000355e+00,0.000000000000000000e+00,9.913783067086200385e-01,1.000000000000000000e+00,3.528116610176255108e-01,8.536764664313309936e-01
6.200000000000000178e+00,0.000000000000000000e+00,9.902801985686440212e-01,1.000000000000000000e+00,3.094893622197218974e-01,8.099354513294230173e-01
6.250000000000000000e+00,0.000000000000000000e+00,9.887906882361602312e-01,1.000000000000000000e+00,2.509310465696401593e-01,7.496045146397563030e-01
6.299999999999999822e+00,0.000000000000000000e+00,9.869019810053614172e-01,1.000000000000000000e+00,1.444376630661992067e-01,6.398778421447346432e-01
6.349999999999999645e+00,0.000000000000000000e+00,9.843717224672728916e-01,1.000000000000000000e+00,1.652438116223464704e-02,5.054654360004349201e-01
6.400000000000000355e+00,0.000000000000000000e+00,9.809783017070302646e-01,1.000000000000000000e+00,-4.805678782130939908e-02,4.328978176268023503e-01
6.450000000000000178e+00,0.000000000000000000e+00,9.772908053146089902e-01,1.000000000000000000e+00,-2.345955165940267761e-01,2.378333809960224698e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.727911074874350250e-01,1.000000000000000000e+00,-3.085564534368643308e-01,1.601937591177744480e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.683570093893073549e-01,1.000000000000000000e+00,-3.078038111972674074e-01,9.576472957471793279e-02
6.599999999999999645e+00,0.000000000000000000e+00,9.580449912406315827e-01,1.000000000000000000e+00,-3.933741845866904896e-01,2.123124782438878810e-02
6.650000000000000355e+00,0.000000000000000000e+00,9.549528900705963608e-01,1.000000000000000000e+00,-2.841392117703378517e-01,1.069510686469357097e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.525699157796103655e-01,1.000000000000000000e+00,4.779488468311399174e-02,4.297049141004976036e-01
6.750000000000000000e+00,0.000000000000000000e+00,9.437428647085145395e-01,1.000000000000000000e+00,-9.613674353163048636e-02,1.703024554603160823e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.338137231296456120e-01,1.000000000000000000e+00,-1.332655195769163470e-01,7.450950725178984158e-02
6.849999999999999645e+00,0.000000000000000000e+00,9.254300130650696676e-01,1.000000000000000000e+00,-1.349995106985346638e-01,1.720370135771531750e-03
6.900000000000000355e+00,0.000000000000000000e+00,9.166496530330169312e-01,1.000000000000000000e+00,2.471095393652049665e-01,1.177708206324794560e-01
6.950000000000000178e+00,0.000000000000000000e+00,9.080314183800213268e-01,1.000000000000000000e+00,8.194274424770995324e-01,6.730096473780378119e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.000864045087197951e-01,1.000000000000000000e+00,8.989011013995593657e-01,8.413772614723100673e-01
7.049999999999999822e+00,0.000000000000000000e+00,8.923663230740268570e-01,1.000000000000000000e+00,9.510423911201044689e-01,9.389768446887813980e-01
7.099999999999999645e+00,0.000000000000000000e+00,8.845168526357427563e-01,1.000000000000000000e+00,1.039512405462112099e+00,1.088719744388058075e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.771286085909447694e-01,1.000000000000000000e+00,1.207132892496844079e+00,1.274392375383264664e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.703326464438174703e-01,1.000000000000000000e+00,1.356456393725039788e+00,1.395129620266651216e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.633352914379338605e-01,1.000000000000000000e+00,1.529250632104279362e+00,1.555801879197503013e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.566296965775901384e-01,1.000000000000000000e+00,1.652113775114351313e+00,1.711801155757271431e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.505010161287783754e-01,1.000000000000000000e+00,1.728687684730019214e+00,1.778759925852192225e+00
7.400000000000000355e+00,0.000000000000000000e+00,8.442195086822723571e-01,1.000000000000000000e+00,1.808573900983738270e+00,1.852991481156962550e+00
7.450000000000000178e+00,0.000000000000000000e+00,8.378620496139681517e-01,1.000000000000000000e+00,1.895377078168685614e+00,1.936106995127701680e+00
7.500000000000000000e+00,0.000000000000000000e+00,8.315060124567246191e-01,1.000000000000000000e+00,2.005087640006706806e+00,2.077064251061116806e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.261391034743461592e-01,1.000000000000000000e+00,2.038387682858555650e+00,2.117546316601114142e+00
