# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.321878151970546329e-10,4.171965655617364353e-05,4.180211844039962923e-05,1.149241371686072455e+01,1.199323922333424974e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.680967787725686887e-05,4.690265783115182802e-05,1.136700520900491540e+01,1.186783345902034625e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.251872100678416463e-05,5.262553372499379189e-05,1.124111699496081229e+01,1.174194279410642139e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.892101823514202101e-05,5.904667659396805712e-05,1.111498242264525516e+01,1.161579154784033818e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.610181121861598633e-05,6.625128025806404307e-05,1.098816395517905420e+01,1.148895121300553512e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.415538001298498474e-05,7.433493177801762789e-05,1.086067707056789544e+01,1.136143428674883893e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.318771033157937908e-05,8.340487911107849212e-05,1.073240959961111685e+01,1.123312842238314602e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.331905053558449815e-05,9.358145331014023596e-05,1.060292049339481935e+01,1.110360030597533409e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046808409126980975e-04,1.049996640927925730e-04,1.047256530692345677e+01,1.097319722610201609e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174219666508777234e-04,1.178109898862245153e-04,1.034115888219825052e+01,1.084173655549015081e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317084646460125227e-04,1.321853860294444898e-04,1.020856330876893026e+01,1.070908293956789237e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477266066887933209e-04,1.483135376779151724e-04,1.007449837081437494e+01,1.057497276937930053e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.656877839204097340e-04,1.664093871859453184e-04,9.938232013568843115e+00,1.043870256255089402e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.858248020212773682e-04,1.867129693493121739e-04,9.799403216749766443e+00,1.029990729084077827e+01
