# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.986893429808039180e-01,1.000000000000000000e+00,9.466083974036294535e-01,1.454344559408021098e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.985510238500157065e-01,1.000000000000000000e+00,9.447808597324396374e-01,1.452491637745538355e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.984424166833932857e-01,1.000000000000000000e+00,9.415468084477822686e-01,1.449209433029508887e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.983526612162184621e-01,1.000000000000000000e+00,9.369335845895250259e-01,1.444540567979160528e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.981559708071561232e-01,1.000000000000000000e+00,9.342803189649160345e-01,1.441830628515361923e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.979917681005970875e-01,1.000000000000000000e+00,9.298326020627669664e-01,1.437320655634636068e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.978618201425957235e-01,1.000000000000000000e+00,9.233300187576602980e-01,1.430717951980227554e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.975889252221638026e-01,1.000000000000000000e+00,9.194382083899057534e-01,1.426747280253898964e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.973296284179899995e-01,1.000000000000000000e+00,9.135523971760619588e-01,1.420743605661449749e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.970837078766672246e-01,1.000000000000000000e+00,9.059676403527703314e-01,1.413067768933665036e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.967962227427260569e-01,1.000000000000000000e+00,8.978015588314534057e-01,1.404790584974954015e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.964619321739590641e-01,1.000000000000000000e+00,8.885566238559547969e-01,1.395412130011187912e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.960896049315570711e-01,1.000000000000000000e+00,8.779701114823978969e-01,1.384661837929662909e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.956405096551280698e-01,1.000000000000000000e+00,8.662111919556352291e-01,1.372699913271134164e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.954661900987161749e-01,1.000000000000000000e+00,8.435081291892529975e-01,1.349830979066929615e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.951890142259923744e-01,1.000000000000000000e+00,8.172290710703364880e-01,1.323363089249284030e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.948165932438838288e-01,1.000000000000000000e+00,7.672362905825593771e-01,1.273948002736737806e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.944693940257174347e-01,1.000000000000000000e+00,6.906706963589641646e-01,1.198238548149554106e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.938458374773281312e-01,1.000000000000000000e+00,5.726713036814388147e-01,1.078184064342757154e+00
6.450000000000000178e+00,0.000000000000000000e+00,9.931136406499631031e-01,1.000000000000000000e+00,3.210762369111108683e-01,8.192144302851218640e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.910407819517612626e-01,1.000000000000000000e+00,-3.368280402575365429e-01,9.176674593615530284e-02
6.549999999999999822e+00,0.000000000000000000e+00,9.846604477681487610e-01,1.000000000000000000e+00,-4.728677765806743594e-01,-5.525932697069180222e-02
6.599999999999999645e+00,0.000000000000000000e+00,9.776987272453949718e-01,1.000000000000000000e+00,-1.295372921143425060e-01,2.249545478039181035e-01
6.650000000000000355e+00,0.000000000000000000e+00,9.717379214158141654e-01,1.000000000000000000e+00,-3.949699655809979504e-02,2.824275364940049826e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.661560526925895287e-01,1.000000000000000000e+00,-2.760986049797580222e-01,3.602648888447390618e-02
6.750000000000000000e+00,0.000000000000000000e+00,9.609126100482878741e-01,1.000000000000000000e+00,-7.163479495696307708e-01,-5.766205256881846708e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.528627749060031293e-01,1.000000000000000000e+00,-3.445263499051733902e-01,-4.460987602116013306e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.432423449184009767e-01,1.000000000000000000e+00,-5.499899829117538275e-02,-2.461499584469848401e-01
6.900000000000000355e+00,0.000000000000000000e+00,9.344263066434257414e-01,1.000000000000000000e+00,-8.500026431911322788e-02,1.890963012858293268e-02
6.950000000000000178e+00,0.000000000000000000e+00,9.257373868642475578e-01,1.000000000000000000e+00,4.030587129165041915e-03,2.600752414689182501e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.167997415812313422e-01,1.000000000000000000e+00,3.377985568158479168e-01,6.222656214556536725e-01
7.049999999999999822e+00,0.000000000000000000e+00,9.078372124371536511e-01,1.000000000000000000e+00,6.614743481410201298e-01,9.584095310680638136e-01
7.099999999999999645e+00,0.000000000000000000e+00,8.984480188326742223e-01,1.000000000000000000e+00,1.008787935371145750e+00,1.250586424142788644e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.888422946342980913e-01,1.000000000000000000e+00,1.362600263596000616e+00,1.589322893069720521e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.803983018595121779e-01,1.000000000000000000e+00,1.509129997910740428e+00,1.719060374654489465e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.727514735153576453e-01,1.000000000000000000e+00,1.575716285967644126e+00,1.772487820177076401e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.649947697208657527e-01,1.000000000000000000e+00,1.654847943050327785e+00,1.864765287795385973e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.579560014389018274e-01,1.000000000000000000e+00,1.700974468846112586e+00,1.887410389167222036e+00
7.400000000000000355e+00,0.000000000000000000e+00,8.510099476334820334e-01,1.000000000000000000e+00,1.724553378710453444e+00,1.875180824124896617e+00
7.450000000000000178e+00,0.000000000000000000e+00,8.440297836009941213e-01,1.000000000000000000e+00,1.796643628351553446e+00,1.917558876883070695e+00
7.500000000000000000e+00,0.000000000000000000e+00,8.372633667150566339e-01,1.000000000000000000e+00,1.850950926533414531e+00,1.959208200706946457e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.303964434808185358e-01,1.000000000000000000e+00,1.908979119510597400e+00,2.002900152846066817e+00
7.599999999999999645e+00,0.000000000000000000e+00,8.236618756583127254e-01,1.000000000000000000e+00,2.032609116166206320e+00,2.129317312607575730e+00
7.650000000000000355e+00,0.000000000000000000e+00,8.169577607480015269e-01,1.000000000000000000e+00,2.119477376657869172e+00,2.214804728618524621e+00
7.700000000000000178e+00,0.000000000000000000e+00,8.102279753298559095e-01,1.000000000000000000e+00,2.207785139525498153e+00,2.302189016719346171e+00
7.750000000000000000e+00,0.000000000000000000e+00,8.033739259461220028e-01,1.000000000000000000e+00,2.293121366224674773e+00,2.391090284637655827e+00
7.799999999999999822e+00,0.000000000000000000e+00,7.966813557241972932e-01,1.000000000000000000e+00,2.355080009876935776e+00,2.454797611441385641e+00
7.849999999999999645e+00,0.000000000000000000e+00,7.897870720419211121e-01,1.000000000000000000e+00,2.426633345549184639e+00,2.534157909011959475e+00
7.900000000000000355e+00,0.000000000000000000e+00,7.830831454784918932e-01,1.000000000000000000e+00,2.505644064710878638e+00,2.602215858084051092e+00
7.950000000000000178e+00,0.000000000000000000e+00,7.764488412651247007e-01,1.000000000000000000e+00,2.572014718251082854e+00,2.659907915474114759e+00
8.000000000000000000e+00,0.000000000000000000e+00,7.696775163420677135e-01,1.000000000000000000e+00,2.644600856680547452e+00,2.727501173079303953e+00
8.050000000000000711e+00,0.000000000000000000e+00,7.629840068630626693e-01,1.000000000000000000e+00,2.730117504533666306e+00,2.796283030418884152e+00
8.099999999999999645e+00,0.000000000000000000e+00,7.564039792190193623e-01,1.000000000000000000e+00,2.802098333953487952e+00,2.859060492568424650e+00
8.150000000000000355e+00,0.000000000000000000e+00,7.482646261938340482e-01,1.000000000000000000e+00,2.874045163549375559e+00,2.913107821502649131e+00
8.199999999999999289e+00,0.000000000000000000e+00,7.407598921804637859e-01,1.000000000000000000e+00,2.952152952698838817e+00,2.970022999734489133e+00
8.250000000000000000e+00,0.000000000000000000e+00,7.343508898588002598e-01,1.000000000000000000e+00,3.046313638265573331e+00,3.043462423800257000e+00
8.300000000000000711e+00,0.000000000000000000e+00,7.280202152632789803e-01,1.000000000000000000e+00,3.131037749014950577e+00,3.117279243161618751e+00
8.349999999999999645e+00,0.000000000000000000e+00,7.216280940732980875e-01,1.000000000000000000e+00,3.229289115719602421e+00,3.206694706519954252e+00
8.400000000000000355e+00,0.000000000000000000e+00,7.154756610211971957e-01,1.000000000000000000e+00,3.301396622107574785e+00,3.276609994179985108e+00
8.449999999999999289e+00,0.000000000000000000e+00,7.093860331758302662e-01,1.000000000000000000e+00,3.373712766073545311e+00,3.341603691434208656e+00
8.500000000000000000e+00,0.000000000000000000e+00,7.032247690352179115e-01,1.000000000000000000e+00,3.455800250305230747e+00,3.422037073724879974e+00
8.550000000000000711e+00,0.000000000000000000e+00,6.973997294036817785e-01,1.000000000000000000e+00,3.527642672226498632e+00,3.489154488218275674e+00
8.599999999999999645e+00,0.000000000000000000e+00,6.916167112720630339e-01,1.000000000000000000e+00,3.599827816309840500e+00,3.545483584766891738e+00
8.650000000000000355e+00,0.000000000000000000e+00,6.857584630311100993e-01,1.000000000000000000e+00,3.681832898999928716e+00,3.615143983320947996e+00
8.699999999999999289e+00,0.000000000000000000e+00,6.798671198823026396e-01,1.000000000000000000e+00,3.800966268885495936e+00,3.702632121059536985e+00
8.750000000000000000e+00,0.000000000000000000e+00,6.731297468795385264e-01,1.000000000000000000e+00,3.903824580876246841e+00,3.782583285949925767e+00
8.800000000000000711e+00,0.000000000000000000e+00,6.680912466865261967e-01,1.000000000000000000e+00,4.014154644729039489e+00,3.867041753740650734e+00
8.849999999999999645e+00,0.000000000000000000e+00,6.624950640602228491e-01,1.000000000000000000e+00,4.120453249104670590e+00,3.954483535356025925e+00
8.900000000000000355e+00,0.000000000000000000e+00,6.572135071662976724e-01,1.000000000000000000e+00,4.214855535383300378e+00,4.036009152155713764e+00
8.949999999999999289e+00,0.000000000000000000e+00,6.516769060794067592e-01,1.000000000000000000e+00,4.309034815258648621e+00,4.118522799485063501e+00
9.000000000000000000e+00,0.000000000000000000e+00,6.458942783672452226e-01,1.000000000000000000e+00,4.397000778801285037e+00,4.191572192791049645e+00
9.050000000000000711e+00,0.000000000000000000e+00,6.406802168531674502e-01,1.000000000000000000e+00,4.464879245094834914e+00,4.231940036890385670e+00
9.099999999999999645e+00,0.000000000000000000e+00,6.355941879793330918e-01,1.000000000000000000e+00,4.514641439350967289e+00,4.248103933185191750e+00
9.150000000000000355e+00,0.000000000000000000e+00,6.294299844154861434e-01,1.000000000000000000e+00,4.528533653386965341e+00,4.205661651467600848e+00
9.199999999999999289e+00,0.000000000000000000e+00,6.211262299042854540e-01,1.000000000000000000e+00,4.747335034076272109e+00,4.433163319238296651e+00
9.250000000000000000e+00,0.000000000000000000e+00,6.164575647558584448e-01,1.000000000000000000e+00,4.847103958777303490e+00,4.505991414215159807e+00
9.300000000000000711e+00,0.000000000000000000e+00,6.108768090882589208e-01,1.000000000000000000e+00,4.951234136875804381e+00,4.579000355988974036e+00
9.349999999999999645e+00,0.000000000000000000e+00,6.061505541548082299e-01,1.000000000000000000e+00,5.050348238438452597e+00,4.656363744563954299e+00
9.400000000000000355e+00,0.000000000000000000e+00,6.015350274899431415e-01,1.000000000000000000e+00,5.155627601973193919e+00,4.744707401596713225e+00
9.449999999999999289e+00,0.000000000000000000e+00,5.970375576633965009e-01,1.000000000000000000e+00,5.259090284711142260e+00,4.836306476717709302e+00
9.500000000000000000e+00,0.000000000000000000e+00,5.928678575639850790e-01,1.000000000000000000e+00,5.375066816604963549e+00,4.945514095222073081e+00
9.550000000000000711e+00,0.000000000000000000e+00,5.888817426658061738e-01,1.000000000000000000e+00,5.480797511746580142e+00,5.034390849094016573e+00
9.599999999999999645e+00,0.000000000000000000e+00,5.849784778747005864e-01,1.000000000000000000e+00,5.602585745000624229e+00,5.142720034283129849e+00
9.650000000000000355e+00,0.000000000000000000e+00,5.812553444018887516e-01,1.000000000000000000e+00,5.705668579615917224e+00,5.227325889779720569e+00
9.699999999999999289e+00,0.000000000000000000e+00,5.775860352636180695e-01,1.000000000000000000e+00,5.812771548744109396e+00,5.317065028474104338e+00
9.750000000000000000e+00,0.000000000000000000e+00,5.739829667391594947e-01,1.000000000000000000e+00,5.912725710626112630e+00,5.390591696278413281e+00
9.800000000000000711e+00,0.000000000000000000e+00,5.704748499518782490e-01,1.000000000000000000e+00,5.998178253995853026e+00,5.437834085418188579e+00
9.849999999999999645e+00,0.000000000000000000e+00,5.670331297493239608e-01,1.000000000000000000e+00,6.116040248871087215e+00,5.529427208759187806e+00
9.900000000000000355e+00,0.000000000000000000e+00,5.637353937487570299e-01,1.000000000000000000e+00,6.241389324464613253e+00,5.648424971343544598e+00
9.949999999999999289e+00,0.000000000000000000e+00,5.605697447347767204e-01,1.000000000000000000e+00,6.374677797064734364e+00,5.775394353846920126e+00
1.000000000000000000e+01,0.000000000000000000e+00,5.575562728023046866e-01,1.000000000000000000e+00,6.516835566534105340e+00,5.909072408159190104e+00
1.005000000000000071e+01,0.000000000000000000e+00,5.548095771974907997e-01,1.000000000000000000e+00,6.616496734819918402e+00,5.992139707110311520e+00
1.009999999999999964e+01,0.000000000000000000e+00,5.522020022145599505e-01,1.000000000000000000e+00,6.716406394835701121e+00,6.075926208474555779e+00
1.015000000000000036e+01,0.000000000000000000e+00,5.497413456345405791e-01,1.000000000000000000e+00,6.799780285531227264e+00,6.147755770456008406e+00
