# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,3.363314609928959146e-10,1.062235469222891170e-04,1.063629522722671806e-04,1.087963243900789934e+01,1.138736860101229809e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.191830986396738085e-04,1.193404278445334078e-04,1.075453805694173326e+01,1.126227280988994295e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.337219626103644955e-04,1.339011962210633685e-04,1.062917828484809490e+01,1.113690774298262909e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.500329689067528196e-04,1.502383968961633624e-04,1.050342950185385860e+01,1.101114854159844469e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.683312600417206581e-04,1.685687226273783351e-04,1.037736911709830423e+01,1.088507270042287445e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.888581792402157958e-04,1.891352899204490551e-04,1.025103567194945242e+01,1.075871892244412464e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.118858763610126296e-04,2.122108588729707391e-04,1.012424653365549432e+01,1.063190262246141060e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.377174989550042404e-04,2.381014447763088037e-04,9.997087152999306170e+00,1.050470914450871618e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.666925392051704906e-04,2.671503689839050777e-04,9.869626559383377185e+00,1.037720720313826916e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.991938447394786775e-04,2.997428022806590932e-04,9.741693030528580266e+00,1.024922518896611479e+01
6.000000000000000000e+00,3.362548116901911995e-10,3.356498890243154662e-04,3.363108603862553889e-04,9.613212237261514304e+00,1.012068981164132708e+01
6.049999999999999822e+00,3.362411355375255976e-10,3.765398923413838979e-04,3.773393183831896315e-04,9.484150069786082327e+00,9.991565196645375124e+00
6.099999999999999645e+00,3.362257913040335868e-10,4.224009641530963042e-04,4.233720188591539690e-04,9.354433356073940331e+00,9.861775973390983552e+00
6.150000000000000355e+00,3.362085756244888758e-10,4.738341825852308603e-04,4.750190574934287191e-04,9.223991520079863449e+00,9.731248618785762972e+00
6.200000000000000178e+00,3.361892603637229642e-10,5.315221499303524055e-04,5.329648397909720345e-04,9.092197534163076966e+00,9.599356961535050914e+00
6.250000000000000000e+00,3.361675896057175422e-10,5.962304201081239634e-04,5.979771138074227660e-04,8.958365897547039935e+00,9.465416920715895799e+00
6.299999999999999822e+00,3.361432762782788540e-10,6.688055562697100545e-04,6.709170961234686009e-04,8.821049605002379224e+00,9.328027387539876258e+00
6.349999999999999645e+00,3.361159983696005328e-10,7.502005052156849544e-04,7.527508221582534251e-04,8.677478259134822736e+00,9.184478993364116661e+00
6.400000000000000355e+00,3.360853946878800272e-10,8.414744366830917465e-04,8.445618673199099770e-04,8.523671504132202870e+00,9.030601337919009097e+00
6.450000000000000178e+00,3.360510601094509975e-10,9.438055888074507477e-04,9.475656026068789324e-04,8.346887794440029040e+00,8.852973009111927638e+00
