# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.985491197836166011e-01,1.000000000000000000e+00,1.025648937962728269e+00,1.535977574931180811e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.982616522632710154e-01,1.000000000000000000e+00,1.027135614565999333e+00,1.537336960001361774e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.981808342455136263e-01,1.000000000000000000e+00,1.023572443456409076e+00,1.533741749331923643e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.978479614950899190e-01,1.000000000000000000e+00,1.025287255423428689e+00,1.535335470173443184e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.975142455810019904e-01,1.000000000000000000e+00,1.025865062132417904e+00,1.535761647709833255e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.973465476268731367e-01,1.000000000000000000e+00,1.022153835325887883e+00,1.531992293540788808e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.969722779647679500e-01,1.000000000000000000e+00,1.022514867824746432e+00,1.532227645449800946e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.969252116560518573e-01,1.000000000000000000e+00,1.014053815250399282e+00,1.523762414450821723e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.966844801630890816e-01,1.000000000000000000e+00,1.009061057160828057e+00,1.518689399764866721e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.964643030072354302e-01,1.000000000000000000e+00,1.004036117703762443e+00,1.513741238160292824e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.962105765076981756e-01,1.000000000000000000e+00,9.970038974257420250e-01,1.506622808978072214e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.959008708642260732e-01,1.000000000000000000e+00,9.896986326941927814e-01,1.499214026215469175e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.955921860937338996e-01,1.000000000000000000e+00,9.806768643939420826e-01,1.490081996086175309e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.955806733216489013e-01,1.000000000000000000e+00,9.624805064586112735e-01,1.471850886342267017e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.953000512545615575e-01,1.000000000000000000e+00,9.459013908962106143e-01,1.455075542279132605e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.949228668404230813e-01,1.000000000000000000e+00,9.266979516298690100e-01,1.435590094535307060e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.946215230610639946e-01,1.000000000000000000e+00,9.019440793746724694e-01,1.410553824929728250e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.945375518616054178e-01,1.000000000000000000e+00,8.583623272147633543e-01,1.366874982321135690e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.944667474924756556e-01,1.000000000000000000e+00,7.627131058904836891e-01,1.271498155582371226e+00
6.450000000000000178e+00,0.000000000000000000e+00,9.937370590300313999e-01,1.000000000000000000e+00,5.473682998962203783e-01,1.050609291025459413e+00
6.500000000000000000e+00,0.000000000000000000e+00,9.918204962259901114e-01,1.000000000000000000e+00,-1.875056992297601255e-01,2.427558473198487832e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.854440566563964499e-01,1.000000000000000000e+00,-3.558286477054082297e-01,6.889321952252203118e-02
6.599999999999999645e+00,0.000000000000000000e+00,9.774860414200999825e-01,1.000000000000000000e+00,-4.249369067023494040e-01,-2.902586297659581760e-01
6.650000000000000355e+00,0.000000000000000000e+00,9.717477225091309956e-01,1.000000000000000000e+00,3.798607060135310576e-01,8.391572175576982318e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.661388527101592016e-01,1.000000000000000000e+00,4.008249036105340224e-01,8.468202316149913145e-01
6.750000000000000000e+00,0.000000000000000000e+00,9.605004596207227241e-01,1.000000000000000000e+00,5.676816101129418257e-01,1.018888157501585567e+00
6.799999999999999822e+00,0.000000000000000000e+00,9.494484119923726206e-01,1.000000000000000000e+00,7.453878226721855071e-01,1.197381457927079396e+00
6.849999999999999645e+00,0.000000000000000000e+00,9.408461272363681793e-01,1.000000000000000000e+00,7.198895862442213911e-01,1.159543797301957113e+00
6.900000000000000355e+00,0.000000000000000000e+00,9.323237702954032535e-01,1.000000000000000000e+00,7.994503794581220291e-01,1.236739735071168411e+00
6.950000000000000178e+00,0.000000000000000000e+00,9.238055978564146953e-01,1.000000000000000000e+00,8.863070525928407051e-01,1.318785724879063537e+00
7.000000000000000000e+00,0.000000000000000000e+00,9.150384722969497897e-01,1.000000000000000000e+00,1.006049551466503544e+00,1.428932528083542763e+00
7.049999999999999822e+00,0.000000000000000000e+00,9.061852952080522439e-01,1.000000000000000000e+00,1.096742971449316428e+00,1.507517772528622402e+00
7.099999999999999645e+00,0.000000000000000000e+00,8.970491120042901612e-01,1.000000000000000000e+00,1.207170015915465910e+00,1.587890640739971104e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.877879768606302680e-01,1.000000000000000000e+00,1.363020207007750173e+00,1.692104195750843587e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.788187843590558046e-01,1.000000000000000000e+00,1.611413456335668570e+00,1.909531888082327100e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.714513631365023993e-01,1.000000000000000000e+00,1.687545031592499356e+00,1.965812827914966476e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.639583363303344754e-01,1.000000000000000000e+00,1.774744560312477404e+00,2.032681280453871864e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.568297169899746768e-01,1.000000000000000000e+00,1.885869768061041896e+00,2.138609612133308246e+00
7.400000000000000355e+00,0.000000000000000000e+00,8.500102841327128456e-01,1.000000000000000000e+00,1.965229652288797979e+00,2.199137751037063992e+00
7.450000000000000178e+00,0.000000000000000000e+00,8.432210608785208894e-01,1.000000000000000000e+00,2.013805648023875960e+00,2.234638512296456270e+00
7.500000000000000000e+00,0.000000000000000000e+00,8.363044092680482766e-01,1.000000000000000000e+00,2.128626188995795587e+00,2.323679798443663458e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.293834823333936512e-01,1.000000000000000000e+00,2.208691858471084402e+00,2.401660270908962502e+00
7.599999999999999645e+00,0.000000000000000000e+00,8.228396477410437893e-01,1.000000000000000000e+00,2.272585655467864285e+00,2.465161317309167543e+00
7.650000000000000355e+00,0.000000000000000000e+00,8.159951671685226060e-01,1.000000000000000000e+00,2.337825680974262355e+00,2.529922901298149895e+00
7.700000000000000178e+00,0.000000000000000000e+00,8.091706865604990639e-01,1.000000000000000000e+00,2.405187143022374130e+00,2.596605456750459950e+00
7.750000000000000000e+00,0.000000000000000000e+00,8.022310075573055865e-01,1.000000000000000000e+00,2.478894276805135632e+00,2.672570918713965682e+00
7.799999999999999822e+00,0.000000000000000000e+00,7.953228034227785015e-01,1.000000000000000000e+00,2.540595744728719296e+00,2.727968381877950321e+00
7.849999999999999645e+00,0.000000000000000000e+00,7.882698357556905400e-01,1.000000000000000000e+00,2.618456660491119692e+00,2.801969038270250678e+00
7.900000000000000355e+00,0.000000000000000000e+00,7.815222924351646894e-01,1.000000000000000000e+00,2.674528486212558676e+00,2.843814788466659138e+00
7.950000000000000178e+00,0.000000000000000000e+00,7.746697809391658307e-01,1.000000000000000000e+00,2.727852369074554417e+00,2.885241035546869171e+00
8.000000000000000000e+00,0.000000000000000000e+00,7.677375307601038701e-01,1.000000000000000000e+00,2.796553056729727871e+00,2.943254696340844134e+00
8.050000000000000711e+00,0.000000000000000000e+00,7.608964378932878692e-01,1.000000000000000000e+00,2.846771160203275031e+00,2.951175231699302515e+00
8.099999999999999645e+00,0.000000000000000000e+00,7.540898649015004285e-01,1.000000000000000000e+00,2.910880023148173734e+00,3.004474908975211633e+00
8.150000000000000355e+00,0.000000000000000000e+00,7.457951649958727280e-01,1.000000000000000000e+00,2.963734268963520435e+00,3.037372297443447167e+00
8.199999999999999289e+00,0.000000000000000000e+00,7.382260017345068093e-01,1.000000000000000000e+00,3.028037691973040069e+00,3.082031269958427799e+00
8.250000000000000000e+00,0.000000000000000000e+00,7.317615122108196424e-01,1.000000000000000000e+00,3.095086368254449383e+00,3.142157023590144149e+00
8.300000000000000711e+00,0.000000000000000000e+00,7.252599159569214082e-01,1.000000000000000000e+00,3.162792792614993687e+00,3.202119127534828635e+00
8.349999999999999645e+00,0.000000000000000000e+00,7.172917692471171280e-01,1.000000000000000000e+00,3.238210770622814039e+00,3.257562814227767944e+00
8.400000000000000355e+00,0.000000000000000000e+00,7.125154722368172155e-01,1.000000000000000000e+00,3.299757434112493115e+00,3.314569691588495459e+00
8.449999999999999289e+00,0.000000000000000000e+00,7.062859301120458788e-01,1.000000000000000000e+00,3.371313783042090506e+00,3.385866960959262428e+00
8.500000000000000000e+00,0.000000000000000000e+00,7.000893165484420866e-01,1.000000000000000000e+00,3.455018306698050878e+00,3.474870885208261484e+00
8.550000000000000711e+00,0.000000000000000000e+00,6.941920047864394983e-01,1.000000000000000000e+00,3.515854898995840472e+00,3.526053903832064407e+00
8.599999999999999645e+00,0.000000000000000000e+00,6.881709680858556499e-01,1.000000000000000000e+00,3.585070761271595075e+00,3.583250089406668337e+00
8.650000000000000355e+00,0.000000000000000000e+00,6.820808940810378918e-01,1.000000000000000000e+00,3.672922644416601656e+00,3.658102620116409298e+00
8.699999999999999289e+00,0.000000000000000000e+00,6.748103814124557509e-01,1.000000000000000000e+00,3.768018005791553549e+00,3.743311375932812268e+00
8.750000000000000000e+00,0.000000000000000000e+00,6.692803479610566209e-01,1.000000000000000000e+00,3.856621666374429935e+00,3.812328522373888973e+00
8.800000000000000711e+00,0.000000000000000000e+00,6.640526354252874741e-01,1.000000000000000000e+00,3.972289272508007230e+00,3.900171256091496730e+00
8.849999999999999645e+00,0.000000000000000000e+00,6.585737276032781473e-01,1.000000000000000000e+00,4.071196699906487027e+00,3.970101714527714876e+00
8.900000000000000355e+00,0.000000000000000000e+00,6.531260489421264470e-01,1.000000000000000000e+00,4.170515427008567144e+00,4.044096368950278020e+00
8.949999999999999289e+00,0.000000000000000000e+00,6.468913562282232466e-01,1.000000000000000000e+00,4.272657934278377923e+00,4.121153957361471498e+00
9.000000000000000000e+00,0.000000000000000000e+00,6.418367178561608100e-01,1.000000000000000000e+00,4.365201686889996324e+00,4.188301045652451648e+00
9.050000000000000711e+00,0.000000000000000000e+00,6.369026967984322551e-01,1.000000000000000000e+00,4.422580902068517616e+00,4.213229334916960056e+00
9.099999999999999645e+00,0.000000000000000000e+00,6.314462322050654608e-01,1.000000000000000000e+00,4.443776730336558956e+00,4.178691406379250850e+00
9.150000000000000355e+00,0.000000000000000000e+00,6.228976598993800629e-01,1.000000000000000000e+00,4.657046868901851155e+00,4.385561091450476567e+00
9.199999999999999289e+00,0.000000000000000000e+00,6.183580890829757370e-01,1.000000000000000000e+00,4.738562664976107897e+00,4.454130253737041301e+00
