# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.321878151970546329e-10,4.174146857375153537e-05,4.180211844039962923e-05,1.197265320938262789e+01,1.248298184635108043e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.683386048275244500e-05,4.690265783115182802e-05,1.184773764051013245e+01,1.235805923187340483e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.254655226792141168e-05,5.262553372499379189e-05,1.172269508132467308e+01,1.223300181145766885e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.895492466718602547e-05,5.904667659396805712e-05,1.159756275382345336e+01,1.210784780931549420e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.614279828003070602e-05,6.625128025806404307e-05,1.147256900368711285e+01,1.198281989754966048e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.420566462613861465e-05,7.433493177801762789e-05,1.134740011955371841e+01,1.185760919401185731e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.324981484030363169e-05,8.340487911107849212e-05,1.122207231361229418e+01,1.173223399178272075e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.339533233702511025e-05,9.358145331014023596e-05,1.109632878142272716e+01,1.160644112215315715e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.047770328147252513e-04,1.049996640927925730e-04,1.096993447286493506e+01,1.147999792825105914e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.175444436144274440e-04,1.178109898862245153e-04,1.084314337813533768e+01,1.135316318771513266e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.318661558619413149e-04,1.321853860294444898e-04,1.071588316217749082e+01,1.122586328256510058e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.479306432136815103e-04,1.483135376779151724e-04,1.058807993016556992e+01,1.109801404956338189e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.659494655300893645e-04,1.664093871859453184e-04,1.045967941698863513e+01,1.096956052446105190e+01
