# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,5.003494851504283936e-10,1.580295149973608246e-04,1.582369093132481193e-04,1.044833891818691995e+01,1.095607508019131160e+01
5.549999999999999822e+00,5.003398320951906082e-10,1.773089607436883445e-04,1.775430197887848728e-04,1.032324802433082311e+01,1.083098277724042191e+01
5.599999999999999645e+00,5.003290014107782066e-10,1.989377431767001619e-04,1.992043886136566613e-04,1.019789215839139018e+01,1.070562161633188225e+01
5.650000000000000355e+00,5.003168494620983173e-10,2.232026722636481055e-04,2.235082859733705015e-04,1.007214774625706610e+01,1.057986678547943882e+01
5.700000000000000178e+00,5.003032151027859492e-10,2.504237345276095236e-04,2.507770045981571835e-04,9.946092256635658657e+00,1.045379583891625686e+01
5.750000000000000000e+00,5.002879175423513518e-10,2.809598729908963739e-04,2.813721254672552400e-04,9.819764295717135383e+00,1.032744754442977353e+01
5.799999999999999822e+00,5.002707539540770817e-10,3.152158335203028377e-04,3.156993020158745632e-04,9.692981293556563571e+00,1.020063737949832472e+01
5.849999999999999645e+00,5.002514967922859875e-10,3.536424414170216278e-04,3.542136255982097155e-04,9.565828784791847283e+00,1.007345077196061567e+01
5.900000000000000355e+00,5.002298907838445835e-10,3.967445467220438119e-04,3.974256424807470680e-04,9.438375891146854713e+00,9.945956528602351909e+00
5.950000000000000178e+00,5.002056495545602740e-10,4.450914423872371923e-04,4.459081010494811881e-04,9.310450979094561319e+00,9.817983128734745435e+00
6.000000000000000000e+00,5.001784518464336445e-10,4.993202267893142535e-04,5.003035173027490417e-04,9.181979824765768683e+00,9.689457387295512092e+00
6.049999999999999822e+00,5.001479372764935638e-10,5.601434032974231605e-04,5.613326571829884738e-04,9.052928438555603918e+00,9.560343549722340128e+00
6.099999999999999645e+00,5.001137015820887835e-10,6.283594822077900746e-04,6.298040459923998600e-04,8.923223778981864029e+00,9.430566375649142685e+00
6.150000000000000355e+00,5.000752912910010498e-10,7.048619951626260106e-04,7.066246281680104357e-04,8.792795415556881267e+00,9.300052487070288976e+00
6.200000000000000178e+00,5.000321977474823027e-10,7.906655750764508351e-04,7.928117152053627435e-04,8.661016415472737151e+00,9.168175807431516944e+00
6.250000000000000000e+00,4.999838504172520809e-10,8.869080313496015711e-04,8.895063756658600504e-04,8.527201372493379949e+00,9.034252350306381629e+00
6.299999999999999822e+00,4.999296093855086875e-10,9.948473999853353102e-04,9.979884391527193976e-04,8.389903257225114430e+00,8.896880989464058587e+00
6.349999999999999645e+00,4.998687569520575178e-10,1.115899618449540552e-03,1.119693306055066220e-03,8.246351416812437662e+00,8.753352111003160019e+00
6.400000000000000355e+00,4.998004882166134698e-10,1.251638190997561746e-03,1.256230776943191530e-03,8.092564954369528607e+00,8.599494739893401629e+00
6.450000000000000178e+00,4.997239005351203120e-10,1.403813180520864165e-03,1.409406139929389240e-03,7.915799962429119319e+00,8.421884969999233306e+00
6.500000000000000000e+00,4.996379817144386712e-10,1.574285003538561075e-03,1.581243781292674191e-03,7.658599137128177858e+00,8.153050543348783208e+00
6.549999999999999822e+00,4.995415967978818026e-10,1.764698601691626952e-03,1.774013614406376319e-03,7.352852530100250306e+00,7.829223912334533964e+00
6.599999999999999645e+00,4.994334732777342491e-10,1.976856079226295589e-03,1.990260654701483771e-03,7.109010681522988762e+00,7.567422222289621914e+00
6.650000000000000355e+00,4.993121845529719711e-10,2.213277872480309393e-03,2.232838104226102151e-03,6.926499969355155883e+00,7.365435049069432694e+00
6.700000000000000178e+00,4.991761314308323671e-10,2.476906197742403688e-03,2.504944348505410128e-03,6.740202725680482843e+00,7.158844154034596841e+00
6.750000000000000000e+00,4.990235214495952128e-10,2.770961324159572619e-03,2.810164310979718517e-03,6.501738518440660641e+00,6.874479367561768584e+00
6.799999999999999822e+00,4.988523457768879196e-10,3.098498413327806754e-03,3.152515656394193171e-03,6.281105717453954185e+00,6.582206710268152960e+00
6.849999999999999645e+00,4.986603534130212613e-10,3.462458212545651941e-03,3.536500384127552830e-03,6.128190871709691123e+00,6.359480561082193617e+00
6.900000000000000355e+00,4.984450224023430318e-10,3.866680379391483451e-03,3.967162405483958681e-03,5.995574535000734784e+00,6.190620734910005751e+00
6.950000000000000178e+00,4.982035277275000460e-10,4.315773713984075166e-03,4.450151755169982383e-03,5.867269256484185291e+00,6.060129743811955905e+00
