# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,9.996845555433802483e-10,3.157192668083002294e-04,3.161780032180248803e-04,9.775819806968243597e+00,1.028614844393669614e+01
5.549999999999999822e+00,9.996459828359651938e-10,3.542303574464019875e-04,3.547507106329904174e-04,9.650923101337546939e+00,1.016124469165808364e+01
5.599999999999999645e+00,9.996027053182175144e-10,3.974308566192163105e-04,3.980282283807901143e-04,9.525901683468397607e+00,1.003620841028776312e+01
5.650000000000000355e+00,9.995541493751204747e-10,4.458902223444188113e-04,4.465841714777974347e-04,9.400793063896536239e+00,9.911078112505194326e+00
5.700000000000000178e+00,9.994996715187609801e-10,5.002415569482338530e-04,5.010620278372611772e-04,9.275825944145410062e+00,9.786076824939861751e+00
5.750000000000000000e+00,9.994385498932694719e-10,5.612059970209196591e-04,5.621836533287537891e-04,9.150686897123897268e+00,9.660895950478192162e+00
5.799999999999999822e+00,9.993699747511547333e-10,6.295860563844646015e-04,6.307587954436856721e-04,9.025392534530261912e+00,9.535554181840282695e+00
5.849999999999999645e+00,9.992930377775783486e-10,7.062881828292340769e-04,7.076957690198914337e-04,8.899686409942994203e+00,9.409798709191711907e+00
5.900000000000000355e+00,9.992067201245861953e-10,7.923297641479904721e-04,7.940134220121220681e-04,8.773333888505469247e+00,9.283397291372452287e+00
5.950000000000000178e+00,9.991098790011344936e-10,8.888388423950251312e-04,8.908545454639114035e-04,8.646589578023906597e+00,9.156609325388181730e+00
6.000000000000000000e+00,9.990012326467933570e-10,9.970868722487735356e-04,9.995008998049254023e-04,8.519381716471691846e+00,9.029361765607461621e+00
6.049999999999999822e+00,9.988793434970540268e-10,1.118494708026792185e-03,1.121390049544182012e-03,8.391637049683893679e+00,8.901571085071097400e+00
6.099999999999999645e+00,9.987425993260618420e-10,1.254656578968881778e-03,1.258134220536421535e-03,8.263302031793003266e+00,8.773183037954602526e+00
6.150000000000000355e+00,9.985891921281378878e-10,1.407386367522790683e-03,1.411541418460576401e-03,8.133819519219095184e+00,8.643644941192924591e+00
6.200000000000000178e+00,9.984170944724315837e-10,1.578698462382806212e-03,1.583639074166699225e-03,8.002898436368418800e+00,8.512660622864366644e+00
6.250000000000000000e+00,9.982240330352789300e-10,1.770814868195745876e-03,1.776700511319470252e-03,7.870626465357233315e+00,8.380304426684432428e+00
6.299999999999999822e+00,9.980074589821031849e-10,1.986255347708266832e-03,1.993274564495138308e-03,7.736669640773335743e+00,8.246239279598157168e+00
6.349999999999999645e+00,9.977645148348441135e-10,2.227881507185764873e-03,2.236218711754197567e-03,7.599739443694446095e+00,8.109189101934624944e+00
6.400000000000000355e+00,9.974919974217070360e-10,2.498899393426915784e-03,2.508736124891342185e-03,7.455663545520835100e+00,7.965014534195610452e+00
6.450000000000000178e+00,9.971863164634286773e-10,2.802773745025601265e-03,2.814417083169758454e-03,7.292917003527371378e+00,7.801755665886318525e+00
6.500000000000000000e+00,9.968434483041171065e-10,3.143156652385670907e-03,3.157285242481259156e-03,7.045520493145033925e+00,7.542877557646029629e+00
6.549999999999999822e+00,9.964588842450843531e-10,3.523317022608539809e-03,3.541849301513895574e-03,6.738277153071223324e+00,7.217902029209369630e+00
6.599999999999999645e+00,9.960275728870314125e-10,3.946580485969525785e-03,3.973160659566913992e-03,6.447275495908499465e+00,6.871793320201390998e+00
6.650000000000000355e+00,9.955438558297291205e-10,4.417956380968515208e-03,4.456877716869147091e-03,6.250008420842505075e+00,6.639967370771962862e+00
6.700000000000000178e+00,9.950013960194121002e-10,4.943485503273256469e-03,4.999337527186125882e-03,6.127241732186178069e+00,6.523753809326493069e+00
6.750000000000000000e+00,9.943930979731662434e-10,5.529359762394705710e-03,5.607635573431988228e-03,6.013852846098281191e+00,6.415433741346596719e+00
6.799999999999999822e+00,9.937110190477088044e-10,6.180535051308006476e-03,6.289714498889431571e-03,5.915508788908461213e+00,6.321359903386579049e+00
6.849999999999999645e+00,9.929462708586139916e-10,6.903089293630864688e-03,7.054462687984299797e-03,5.821609982764393010e+00,6.230728387884518327e+00
6.900000000000000355e+00,9.920889098973017401e-10,7.705753978265655196e-03,7.911823649296637409e-03,5.727498528070739781e+00,6.139048744016903925e+00
6.950000000000000178e+00,9.911278163397705366e-10,8.597279415727873339e-03,8.872917206827798942e-03,5.637781442693558631e+00,6.051188397178243861e+00
7.000000000000000000e+00,9.900505599968558049e-10,9.587162863493561143e-03,9.950173549742499443e-03,5.553453526392921447e+00,5.967947012158418829e+00
7.049999999999999822e+00,9.888432523256109215e-10,1.068580498521653349e-02,1.115748122098736590e-02,5.474051170282685064e+00,5.888720312762963260e+00
7.099999999999999645e+00,9.874903834116321000e-10,1.190459705614581309e-02,1.251035013496620309e-02,5.398634034082306243e+00,5.812024360422768154e+00
7.150000000000000355e+00,9.859746428509518573e-10,1.325599780809868025e-02,1.402609069564649848e-02,5.328845329537251985e+00,5.738484693179721319e+00
