# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.635930501129084119e-14,2.580673167631158418e-09,2.586687725202496695e-09,2.213980294723162245e+01,2.264171932930204889e+01
5.549999999999999822e+00,1.835530047153473738e-14,3.248856486353244160e-09,3.256430251303108667e-09,2.188978382183923088e+01,2.239170055691594996e+01
5.599999999999999645e+00,2.059480753712869098e-14,4.090029369576294593e-09,4.099579014064753905e-09,2.163962421893493371e+01,2.214154339635892654e+01
5.650000000000000355e+00,2.310752962214486732e-14,5.148959988683557077e-09,5.161030814677312215e-09,2.138920649543843666e+01,2.189113189496182343e+01
5.700000000000000178e+00,2.592679204691974568e-14,6.481979123629001194e-09,6.497305630884617084e-09,2.113847656410646181e+01,2.164041202792800078e+01
5.750000000000000000e+00,2.908998334101651868e-14,8.159999149129287028e-09,8.179556602473665819e-09,2.088731823996994308e+01,2.138926970639512604e+01
5.799999999999999822e+00,3.263905022854377784e-14,1.027227997542634089e-08,1.029735730614934594e-08,2.063559689148178222e+01,2.113757289897137071e+01
5.849999999999999645e+00,3.662105280342898196e-14,1.293114726738199114e-08,1.296347182114418057e-08,2.038322692300732797e+01,2.088523715808106829e+01
5.900000000000000355e+00,4.108878718525826808e-14,1.627791615493453683e-08,1.631985610373438828e-08,2.013018969476098619e+01,2.063224312761616375e+01
5.950000000000000178e+00,4.610148382199552932e-14,2.049045371825011650e-08,2.054521603744672676e-08,1.987638938797140042e+01,2.037849548505062813e+01
6.000000000000000000e+00,5.172559058485765985e-14,2.579251237149702186e-08,2.586451955031837375e-08,1.962177908067674537e+01,2.012394566639284221e+01
6.049999999999999822e+00,5.803565089451343622e-14,3.246568932115054130e-08,3.256097116812540271e-08,1.936618997809359399e+01,1.986842384154005003e+01
6.099999999999999645e+00,6.511528833945772180e-14,4.086425395035899495e-08,4.099108590274032248e-08,1.910944247262292350e+01,1.961174768857900119e+01
6.150000000000000355e+00,7.305831061100334863e-14,5.143373002238368851e-08,5.160366263292385140e-08,1.885140841217145891e+01,1.935378509363579980e+01
6.200000000000000178e+00,8.196994710030220633e-14,6.473452019302108335e-08,6.496366936988309082e-08,1.859185872702652631e+01,1.909430590975721032e+01
6.250000000000000000e+00,9.196823619803776253e-14,8.147105568953326182e-08,8.178230556645392402e-08,1.833058388638485781e+01,1.883309544239853039e+01
6.299999999999999822e+00,1.031855802252471405e-13,1.025284027630351970e-07,1.029548441418983220e-07,1.806694029609350594e+01,1.856948770351982603e+01
6.349999999999999645e+00,1.157704880239769372e-13,1.290172041268685108e-07,1.296082625118222813e-07,1.779897181922403604e+01,1.830139726150569146e+01
6.400000000000000355e+00,1.298895275704282543e-13,1.623308158084848386e-07,1.631611925965937029e-07,1.752487765068574532e+01,1.802675523894255605e+01
6.450000000000000178e+00,1.457295135636179499e-13,2.042180883091618485e-07,2.053993779650260822e-07,1.724469385766155227e+01,1.774549390220733613e+01
6.500000000000000000e+00,1.634999578133632899e-13,2.568606679502402286e-07,2.585706405596574959e-07,1.695781264939279964e+01,1.745670500823924698e+01
6.549999999999999822e+00,1.834358134275922861e-13,3.230126659448576933e-07,3.255044042933854626e-07,1.666319537970947806e+01,1.715924323691098152e+01
6.599999999999999645e+00,2.058005473063617690e-13,4.061210861585331829e-07,4.097621135013563395e-07,1.636546444431350977e+01,1.685694819340392314e+01
6.650000000000000355e+00,2.308895793144069079e-13,5.105041074196123871e-07,5.158265294938699608e-07,1.606956461796526270e+01,1.655605609877161299e+01
6.700000000000000178e+00,2.590341307509423775e-13,6.415719797678254397e-07,6.493399395134782615e-07,1.577658149539145427e+01,1.625731980577096181e+01
6.750000000000000000e+00,2.906055293886039150e-13,8.060994082487273820e-07,8.174039037539846547e-07,1.548567270564274878e+01,1.595819561596193381e+01
6.799999999999999822e+00,3.260200234337233850e-13,1.012511142895605011e-06,1.028956414009522436e-06,1.520009522234528987e+01,1.566108328753661993e+01
6.849999999999999645e+00,3.657441622837649655e-13,1.271318638444931651e-06,1.295246426643941724e-06,1.491790092319144634e+01,1.536363444105423071e+01
6.900000000000000355e+00,4.103008079336427720e-13,1.595664192051522627e-06,1.630430866293765042e-06,1.464044546257994739e+01,1.506532640347300855e+01
6.950000000000000178e+00,4.602758473094508273e-13,2.001957470135428864e-06,2.052325647206298891e-06,1.437515709536587849e+01,1.477256473953114835e+01
7.000000000000000000e+00,5.163256826700701049e-13,2.510689012245253632e-06,2.583350359830328756e-06,1.412284423723269811e+01,1.449128795496262256e+01
7.049999999999999822e+00,5.791855844785178918e-13,3.147451120271650742e-06,3.251716440295457434e-06,1.388074290911530539e+01,1.422152563754714549e+01
7.099999999999999645e+00,6.496789987436773816e-13,3.944179901163043793e-06,4.092921406043432630e-06,1.364728796847590786e+01,1.396294010961000254e+01
7.150000000000000355e+00,7.287279086715723225e-13,4.940750363747386113e-06,5.151627756906267060e-06,1.342233004794303497e+01,1.371625387770178861e+01
7.200000000000000178e+00,8.173643583997567387e-13,6.187039011556255395e-06,6.484025218503844722e-06,1.320498208046890198e+01,1.348013172149335759e+01
7.250000000000000000e+00,9.167432544142988641e-13,7.745324799352345429e-06,8.160800188670747722e-06,1.299435920369467823e+01,1.325315352502403243e+01
7.299999999999999822e+00,1.028156567683645416e-12,9.693365904810718317e-06,1.027086777282112113e-05,1.278987638152851503e+01,1.303446983027005501e+01
7.349999999999999645e+00,1.153049066204699306e-12,1.212838240443483020e-05,1.292606128896077165e-05,1.259065258580629632e+01,1.282275147351358413e+01
7.400000000000000355e+00,1.293035713032725176e-12,1.517177703792893063e-05,1.626702351745688781e-05,1.239589117661029150e+01,1.261680105864428469e+01
7.450000000000000178e+00,1.449920868285007206e-12,1.897506402990172214e-05,2.047060573088406308e-05,1.220498201327318100e+01,1.241571084583118534e+01
7.500000000000000000e+00,1.625719434190125780e-12,2.372733362163740131e-05,2.575915768146548517e-05,1.201748237988416435e+01,1.221884774036321630e+01
7.549999999999999822e+00,1.822680078864109716e-12,2.966458980901236616e-05,3.241218797551331592e-05,1.183303599231635417e+01,1.202585721918543271e+01
7.599999999999999645e+00,2.043310665673911077e-12,3.708183925200523223e-05,4.078099423866561222e-05,1.165113935622594710e+01,1.183625551767903517e+01
7.650000000000000355e+00,2.290405998939465441e-12,4.634751029246756489e-05,5.130701181024391295e-05,1.147119088129325348e+01,1.164935611431118900e+01
7.700000000000000178e+00,2.567077970975770405e-12,5.792128502488255796e-05,6.454481532469891994e-05,1.129269097713815739e+01,1.146458692151897907e+01
7.750000000000000000e+00,2.876788157126311273e-12,7.237642160498993296e-05,8.119093786954598190e-05,1.111528320237606238e+01,1.128154012634164616e+01
7.799999999999999822e+00,3.223382850787558311e-12,9.042756490718103081e-05,1.021199576725316923e-04,1.093878783529751075e+01,1.109994358716983243e+01
7.849999999999999645e+00,3.611130454873071682e-12,1.129655894565319117e-04,1.284296548043330970e-04,1.076317240995157221e+01,1.091958247258313008e+01
7.900000000000000355e+00,4.044761044038304170e-12,1.411003002432707439e-04,1.614974749632541132e-04,1.058844957802516262e+01,1.074032740713120404e+01
7.950000000000000178e+00,4.529507776326625320e-12,1.762137628775588554e-04,2.030510715716422941e-04,1.041466120701605291e+01,1.056215758127363102e+01
8.000000000000000000e+00,5.071149655243404658e-12,2.200275431323267647e-04,2.552563518174197441e-04,1.024179725585055678e+01,1.038497884528922555e+01
8.050000000000000711e+00,5.676054913419342024e-12,2.746834619996713881e-04,3.208272508798184759e-04,1.006984076142200024e+01,1.020871021004142420e+01
8.099999999999999645e+00,6.351223994820183654e-12,3.428439028112517661e-04,4.031624287795963963e-04,9.898783750465781850e+00,1.003332068053708781e+01
8.150000000000000355e+00,7.104330739553484254e-12,4.278146340509795197e-04,5.065152567355689188e-04,9.728612184930682361e+00,9.858810615857976245e+00
8.199999999999999289e+00,7.943759907053635264e-12,5.336886992430562963e-04,6.362048679181640104e-04,9.559317457347844993e+00,9.685184688190602742e+00
8.250000000000000000e+00,8.878638590799651548e-12,6.655351662783073972e-04,7.988777257748254671e-04,9.390922929144025488e+00,9.512477366161768089e+00
