# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.635930501129084119e-14,2.581660362144984284e-09,2.586687725202496695e-09,2.207767028492926187e+01,2.257673406111737791e+01
5.549999999999999822e+00,1.835530047153473738e-14,3.250099028198825586e-09,3.256430251303108667e-09,2.182764585889358244e+01,2.232670979960537494e+01
5.599999999999999645e+00,2.059480753712869098e-14,4.091585550070837845e-09,4.099579014064753905e-09,2.157748217439441873e+01,2.207654632449743559e+01
5.650000000000000355e+00,2.310752962214486732e-14,5.150870349178661895e-09,5.161030814677312215e-09,2.132714909392065294e+01,2.182621047029878980e+01
5.700000000000000178e+00,2.592679204691974568e-14,6.484270421974418285e-09,6.497305630884617084e-09,2.107659461094135622e+01,2.157564795535633806e+01
5.750000000000000000e+00,2.908998334101651868e-14,8.162678971965236322e-09,8.179556602473665819e-09,2.082570194336158664e+01,2.132474161569699334e+01
5.799999999999999822e+00,3.263905022854377784e-14,1.027528833805298025e-08,1.029735730614934594e-08,2.057441970418356902e+01,2.107343796300125405e+01
5.849999999999999645e+00,3.662105280342898196e-14,1.293438060615837366e-08,1.296347182114418057e-08,2.032260462160675729e+01,2.082159410342445938e+01
5.900000000000000355e+00,4.108878718525826808e-14,1.628124878484562955e-08,1.631985610373438828e-08,2.007014061250037429e+01,2.056909397984301080e+01
5.950000000000000178e+00,4.610148382199552932e-14,2.049362603437911317e-08,2.054521603744672676e-08,1.981699226510765044e+01,2.031590114488975019e+01
6.000000000000000000e+00,5.172559058485765985e-14,2.579517022850365959e-08,2.586451955031837375e-08,1.956303726340603077e+01,2.006189450016523068e+01
6.049999999999999822e+00,5.803565089451343622e-14,3.246717667757249710e-08,3.256097116812540271e-08,1.930819644974614846e+01,1.980699722319821632e+01
6.099999999999999645e+00,6.511528833945772180e-14,4.086362956213968749e-08,4.099108590274032248e-08,1.905224414198556104e+01,1.955099302843731834e+01
6.150000000000000355e+00,7.305831061100334863e-14,5.142984499539090811e-08,5.160366263292385140e-08,1.879490355726207440e+01,1.929361595692483178e+01
6.200000000000000178e+00,8.196994710030220633e-14,6.472582897053660259e-08,6.496366936988309082e-08,1.853585112972540117e+01,1.903454486383419209e+01
6.250000000000000000e+00,9.196823619803776253e-14,8.145557132451975320e-08,8.178230556645392402e-08,1.827465805916882857e+01,1.877333051935053021e+01
6.299999999999999822e+00,1.031855802252471405e-13,1.025036400464317061e-07,1.029548441418983220e-07,1.801050137284374841e+01,1.850909516520827225e+01
6.349999999999999645e+00,1.157704880239769372e-13,1.289809691117265065e-07,1.296082625118222813e-07,1.774171101495946345e+01,1.824007383198102161e+01
6.400000000000000355e+00,1.298895275704282543e-13,1.622815737824096106e-07,1.631611925965937029e-07,1.746683174628866198e+01,1.796465171443350783e+01
6.450000000000000178e+00,1.457295135636179499e-13,2.041533968114067901e-07,2.053993779650260822e-07,1.718539346636816134e+01,1.768217892699520633e+01
6.500000000000000000e+00,1.634999578133632899e-13,2.567881796885390774e-07,2.585706405596574959e-07,1.689534127677002573e+01,1.739044845046730359e+01
6.549999999999999822e+00,1.834358134275922861e-13,3.229322414365870624e-07,3.255044042933854626e-07,1.659820896705701188e+01,1.709062201077408361e+01
6.599999999999999645e+00,2.058005473063617690e-13,4.060200251759759819e-07,4.097621135013563395e-07,1.629724348541182621e+01,1.678480762634796264e+01
6.650000000000000355e+00,2.308895793144069079e-13,5.103264527622062355e-07,5.158265294938699608e-07,1.599427669901208304e+01,1.647568497265131526e+01
6.700000000000000178e+00,2.590341307509423775e-13,6.412512972148173439e-07,6.493399395134782615e-07,1.569591868931566125e+01,1.617030304387216688e+01
6.750000000000000000e+00,2.906055293886039150e-13,8.055724498907764513e-07,8.174039037539846547e-07,1.540821870226561430e+01,1.587483428845539635e+01
6.799999999999999822e+00,3.260200234337233850e-13,1.011695987147469006e-06,1.028956414009522436e-06,1.512737834201116982e+01,1.558295086504822535e+01
6.849999999999999645e+00,3.657441622837649655e-13,1.270088657608909498e-06,1.295246426643941724e-06,1.485082778625032063e+01,1.529098303722629737e+01
6.900000000000000355e+00,4.103008079336427720e-13,1.593840901942785492e-06,1.630430866293765042e-06,1.457914288778376033e+01,1.499914154835909130e+01
6.950000000000000178e+00,4.602758473094508273e-13,1.999297074763970610e-06,2.052325647206298891e-06,1.431851793083374247e+01,1.471309356212726982e+01
7.000000000000000000e+00,5.163256826700701049e-13,2.506868927627709991e-06,2.583350359830328756e-06,1.407271801209839168e+01,1.444132182966886546e+01
7.049999999999999822e+00,5.791855844785178918e-13,3.142069524266147431e-06,3.251716440295457434e-06,1.383933005039693143e+01,1.418369493578637019e+01
7.099999999999999645e+00,6.496789987436773816e-13,3.936770913456016271e-06,4.092921406043432630e-06,1.361538781037228318e+01,1.393783064856466325e+01
7.150000000000000355e+00,7.287279086715723225e-13,4.930767916759819422e-06,5.151627756906267060e-06,1.339907941514758960e+01,1.370223995444528242e+01
7.200000000000000178e+00,8.173643583997567387e-13,6.173789242896263157e-06,6.484025218503844722e-06,1.318958960343228171e+01,1.347586953945577903e+01
7.250000000000000000e+00,9.167432544142988641e-13,7.727992694916945699e-06,8.160800188670747722e-06,1.298624706281971442e+01,1.325748682897190633e+01
7.299999999999999822e+00,1.028156567683645416e-12,9.670996019338092659e-06,1.027086777282112113e-05,1.278849070632331575e+01,1.304621782995185697e+01
7.349999999999999645e+00,1.153049066204699306e-12,1.209977650545363651e-05,1.292606128896077165e-05,1.259557600339880423e+01,1.284123533762100067e+01
7.400000000000000355e+00,1.293035713032725176e-12,1.513555144765425347e-05,1.626702351745688781e-05,1.240665202887628027e+01,1.264141122735324529e+01
7.450000000000000178e+00,1.449920868285007206e-12,1.892967780369739976e-05,2.047060573088406308e-05,1.222102636806901188e+01,1.244579854560170418e+01
7.500000000000000000e+00,1.625719434190125780e-12,2.367107982725228540e-05,2.575915768146548517e-05,1.203820616844373603e+01,1.225377366101130150e+01
7.549999999999999822e+00,1.822680078864109716e-12,2.959567258748443255e-05,3.241218797551331592e-05,1.185780886554638158e+01,1.206500503438732608e+01
7.599999999999999645e+00,2.043310665673911077e-12,3.699843319968489173e-05,4.078099423866561222e-05,1.167925995842070819e+01,1.187879933410009414e+01
7.650000000000000355e+00,2.290405998939465441e-12,4.624769400547607272e-05,5.130701181024391295e-05,1.150203816672783574e+01,1.169450595595182563e+01
7.700000000000000178e+00,2.567077970975770405e-12,5.780307030193766071e-05,6.454481532469891994e-05,1.132574469448051246e+01,1.151165795848920226e+01
7.750000000000000000e+00,2.876788157126311273e-12,7.223786368003553681e-05,8.119093786954598190e-05,1.115009416910638151e+01,1.132993157438034615e+01
7.799999999999999822e+00,3.223382850787558311e-12,9.026705018039355376e-05,1.021199576725316923e-04,1.097498126716003242e+01,1.114913012728955266e+01
7.849999999999999645e+00,3.611130454873071682e-12,1.127818824244828527e-04,1.284296548043330970e-04,1.080047309973122793e+01,1.096915911931274934e+01
