# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,2.278412911918142101e-14,3.595580269690980904e-09,3.602582076622372519e-09,2.137502068965785895e+01,2.171799558039867151e+01,2.221705935658678044e+01,2.257458398866998550e+01,2.288778127184627920e+01
5.549999999999999822e+00,2.556396673533378612e-14,4.526535225694098101e-09,4.535352961082518457e-09,2.112499667201998932e+01,2.146797255503763324e+01,2.196703649589606755e+01,2.232456197015048360e+01,2.263775984204097114e+01
5.599999999999999645e+00,2.868293199237962227e-14,5.698497140943494404e-09,5.709629914960798664e-09,2.087483042305547087e+01,2.121781043740941186e+01,2.171687458798891868e+01,2.207440480814722861e+01,2.238760587518294898e+01
5.650000000000000355e+00,3.218238819025085367e-14,7.173789125069764029e-09,7.187939950034093366e-09,2.062449706600560262e+01,2.096747907793996291e+01,2.146654045462852878e+01,2.182407987968195329e+01,2.213728664602879803e+01
5.700000000000000178e+00,3.610874143514459549e-14,9.030843576430014244e-09,9.048998084815006979e-09,2.037394643827762053e+01,2.071692667130905363e+01,2.121598001634973230e+01,2.157353327488515049e+01,2.188674829263549526e+01
5.750000000000000000e+00,4.051405484706037887e-14,1.136839152176991507e-08,1.139189747148600311e-08,2.012305611763480329e+01,2.046603619014621245e+01,2.096507586213503060e+01,2.132264842856227460e+01,2.163587544994795309e+01
5.799999999999999822e+00,4.545673742522254320e-14,1.431064910037273474e-08,1.434138522571831203e-08,1.987177464488853218e+01,2.021475631527624017e+01,2.071377457128191679e+01,2.107137079635327126e+01,2.138461305805108736e+01
5.849999999999999645e+00,5.100231660681463789e-14,1.801398660482983554e-08,1.805450266600790658e-08,1.961995042133573008e+01,1.996294404716958582e+01,2.046193352700649370e+01,2.081955833516474286e+01,2.113282030150375590e+01
5.900000000000000355e+00,5.722430463774025051e-14,2.267517574450128560e-08,2.272894498759684716e-08,1.936746098857702236e+01,1.971048309602112880e+01,2.020943646138607619e+01,2.056709461634467573e+01,2.088038109334522119e+01
5.950000000000000178e+00,6.420517008462918446e-14,2.854173388816659697e-08,2.861358417490846258e-08,1.911427204639247179e+01,1.945733822591824946e+01,1.995624710333493823e+01,2.031394173786027579e+01,2.062725605640927284e+01
6.000000000000000000e+00,7.203742716927093721e-14,3.592513143794276604e-08,3.602171529077318421e-08,1.886025584681094358e+01,1.920338701363741052e+01,1.970224424614734460e+01,2.005997849149272128e+01,2.037332379580395525e+01
6.049999999999999822e+00,8.082485711571657303e-14,4.521710195733356733e-08,4.534773059406165745e-08,1.860533385497932812e+01,1.894855048560726374e+01,1.944735125378019092e+01,1.980512816795607733e+01,2.011850622104316244e+01
6.099999999999999645e+00,9.068387738359944368e-14,5.691059867779953313e-08,5.708810782421364052e-08,1.834927078409582890e+01,1.869260305659007315e+01,1.919135193718355481e+01,1.954917918596535742e+01,1.986259352833411640e+01
6.150000000000000355e+00,1.017450765374748516e-13,7.162575386102671203e-08,7.186782969346958678e-08,1.809177906777030387e+01,1.843526783560813698e+01,1.893398022959598848e+01,1.929187171100576847e+01,1.960532841884842981e+01
6.200000000000000178e+00,1.141549345915114398e-13,9.014239956020574605e-08,9.047363823241388014e-08,1.783252900446105826e+01,1.817622147127811871e+01,1.867491519993348703e+01,1.903288736485805543e+01,1.934639240909504565e+01
6.250000000000000000e+00,1.280777509936680119e-13,1.134408528459033318e-07,1.138958913741216328e-07,1.757109452749889300e+01,1.791503496273971052e+01,1.841370741787477527e+01,1.877176672651859235e+01,1.908531683288588710e+01
6.299999999999999822e+00,1.436978049971706715e-13,1.427528644164699710e-07,1.433812468171990945e-07,1.730667276863945148e+01,1.765088572339093531e+01,1.814947950806653409e+01,1.850760329020926775e+01,1.882116911500291678e+01
6.349999999999999645e+00,1.612217760348972142e-13,1.796253579882654938e-07,1.804989713518959547e-07,1.703764873848651007e+01,1.738210338957539136e+01,1.788046618704852619e+01,1.823860478041644484e+01,1.855211522000920610e+01
6.400000000000000355e+00,1.808814548907913630e-13,2.259993848715558755e-07,2.272243970662723420e-07,1.676265890279572801e+01,1.710723279234797900e+01,1.760505270955182766e+01,1.796317262465444742e+01,1.827651563037866111e+01
