# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.975090250002891512e-01,1.000000000000000000e+00,4.703935324352102043e-01,9.746236957417124813e-01
5.549999999999999822e+00,0.000000000000000000e+00,9.970241695505589474e-01,1.000000000000000000e+00,4.687993683319220395e-01,9.727800267244219867e-01
5.599999999999999645e+00,0.000000000000000000e+00,9.964980870470301344e-01,1.000000000000000000e+00,4.667425837817518186e-01,9.704715985970722159e-01
5.650000000000000355e+00,0.000000000000000000e+00,9.961202509489857082e-01,1.000000000000000000e+00,4.602784555442482883e-01,9.638161113566283689e-01
5.700000000000000178e+00,0.000000000000000000e+00,9.955504919165363287e-01,1.000000000000000000e+00,4.556928924245085000e-01,9.589902883161656177e-01
5.750000000000000000e+00,0.000000000000000000e+00,9.949127074599480869e-01,1.000000000000000000e+00,4.509742635102256259e-01,9.540590319368575933e-01
5.799999999999999822e+00,0.000000000000000000e+00,9.944632381714701985e-01,1.000000000000000000e+00,4.399489369841518283e-01,9.429486965819009470e-01
5.849999999999999645e+00,0.000000000000000000e+00,9.939725303785279520e-01,1.000000000000000000e+00,4.271403165430243121e-01,9.301239292151208815e-01
5.900000000000000355e+00,0.000000000000000000e+00,9.932161334796693053e-01,1.000000000000000000e+00,4.169978180804463364e-01,9.200628867022118129e-01
5.950000000000000178e+00,0.000000000000000000e+00,9.926023674342456804e-01,1.000000000000000000e+00,3.987754148166473556e-01,9.022045844911161794e-01
6.000000000000000000e+00,0.000000000000000000e+00,9.917001764588098123e-01,1.000000000000000000e+00,3.828442596065642078e-01,8.867275993208352247e-01
6.049999999999999822e+00,0.000000000000000000e+00,9.906456372661647247e-01,1.000000000000000000e+00,3.660985143979260670e-01,8.704209243607792246e-01
6.099999999999999645e+00,0.000000000000000000e+00,9.894851078079859308e-01,1.000000000000000000e+00,3.441367955613543472e-01,8.488311618844761597e-01
6.150000000000000355e+00,0.000000000000000000e+00,9.878073376353981860e-01,1.000000000000000000e+00,2.833432834280671386e-01,7.852799461880621834e-01
6.200000000000000178e+00,0.000000000000000000e+00,9.852072497094443992e-01,1.000000000000000000e+00,2.076658025668649543e-01,7.070139059837927675e-01
6.250000000000000000e+00,0.000000000000000000e+00,9.828025968770360832e-01,1.000000000000000000e+00,1.490232725970983552e-01,6.320546854490629585e-01
6.299999999999999822e+00,0.000000000000000000e+00,9.823793361129568025e-01,1.000000000000000000e+00,7.365959529819576801e-02,5.554806062646306941e-01
6.349999999999999645e+00,0.000000000000000000e+00,9.783033264446718835e-01,1.000000000000000000e+00,-4.829752384090113537e-02,4.237200634913591557e-01
6.400000000000000355e+00,0.000000000000000000e+00,9.744068399149606874e-01,1.000000000000000000e+00,1.117721021773121493e-02,4.851592076797004438e-01
6.450000000000000178e+00,0.000000000000000000e+00,9.708916961215674490e-01,1.000000000000000000e+00,4.889175332137085661e-02,5.218385668427814039e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.652358032552494915e-01,1.000000000000000000e+00,-2.161671415500165949e-02,4.434296750837276591e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.651697510794032819e-01,1.000000000000000000e+00,-1.106009150278381981e-01,3.307255662739478907e-01
6.599999999999999645e+00,0.000000000000000000e+00,9.605026172792719974e-01,1.000000000000000000e+00,-3.640900724564062330e-01,5.927168938109161900e-02
6.650000000000000355e+00,0.000000000000000000e+00,9.576212825563907849e-01,1.000000000000000000e+00,-2.516919128528485317e-01,1.413314077039018457e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.552766287419112157e-01,1.000000000000000000e+00,7.816181260755428184e-02,4.641280873436173238e-01
6.750000000000000000e+00,0.000000000000000000e+00,9.468817743788772168e-01,1.000000000000000000e+00,-5.488654979239271370e-02,2.067538216052469124e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.376068419625723793e-01,1.000000000000000000e+00,-8.194880336530019349e-02,1.033096060403622118e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.297752665051357557e-01,1.000000000000000000e+00,-9.024034809540637525e-02,4.467692873245709961e-02
6.900000000000000355e+00,0.000000000000000000e+00,9.215850149111347589e-01,1.000000000000000000e+00,3.065202367364676661e-01,1.529613843608501611e-01
6.950000000000000178e+00,0.000000000000000000e+00,9.133570811189719585e-01,1.000000000000000000e+00,8.742106458809217884e-01,6.972334521306464694e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.059183653136615444e-01,1.000000000000000000e+00,9.495786046816050430e-01,8.585499669925980015e-01
7.049999999999999822e+00,0.000000000000000000e+00,8.987124222271266616e-01,1.000000000000000000e+00,9.936553163888675044e-01,9.585387565934908594e-01
7.099999999999999645e+00,0.000000000000000000e+00,8.912626849778364502e-01,1.000000000000000000e+00,1.072051811754235473e+00,1.108832254969620124e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.843964619304992558e-01,1.000000000000000000e+00,1.241710193499301340e+00,1.291310480013805773e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.780123755869437829e-01,1.000000000000000000e+00,1.386236168941849201e+00,1.409817721909128352e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.714304616655482727e-01,1.000000000000000000e+00,1.552886329073587035e+00,1.565796616423739351e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.651373716322253715e-01,1.000000000000000000e+00,1.669141188516050534e+00,1.718731441850430031e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.593543944953788705e-01,1.000000000000000000e+00,1.739047139236781447e+00,1.784521713611297855e+00
