# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.635930501129084119e-14,2.580244350746958482e-09,2.586687725202496695e-09,2.193853352694389969e+01,2.244276369025041618e+01
5.549999999999999822e+00,1.835530047153473738e-14,3.248312163759852312e-09,3.256430251303108667e-09,2.168853261321458348e+01,2.219276176337716322e+01
5.599999999999999645e+00,2.059480753712869098e-14,4.089307046700500310e-09,4.099579014064753905e-09,2.143849586706325994e+01,2.194271855845585151e+01
5.650000000000000355e+00,2.310752962214486732e-14,5.147939317342394609e-09,5.161030814677312215e-09,2.118837241909515967e+01,2.169257952879396356e+01
5.700000000000000178e+00,2.592679204691974568e-14,6.480480083391704677e-09,6.497305630884617084e-09,2.093806808335101266e+01,2.144224871901622720e+01
5.750000000000000000e+00,2.908998334101651868e-14,8.157722205212010559e-09,8.179556602473665819e-09,2.068753257073438334e+01,2.119167441604069069e+01
5.799999999999999822e+00,3.263905022854377784e-14,1.026873495443947989e-08,1.029735730614934594e-08,2.043671353271305691e+01,2.094080426541525242e+01
5.849999999999999645e+00,3.662105280342898196e-14,1.292562195356242255e-08,1.296347182114418057e-08,2.018547571546865527e+01,2.068950550515823750e+01
5.900000000000000355e+00,4.108878718525826808e-14,1.626943002443172872e-08,1.631985610373438828e-08,1.993369355708360047e+01,2.043765647747667202e+01
5.950000000000000178e+00,4.610148382199552932e-14,2.047756396912172140e-08,2.054521603744672676e-08,1.968128975939637115e+01,2.018518580990034650e+01
6.000000000000000000e+00,5.172559058485765985e-14,2.577322004345347763e-08,2.586451955031837375e-08,1.942811529335651244e+01,1.993195388477692376e+01
6.049999999999999822e+00,5.803565089451343622e-14,3.243705557341858318e-08,3.256097116812540271e-08,1.917408404815285650e+01,1.967788360462010644e+01
6.099999999999999645e+00,6.511528833945772180e-14,4.082195307726894753e-08,4.099108590274032248e-08,1.891912552107493894e+01,1.942291040225573795e+01
6.150000000000000355e+00,7.305831061100334863e-14,5.137151334337423159e-08,5.160366263292385140e-08,1.866294290997492311e+01,1.916672563219938752e+01
6.200000000000000178e+00,8.196994710030220633e-14,6.464278632372739951e-08,6.496366936988309082e-08,1.840459509783732273e+01,1.890832575189084253e+01
6.250000000000000000e+00,9.196823619803776253e-14,8.133473289242106281e-08,8.178230556645392402e-08,1.814309389959340990e+01,1.864659219070154705e+01
6.299999999999999822e+00,1.031855802252471405e-13,1.023261927946535226e-07,1.029548441418983220e-07,1.787793415176503942e+01,1.838074268761397434e+01
6.349999999999999645e+00,1.157704880239769372e-13,1.287234067956291359e-07,1.296082625118222813e-07,1.760828787119206140e+01,1.810992701142002659e+01
6.400000000000000355e+00,1.298895275704282543e-13,1.619093900837248751e-07,1.631611925965937029e-07,1.733366698976193021e+01,1.783361148350992664e+01
6.450000000000000178e+00,1.457295135636179499e-13,2.036180896843845119e-07,2.053993779650260822e-07,1.705732783746375247e+01,1.755531808717134368e+01
6.500000000000000000e+00,1.634999578133632899e-13,2.560241026615375390e-07,2.585706405596574959e-07,1.678124934124222278e+01,1.727714919770939161e+01
6.549999999999999822e+00,1.834358134275922861e-13,3.218523670702387218e-07,3.255044042933854626e-07,1.650441045618629232e+01,1.699786036722650806e+01
6.599999999999999645e+00,2.058005473063617690e-13,4.045428577536720053e-07,4.097621135013563395e-07,1.622414065110481829e+01,1.671419085708021868e+01
6.650000000000000355e+00,2.308895793144069079e-13,5.083954152508349013e-07,5.158265294938699608e-07,1.593711589847046639e+01,1.642230040467191543e+01
6.700000000000000178e+00,2.590341307509423775e-13,6.388119639239895048e-07,6.493399395134782615e-07,1.565001485330226672e+01,1.612904865690191514e+01
6.750000000000000000e+00,2.906055293886039150e-13,8.025625149874473148e-07,8.174039037539846547e-07,1.537014864392637037e+01,1.584195155247928710e+01
6.799999999999999822e+00,3.260200234337233850e-13,1.008043964099883341e-06,1.028956414009522436e-06,1.509493262791813351e+01,1.555592702777273217e+01
6.849999999999999645e+00,3.657441622837649655e-13,1.265714981661394281e-06,1.295246426643941724e-06,1.482250793903003228e+01,1.526806615761914543e+01
6.900000000000000355e+00,4.103008079336427720e-13,1.588658118297403685e-06,1.630430866293765042e-06,1.455390854412996049e+01,1.497909664359691106e+01
6.950000000000000178e+00,4.602758473094508273e-13,1.993208684157357105e-06,2.052325647206298891e-06,1.429556363078890513e+01,1.469501496176036426e+01
7.000000000000000000e+00,5.163256826700701049e-13,2.499763518805189296e-06,2.583350359830328756e-06,1.405132694547255312e+01,1.442453973380980869e+01
7.049999999999999822e+00,5.791855844785178918e-13,3.133822915491766338e-06,3.251716440295457434e-06,1.381896196969208290e+01,1.416767836591564844e+01
7.099999999999999645e+00,6.496789987436773816e-13,3.927246527274496451e-06,4.092921406043432630e-06,1.359565387119947388e+01,1.392217551521072494e+01
7.150000000000000355e+00,7.287279086715723225e-13,4.919810819626373519e-06,5.151627756906267060e-06,1.337967980546304148e+01,1.368664883408909816e+01
7.200000000000000178e+00,8.173643583997567387e-13,6.161232655706831165e-06,6.484025218503844722e-06,1.317029234753088929e+01,1.346014077987737068e+01
7.250000000000000000e+00,9.167432544142988641e-13,7.713654900312774356e-06,8.160800188670747722e-06,1.296685723672726454e+01,1.324146327846564475e+01
7.299999999999999822e+00,1.028156567683645416e-12,9.654677487003183404e-06,1.027086777282112113e-05,1.276883098507747860e+01,1.302976695726729872e+01
7.349999999999999645e+00,1.153049066204699306e-12,1.208125971874582484e-05,1.292606128896077165e-05,1.257548249603146928e+01,1.282424323644692521e+01
7.400000000000000355e+00,1.293035713032725176e-12,1.511459504016360261e-05,1.626702351745688781e-05,1.238596666524114909e+01,1.262376905421724871e+01
7.450000000000000178e+00,1.449920868285007206e-12,1.890601384483504632e-05,2.047060573088406308e-05,1.219957892597512483e+01,1.242738542655619938e+01
7.500000000000000000e+00,1.625719434190125780e-12,2.364439620717894889e-05,2.575915768146548517e-05,1.201577711615284016e+01,1.223438398022482687e+01
7.549999999999999822e+00,1.822680078864109716e-12,2.956551111480213974e-05,3.241218797551331592e-05,1.183416332422623185e+01,1.204425549324293598e+01
7.599999999999999645e+00,2.043310665673911077e-12,3.696370910268616787e-05,4.078099423866561222e-05,1.165444306322687851e+01,1.185650160171962142e+01
7.650000000000000355e+00,2.290405998939465441e-12,4.620606014909383328e-05,5.130701181024391295e-05,1.147646938348588463e+01,1.167083846703420136e+01
7.700000000000000178e+00,2.567077970975770405e-12,5.775019812075058698e-05,6.454481532469891994e-05,1.130022089157604626e+01,1.148725854991297268e+01
7.750000000000000000e+00,2.876788157126311273e-12,7.216673406828695027e-05,8.119093786954598190e-05,1.112568789746551801e+01,1.130592583050594158e+01
7.799999999999999822e+00,3.223382850787558311e-12,9.016783633617139770e-05,1.021199576725316923e-04,1.095265782576239388e+01,1.112663889356032598e+01
