# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.974889690909379825e-01,1.000000000000000000e+00,7.662991156288256889e-01,1.270157255597261781e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.973716777452575899e-01,1.000000000000000000e+00,7.614240468254891425e-01,1.265207809574711462e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.972868969841414133e-01,1.000000000000000000e+00,7.548153474304584165e-01,1.258546503667851368e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.970747328497124862e-01,1.000000000000000000e+00,7.498000460092910657e-01,1.253389465176702799e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.969122425376336638e-01,1.000000000000000000e+00,7.424070701915539416e-01,1.245902516746284050e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.967379940194935894e-01,1.000000000000000000e+00,7.337149358764634144e-01,1.237100714868667239e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.965338534723373609e-01,1.000000000000000000e+00,7.236674887802152512e-01,1.226923148609728287e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.962196330017666357e-01,1.000000000000000000e+00,7.134773742572377841e-01,1.216548956220300681e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.959681154726052199e-01,1.000000000000000000e+00,6.980713258010595723e-01,1.200980308802833463e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.955801888634430163e-01,1.000000000000000000e+00,6.825393288198640107e-01,1.185169094836382442e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.952337998559374066e-01,1.000000000000000000e+00,6.628791382402283716e-01,1.165212211147860444e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.948251819382580852e-01,1.000000000000000000e+00,6.398348441759225125e-01,1.141770368396592517e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.942552544342558862e-01,1.000000000000000000e+00,6.149974997420102341e-01,1.116407460423410214e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.936884306286216662e-01,1.000000000000000000e+00,5.823171545231957680e-01,1.083065818607060748e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.929544567792851772e-01,1.000000000000000000e+00,5.436600230418733304e-01,1.043504251914882275e+00
