# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,0.000000000000000000e+00,9.976748033739296639e-01,1.000000000000000000e+00,3.281618034553446250e-01,6.716629527229187602e-01,1.173579334793345197e+00,1.532146485924748447e+00,1.845725527200876570e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.975290470322634162e-01,1.000000000000000000e+00,3.219231610680779454e-01,6.655925281775978419e-01,1.167595501524388624e+00,1.526318097602995749e+00,1.839978898906295512e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.974145052032383774e-01,1.000000000000000000e+00,3.134229688444563067e-01,6.573919398917098533e-01,1.159528059843708547e+00,1.518453986037016534e+00,1.832237169574938207e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.970415866607194033e-01,1.000000000000000000e+00,3.090031990382797744e-01,6.528508899402751808e-01,1.154996659148473270e+00,1.514061128256962263e+00,1.827885586447678179e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.968433319250533664e-01,1.000000000000000000e+00,2.983863139264713027e-01,6.425784825489202490e-01,1.144888057156663308e+00,1.504226353523776538e+00,1.818214494794140990e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.966593321802476035e-01,1.000000000000000000e+00,2.851688160808478756e-01,6.298554045899464882e-01,1.132374095463568153e+00,1.492051785911911566e+00,1.806257333795656450e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.964242818591110273e-01,1.000000000000000000e+00,2.712546661897619060e-01,6.164307828922233057e-01,1.119146253144648995e+00,1.479164662828736709e+00,1.793585298135980111e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.959012606721090455e-01,1.000000000000000000e+00,2.620583063991688277e-01,6.072731790156211673e-01,1.110064558023573511e+00,1.470342109772772687e+00,1.784875786109680007e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.956442862444789821e-01,1.000000000000000000e+00,2.437507186154590499e-01,5.896421570917169674e-01,1.092654020046808228e+00,1.453324821028225244e+00,1.768112587348326770e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.950398685742020133e-01,1.000000000000000000e+00,2.308357740057189744e-01,5.768807816420959966e-01,1.079948535164113821e+00,1.440888866063680496e+00,1.755793309642314171e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.946378595534260958e-01,1.000000000000000000e+00,2.076472366909243306e-01,5.544613644719476042e-01,1.057658417045566068e+00,1.418965430884867374e+00,1.734103212797698745e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.941417386016510038e-01,1.000000000000000000e+00,1.811399457548219516e-01,5.287513570030668575e-01,1.031988658990123042e+00,1.393612627192602815e+00,1.708937255024224555e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.933339546302593082e-01,1.000000000000000000e+00,1.572003527198759798e-01,5.051109322449818251e-01,1.008242331606346909e+00,1.370071890505414558e+00,1.685400105926930792e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.926168043211814895e-01,1.000000000000000000e+00,1.224978623179211468e-01,4.711943768770083807e-01,9.744105662785713662e-01,1.336625777879831389e+00,1.652103750324414477e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.915199480940681820e-01,1.000000000000000000e+00,8.867048406092692403e-02,4.375627050969299603e-01,9.406581898552417442e-01,1.303224260770392107e+00,1.618759150084081000e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.901484617024813861e-01,1.000000000000000000e+00,4.582788549441119130e-02,3.948486545582596818e-01,8.975137446582195366e-01,1.260138617095911684e+00,1.575477551273017696e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.880618778071521557e-01,1.000000000000000000e+00,-6.604138395313441379e-02,2.815876359276856533e-01,7.815701359381819202e-01,1.142831545960895312e+00,1.456298277308718525e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.848498950236568295e-01,1.000000000000000000e+00,-1.994123350893985958e-01,1.450705709332709148e-01,6.317758389814116526e-01,9.931069361918147820e-01,1.304181026201739257e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.831588753926328028e-01,1.000000000000000000e+00,-2.666254524770295120e-01,7.614509116763201746e-02,5.613613769737568759e-01,9.211773434276508965e-01,1.231045881157108113e+00
