# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,3.363314609928959146e-10,1.061156374945048265e-04,1.063629522722671806e-04,1.060468699432719575e+01,1.110660337639761508e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.190619738596039384e-04,1.193404278445334078e-04,1.047935665860075005e+01,1.098127786485852653e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.335859130092896746e-04,1.339011962210633685e-04,1.035328125332588201e+01,1.085521889066389178e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.498777683396050218e-04,1.502383968961633624e-04,1.022663023650458314e+01,1.072859027105681662e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.681520116672171586e-04,1.685687226273783351e-04,1.009933877786266265e+01,1.060132863809074877e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.886517260043769440e-04,1.891352899204490551e-04,9.971023774956208285e+00,1.047306121800697554e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.116474392073337796e-04,2.122108588729707391e-04,9.841618014094336786e+00,1.034372086051395456e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.374385405843521836e-04,2.381014447763088037e-04,9.711445043458134307e+00,1.021362149128643182e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.663645868246406379e-04,2.671503689839050777e-04,9.580330853068794283e+00,1.008259012801905641e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.988050031517579578e-04,2.997428022806590932e-04,9.448190381131055915e+00,9.950539172506395857e+00
6.000000000000000000e+00,3.362548116901911995e-10,3.351841652855469490e-04,3.363108603862553889e-04,9.314835823318496466e+00,9.817275401624726783e+00
6.049999999999999822e+00,3.362411355375255976e-10,3.759822190132391505e-04,3.773393183831896315e-04,9.179651993876895233e+00,9.682182677645336355e+00
6.099999999999999645e+00,3.362257913040335868e-10,4.217262527106528398e-04,4.233720188591539690e-04,9.042769923293235479e+00,9.545377850686655563e+00
6.150000000000000355e+00,3.362085756244888758e-10,4.730100667899639127e-04,4.750190574934287191e-04,8.903857672578482152e+00,9.406533745575330840e+00
6.200000000000000178e+00,3.361892603637229642e-10,5.304955335288201587e-04,5.329648397909720345e-04,8.762546866904749265e+00,9.265281246696972062e+00
6.250000000000000000e+00,3.361675896057175422e-10,5.949109062921867320e-04,5.979771138074227660e-04,8.618529634447519072e+00,9.121281105117759580e+00
6.299999999999999822e+00,3.361432762782788540e-10,6.670545086083074209e-04,6.709170961234686009e-04,8.466761601428387962e+00,8.969314037199836775e+00
6.349999999999999645e+00,3.361159983696005328e-10,7.477769204247459870e-04,7.527508221582534251e-04,8.301555919105133796e+00,8.802722975424856600e+00
6.400000000000000355e+00,3.360853946878800272e-10,8.381172562037577387e-04,8.445618673199099770e-04,8.127643118382003706e+00,8.626539129221605151e+00
6.450000000000000178e+00,3.360510601094509975e-10,9.389937163292245070e-04,9.475656026068789324e-04,7.949029121685008192e+00,8.444106314947191549e+00
6.500000000000000000e+00,3.360125402545509822e-10,1.051686960926721467e-03,1.063125167307015298e-03,7.757408857199422414e+00,8.248027936784026792e+00
