# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.000000000000000000e+00,0.000000000000000000e+00,9.797581645775037540e-01,1.000000000000000000e+00,3.959413425907314377e-01,5.954462118756893574e-01,8.650997976001377765e-01,1.017707211238565890e+00,1.125342098834131832e+00
5.049999999999999822e+00,0.000000000000000000e+00,9.797159564652990760e-01,1.000000000000000000e+00,4.153073546819925355e-01,6.243092205851183962e-01,9.056804265990763270e-01,1.066034713329422345e+00,1.176143745965035237e+00
5.099999999999999645e+00,0.000000000000000000e+00,9.799364542043825788e-01,1.000000000000000000e+00,4.039205275281076979e-01,6.278454790368286353e-01,9.275769654145165077e-01,1.101582228851064826e+00,1.223514429549908300e+00
5.150000000000000355e+00,0.000000000000000000e+00,9.766462404931781638e-01,1.000000000000000000e+00,4.510243658578545478e-01,6.786648704733053705e-01,9.858275344415332597e-01,1.165370318056787369e+00,1.291603336659690626e+00
5.200000000000000178e+00,0.000000000000000000e+00,9.793378826198474441e-01,1.000000000000000000e+00,4.036266973555981963e-01,6.511433694519723758e-01,9.800836801979784241e-01,1.176340433916948314e+00,1.316195046288690662e+00
5.250000000000000000e+00,0.000000000000000000e+00,9.787139359758350032e-01,1.000000000000000000e+00,4.001207374149515772e-01,6.591802195979354906e-01,1.002322374954040640e+00,1.209840175698822407e+00,1.359127085596227857e+00
5.299999999999999822e+00,0.000000000000000000e+00,9.766119190070288170e-01,1.000000000000000000e+00,4.346274027751988456e-01,6.995204324561825615e-01,1.052386603276190158e+00,1.268379062423193204e+00,1.425481111593477124e+00
5.349999999999999645e+00,0.000000000000000000e+00,9.779625788577168688e-01,1.000000000000000000e+00,4.035529091520615452e-01,6.825799578987528093e-01,1.052043789553735564e+00,1.281682690194280383e+00,1.451367364791053660e+00
5.400000000000000355e+00,0.000000000000000000e+00,9.790650345293933077e-01,1.000000000000000000e+00,3.828604102839747725e-01,6.731658744856687804e-01,1.056831463721287889e+00,1.298552936460708906e+00,1.479666036583388689e+00
5.450000000000000178e+00,0.000000000000000000e+00,9.763730584119455491e-01,1.000000000000000000e+00,4.189299297674864420e-01,7.117435121757296201e-01,1.102326392151930179e+00,1.350372672937922403e+00,1.536754508332599301e+00
5.500000000000000000e+00,0.000000000000000000e+00,9.801004241456029442e-01,1.000000000000000000e+00,3.626621162897194495e-01,6.690791999584391192e-01,1.075286103334320842e+00,1.337016872683811641e+00,1.536955921660073443e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.753029889383357798e-01,1.000000000000000000e+00,4.184291441729541816e-01,7.241760335146523175e-01,1.134470776419838955e+00,1.400241305225108590e+00,1.603997033554854568e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.794699752180925367e-01,1.000000000000000000e+00,3.566461141589627459e-01,6.745437333944082070e-01,1.099560868339295894e+00,1.378910094745556592e+00,1.596883587473811872e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.774225124423836508e-01,1.000000000000000000e+00,3.656929155946571086e-01,6.867749388805108879e-01,1.118813639653687630e+00,1.405099045580378458e+00,1.630274111911852231e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.748360436383872729e-01,1.000000000000000000e+00,3.916351118110128482e-01,7.136777579900339674e-01,1.151085934103079467e+00,1.442843295471170961e+00,1.673787452343511006e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.815180687318931785e-01,1.000000000000000000e+00,3.514683131632452273e-01,6.804407860634427152e-01,1.127077248586623170e+00,1.427753529080959538e+00,1.668396248898027068e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.821707746147372298e-01,1.000000000000000000e+00,3.222719992089935204e-01,6.562161167134732409e-01,1.109952945019429649e+00,1.417387842115857666e+00,1.665097612595062060e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.750153505054163228e-01,1.000000000000000000e+00,3.555824708938715162e-01,6.879578501519745259e-01,1.144910063306916470e+00,1.456342952476987307e+00,1.708129300874404066e+00
