# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.000000000000000000e+00,1.516223053376824698e-10,1.485542526857740697e-05,1.516233883591410274e-05,1.264353071767471448e+01,1.291318430339916290e+01
5.049999999999999822e+00,1.516220410419223126e-10,1.666800697671318672e-05,1.701240915694948044e-05,1.252011128488407365e+01,1.279039490732017725e+01
5.099999999999999645e+00,1.516217444977504931e-10,1.870194362497030620e-05,1.908821835978623699e-05,1.239823776150048218e+01,1.267066835349597653e+01
5.150000000000000355e+00,1.516214117704076488e-10,2.098039999416626038e-05,2.141730975980280454e-05,1.227890956714420412e+01,1.255452523570288292e+01
5.200000000000000178e+00,1.516210384450579180e-10,2.353623195487869138e-05,2.403058720771766033e-05,1.216014615634352225e+01,1.244011192982431169e+01
5.250000000000000000e+00,1.516206195682203651e-10,2.640685330946707630e-05,2.696272507056516652e-05,1.203976056159878283e+01,1.232548630021742042e+01
5.299999999999999822e+00,1.516201495820562275e-10,2.962320314474676283e-05,3.025262821974663394e-05,1.192142666255256955e+01,1.221341980482726086e+01
5.349999999999999645e+00,1.516196222506410931e-10,3.323073061428962729e-05,3.394394812557773359e-05,1.180357123208435866e+01,1.210249870292776109e+01
5.400000000000000355e+00,1.516190305772451580e-10,3.728349845309550544e-05,3.808566189717351683e-05,1.168361805763956340e+01,1.199042540330501794e+01
5.450000000000000178e+00,1.516183667115247000e-10,4.182689734116240386e-05,4.273272194031908701e-05,1.156468987178816832e+01,1.187955955326399504e+01
5.500000000000000000e+00,1.516176218453955744e-10,4.692767155063520270e-05,4.794678484430107897e-05,1.144483200869379402e+01,1.176816413588515786e+01
5.549999999999999822e+00,1.516167860962090490e-10,5.264719586286750248e-05,5.379702914987294522e-05,1.132517026263370497e+01,1.165705914568728474e+01
5.599999999999999645e+00,1.516158483756829159e-10,5.906306538404126677e-05,6.036107283277461521e-05,1.120513875115433677e+01,1.154572142298859205e+01
5.650000000000000355e+00,1.516147962428519139e-10,6.626910861924650321e-05,6.772600264991875867e-05,1.108269804144326542e+01,1.143233219005855972e+01
5.700000000000000178e+00,1.516136157390910536e-10,7.433517228264927305e-05,7.598952897584589409e-05,1.096206732316145604e+01,1.132034376962656097e+01
5.750000000000000000e+00,1.516122912030283711e-10,8.340518210477759244e-05,8.526128141453037331e-05,1.084057687590801322e+01,1.120743476418473250e+01
5.799999999999999822e+00,1.516108050628981932e-10,9.361935910251719859e-05,9.566426232576664306e-05,1.071564439272160030e+01,1.109126699661538851e+01
5.849999999999999645e+00,1.516091376035886716e-10,1.050409065870363829e-04,1.073364774924745729e-04,1.059116667565906766e+01,1.097514884274069402e+01
5.900000000000000355e+00,1.516072667053038912e-10,1.178391818999501614e-04,1.204327654860564475e-04,1.046537670013132271e+01,1.085754943714666609e+01
5.950000000000000178e+00,1.516051675503870988e-10,1.322139100375921070e-04,1.351268499034839689e-04,1.033679657707008914e+01,1.073706714947617513e+01
6.000000000000000000e+00,1.516028122944329937e-10,1.483350386768278082e-04,1.516136415823753753e-04,1.020806229813103982e+01,1.061596542876999649e+01
6.049999999999999822e+00,1.516001696973471571e-10,1.663864964283415248e-04,1.701118211831126911e-04,1.007905595082026196e+01,1.049415237790019262e+01
6.099999999999999645e+00,1.515972047094865764e-10,1.866235121986344633e-04,1.908667362072993454e-04,9.947575449247572976e+00,1.036965563319135697e+01
6.150000000000000355e+00,1.515938780074244819e-10,2.092980711220196108e-04,2.141536506417549858e-04,9.815017279674755457e+00,1.024374615920801546e+01
6.200000000000000178e+00,1.515901454732260119e-10,2.346747444298769101e-04,2.402813900311074669e-04,9.682325820403121952e+00,1.011727383097527166e+01
6.250000000000000000e+00,1.515859576103808932e-10,2.631669416996219348e-04,2.695964299467899609e-04,9.545065357957128072e+00,9.986074832432755954e+00
6.299999999999999822e+00,1.515812588887158942e-10,2.951035825821628059e-04,3.024874816019859853e-04,9.405028453924295206e+00,9.851819181324394492e+00
6.349999999999999645e+00,1.515759870096841380e-10,3.308923424614751961e-04,3.393906348243025156e-04,9.262387235205814306e+00,9.714661753464810090e+00
6.400000000000000355e+00,1.515700720823966137e-10,3.709709208760272685e-04,3.807951258369651586e-04,9.115366578230364780e+00,9.572639496771252254e+00
6.450000000000000178e+00,1.515634356996052610e-10,4.157372557730187662e-04,4.272498053763874762e-04,8.963251583406510292e+00,9.424526633192151337e+00
6.500000000000000000e+00,1.515559899015572772e-10,4.660883201581503981e-04,4.793703917122169294e-04,8.802651399837607471e+00,9.267054479725722160e+00
6.549999999999999822e+00,1.515476360141985439e-10,5.228841437607099777e-04,5.378476032234175488e-04,8.626348176089194908e+00,9.093573590099950366e+00
6.599999999999999645e+00,1.515382633465957463e-10,5.867219177700985343e-04,6.034562764429327172e-04,8.358205449375745388e+00,8.806786416285433461e+00
6.650000000000000355e+00,1.515277477306528654e-10,6.582591322762878106e-04,6.770655880431274533e-04,8.080112297838411450e+00,8.482628022383124744e+00
6.700000000000000178e+00,1.515159498841970524e-10,7.381744452749784257e-04,7.596505132337021257e-04,7.846833723050991694e+00,8.204292602971456461e+00
6.750000000000000000e+00,1.515027135762836555e-10,8.274280659502210398e-04,8.523046686276823181e-04,7.603726369206299296e+00,7.934326155723020690e+00
