# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,3.363314609928959146e-10,1.061562303043498144e-04,1.063629522722671806e-04,1.054255433202483516e+01,1.104161810821294409e+01
5.549999999999999822e+00,3.363271351677051022e-10,1.191073911717510338e-04,1.193404278445334078e-04,1.041715156004704568e+01,1.091621758447580248e+01
5.599999999999999645e+00,3.363222815782462941e-10,1.336337725086869557e-04,1.339011962210633685e-04,1.029127405532446460e+01,1.079033506546713284e+01
5.650000000000000355e+00,3.363168358446878871e-10,1.499244325473002336e-04,1.502383968961633624e-04,1.016515785404843086e+01,1.066419630275646568e+01
5.700000000000000178e+00,3.363107257361108947e-10,1.681961597639817347e-04,1.685687226273783351e-04,1.003836383890432415e+01,1.053737131019497042e+01
5.750000000000000000e+00,3.363038702136798187e-10,1.886889214254593226e-04,1.891352899204490551e-04,9.910908142937302046e+00,1.040987267136044636e+01
5.799999999999999822e+00,3.362961783573623118e-10,2.116724330949833676e-04,2.122108588729707391e-04,9.782678956060564701e+00,1.028158831330871692e+01
5.849999999999999645e+00,3.362875481620612152e-10,2.374524859260747443e-04,2.381014447763088037e-04,9.653234009732017284e+00,1.015208456268956638e+01
5.900000000000000355e+00,3.362778651873253406e-10,2.663638288614456084e-04,2.671503689839050777e-04,9.522929799234901793e+00,1.002170993105357866e+01
5.950000000000000178e+00,3.362670010428930757e-10,2.987853934992919409e-04,2.997428022806590932e-04,9.391579863479570633e+00,9.890282154173135609e+00
6.000000000000000000e+00,3.362548116901911995e-10,3.351398809647706742e-04,3.363108603862553889e-04,9.259043963266556432e+00,9.757666339450729254e+00
6.049999999999999822e+00,3.362411355375255976e-10,3.759014634511823158e-04,3.773393183831896315e-04,9.125031555252292037e+00,9.623593767352232931e+00
6.099999999999999645e+00,3.362257913040335868e-10,4.216078333186705821e-04,4.233720188591539690e-04,8.988793103541112828e+00,9.487349020483165418e+00
6.150000000000000355e+00,3.362085756244888758e-10,4.728517353925528323e-04,4.750190574934287191e-04,8.849953389952226246e+00,9.348554431129464604e+00
6.200000000000000178e+00,3.361892603637229642e-10,5.302918797310228471e-04,5.329648397909720345e-04,8.707945407001197680e+00,9.206582439579683808e+00
6.250000000000000000e+00,3.361675896057175422e-10,5.946574630198308729e-04,5.979771138074227660e-04,8.561662273596724049e+00,9.060176454715481498e+00
6.299999999999999822e+00,3.361432762782788540e-10,6.667556769427040357e-04,6.709170961234686009e-04,8.407331181756326544e+00,8.905384758632727937e+00
6.349999999999999645e+00,3.361159983696005328e-10,7.474743351617444201e-04,7.527508221582534251e-04,8.240899429036382173e+00,8.737831306635918338e+00
6.400000000000000355e+00,3.360853946878800272e-10,8.377776727446456344e-04,8.445618673199099770e-04,8.066889881665652240e+00,8.561766189234937485e+00
6.450000000000000178e+00,3.360510601094509975e-10,9.387463099562930137e-04,9.475656026068789324e-04,7.880493154485598950e+00,8.372151705624396811e+00
6.500000000000000000e+00,3.360125402545509822e-10,1.051576474912754551e-03,1.063125167307015298e-03,7.683507331684268138e+00,8.171322676250689199e+00
6.549999999999999822e+00,3.359693255228082574e-10,1.177613389679268768e-03,1.192769362535114766e-03,7.492376201950641246e+00,7.971176917869435385e+00
6.599999999999999645e+00,3.359208444127454553e-10,1.317992229105611037e-03,1.338212692723651743e-03,7.304547105801098894e+00,7.772120868899015989e+00
6.650000000000000355e+00,3.358664560409798414e-10,1.474456448248529297e-03,1.501377808020408315e-03,7.128508647876380167e+00,7.586071261164889279e+00
6.700000000000000178e+00,3.358054417673012148e-10,1.649511173162493231e-03,1.684420629056301898e-03,6.988153694540898186e+00,7.436462082570010068e+00
6.750000000000000000e+00,3.357369958213435860e-10,1.844791581639311073e-03,1.889758466929090290e-03,6.861176401175434592e+00,7.293723167656160911e+00
6.799999999999999822e+00,3.356602148150846873e-10,2.061814404481751833e-03,2.120101485705856281e-03,6.724995363058994258e+00,7.130279483620917347e+00
6.849999999999999645e+00,3.355740860128394499e-10,2.303032459387747456e-03,2.378487892441582315e-03,6.587765561382134649e+00,6.960703132822544603e+00
6.900000000000000355e+00,3.354774742167115916e-10,2.571263641083794405e-03,2.668323280825100809e-03,6.471466139461504952e+00,6.800871735059885737e+00
6.950000000000000178e+00,3.353691071105954785e-10,2.869465256170375140e-03,2.993424599173444972e-03,6.394150245571303515e+00,6.681161747722391908e+00
7.000000000000000000e+00,3.352475588897607596e-10,3.201091547011657851e-03,3.358069261677636575e-03,6.335967876288421508e+00,6.595497334640427312e+00
7.049999999999999822e+00,3.351112319858228808e-10,3.570016913366124995e-03,3.767049973491349343e-03,6.277514105619573570e+00,6.517037174384157083e+00
