# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,0.000000000000000000e+00,9.980564476304850663e-01,1.000000000000000000e+00,2.705492173109433907e-01,6.118392697616670262e-01,1.112546452470546399e+00,1.470802708928019342e+00,1.781806926563376692e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.978912964085338011e-01,1.000000000000000000e+00,2.629092470880038945e-01,6.044542137870223542e-01,1.105211381206366639e+00,1.463671906987798366e+00,1.774830653337573949e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.973950778127850247e-01,1.000000000000000000e+00,2.608558488377354934e-01,6.021264235630283679e-01,1.102748935292993337e+00,1.461282423873413450e+00,1.772459639676114307e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.969168236882459677e-01,1.000000000000000000e+00,2.571044521878889100e-01,5.982047044056599816e-01,1.098698417568314767e+00,1.457309613630144440e+00,1.768520305672701909e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.966941683524599416e-01,1.000000000000000000e+00,2.460626205616947004e-01,5.875598238778252380e-01,1.088055185043060646e+00,1.446844814223808839e+00,1.758221264676699036e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.961396924381298312e-01,1.000000000000000000e+00,2.409995008542438200e-01,5.823362503318065819e-01,1.082646413096888693e+00,1.441465013029038289e+00,1.752850943208692058e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.958870059460103175e-01,1.000000000000000000e+00,2.268563212911089977e-01,5.687200711680020504e-01,1.069007224917442045e+00,1.427990475894603151e+00,1.739548871197143853e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.955811208911986565e-01,1.000000000000000000e+00,2.115983912645944542e-01,5.539876325489814235e-01,1.054219985272439430e+00,1.413342038635541087e+00,1.725051057029169499e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.949593801475515864e-01,1.000000000000000000e+00,2.018376627135722856e-01,5.442440451332402063e-01,1.044305716340893753e+00,1.403453346581692074e+00,1.715172135480429461e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.945642507501417651e-01,1.000000000000000000e+00,1.818927168484876233e-01,5.249926538391278541e-01,1.025024008622636984e+00,1.384315807784282981e+00,1.696189354962641005e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.937718126327585999e-01,1.000000000000000000e+00,1.673159300399618132e-01,5.105089703693650449e-01,1.010410088856787070e+00,1.369734955380032204e+00,1.681593583590675678e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.932312927301548688e-01,1.000000000000000000e+00,1.406765650639272280e-01,4.846743366665933195e-01,9.848137205583071818e-01,1.344413367976947882e+00,1.656452195500477842e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.926049761264653659e-01,1.000000000000000000e+00,1.100155862131089179e-01,4.548712559842016390e-01,9.553953266151751222e-01,1.315377843331681618e+00,1.627636497041677899e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.918022712621223924e-01,1.000000000000000000e+00,7.355097730697934821e-02,4.192478379312163383e-01,9.200135465484677866e-01,1.280358709159585828e+00,1.592817367864398648e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.907693730195242798e-01,1.000000000000000000e+00,2.960975293746059833e-02,3.759268197414513679e-01,8.762777368740657380e-01,1.236615908044740308e+00,1.549007344776597961e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.893683155581515232e-01,1.000000000000000000e+00,-2.915014478718092050e-02,3.173701559361532532e-01,8.159536444941792865e-01,1.175438021727721605e+00,1.487072781789670728e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.875917670495660827e-01,1.000000000000000000e+00,-1.340562424632238958e-01,2.108795584813663027e-01,7.062384870368916268e-01,1.064082554761696997e+00,1.374154907401887726e+00
