# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,1.321878151970546329e-10,4.172087383405404616e-05,4.180211844039962923e-05,1.121755348873082880e+01,1.155884354118155954e+01,1.205955072389043892e+01,1.241780698034791897e+01,1.272881119798326921e+01
5.549999999999999822e+00,1.321873051431155581e-10,4.681107078426904698e-05,4.690265783115182802e-05,1.109213077601680197e+01,1.143343504810452771e+01,1.193414501869291655e+01,1.229241266694005219e+01,1.260342550106243209e+01
5.599999999999999645e+00,1.321867328555261907e-10,5.252043160120944845e-05,5.262553372499379189e-05,1.096623156561385315e+01,1.130754686608078430e+01,1.180825448312413073e+01,1.216654732119290117e+01,1.247757715762207198e+01
5.650000000000000355e+00,1.321860907412392767e-10,5.892328273609470727e-05,5.904667659396805712e-05,1.084011147563063560e+01,1.118141233459444095e+01,1.168210340381007484e+01,1.204042698904731168e+01,1.235147486204689926e+01
5.700000000000000178e+00,1.321853702808728612e-10,6.610485550531398609e-05,6.625128025806404307e-05,1.071329277944300173e+01,1.105459393245001820e+01,1.155526333532387895e+01,1.191362870082549819e+01,1.222470387306932338e+01
5.750000000000000000e+00,1.321845619157208545e-10,7.415949916561248253e-05,7.433493177801762789e-05,1.058579334244948456e+01,1.092710713697558589e+01,1.142774677250935156e+01,1.178616078537333323e+01,1.209726986488137612e+01
5.799999999999999822e+00,1.321836549209875521e-10,8.319326494674966722e-05,8.340487911107849212e-05,1.045749331278568661e+01,1.079883978281161205e+01,1.129944138414732890e+01,1.165790989288861113e+01,1.196905966455454973e+01
5.849999999999999645e+00,1.321826372635676538e-10,9.332639552831049651e-05,9.358145331014023596e-05,1.032791586650015603e+01,1.066935083648068172e+01,1.116991391728146255e+01,1.152844830842624191e+01,1.183965268805342674e+01
5.900000000000000355e+00,1.321814954424893793e-10,1.046905312803347507e-04,1.049996640927925730e-04,1.019745186639782730e+01,1.053899583986937216e+01,1.103951160888104255e+01,1.139811397698792206e+01,1.170937599760002001e+01
5.950000000000000178e+00,1.321802143099100247e-10,1.174346980534667290e-04,1.178109898862245153e-04,1.006590663498896987e+01,1.040758964104187356e+01,1.090805185567813851e+01,1.126672484142600439e+01,1.157804798114083411e+01
6.000000000000000000e+00,1.321787768702957158e-10,1.317251504755827219e-04,1.321853860294444898e-04,9.933142829366282456e+00,1.027499433371415449e+01,1.077539931947749352e+01,1.113414541219013643e+01,1.144553093258149090e+01
6.049999999999999822e+00,1.321771640551308839e-10,1.477484056349703107e-04,1.483135376779151724e-04,9.798874010587908856e+00,1.014092971090766326e+01,1.064129042455802931e+01,1.100012020862556028e+01,1.131157144581126062e+01
6.099999999999999645e+00,1.321753544701800545e-10,1.657159873413950114e-04,1.664093871859453184e-04,9.662326405121433481e+00,1.000466374170153472e+01,1.050502178055260316e+01,1.086396565486395360e+01,1.117549950484475829e+01
6.150000000000000355e+00,1.321733241119637301e-10,1.858611094389985279e-04,1.867129693493121739e-04,9.523143053471983421e+00,9.865835415711664780e+00,1.036622839977981414e+01,1.072531938346109115e+01,1.103695251245686393e+01
6.200000000000000178e+00,1.321710460497052221e-10,2.084429784409592837e-04,2.094935919344847130e-04,9.380780170865193668e+00,9.723880856942471951e+00,1.022429310786117895e+01,1.058353727864529503e+01,1.089526717289278679e+01
6.250000000000000000e+00,1.321684900685529955e-10,2.337485878991094252e-04,2.350534034568093440e-04,9.234144347834927657e+00,9.577664296505027153e+00,1.007795222822288395e+01,1.043727797082696895e+01,1.074904129339226699e+01
6.299999999999999822e+00,1.321656222693747660e-10,2.620956910024891187e-04,2.637313952391998344e-04,9.079544300447864202e+00,9.423349975373113807e+00,9.923183075681023979e+00,1.028241326691653512e+01,1.059404824335034334e+01
6.349999999999999645e+00,1.321624046198513373e-10,2.938338602742988632e-04,2.959078904731527728e-04,8.913149735403059992e+00,9.256864360958040550e+00,9.755559747124735281e+00,1.011460863398902177e+01,1.042588572204435593e+01
6.400000000000000355e+00,1.321587944509628442e-10,3.293428705560465133e-04,3.320095793581434628e-04,8.739502133655633997e+00,9.082723359287548703e+00,9.579329470420603343e+00,9.938220994644268558e+00,1.024893621426429036e+01
6.450000000000000178e+00,1.321547438922461566e-10,3.690484469859244237e-04,3.725151665250364566e-04,8.554419198221580700e+00,8.896176280010571702e+00,9.389531046220348287e+00,9.748630244648595067e+00,1.005855754907589983e+01
6.500000000000000000e+00,1.321501992384083118e-10,4.134220130695079190e-04,4.179617049035320346e-04,8.361976231666496062e+00,8.699231482760112044e+00,9.188749992123803167e+00,9.547316704941849252e+00,9.855702037759783707e+00
6.549999999999999822e+00,1.321451002389871542e-10,4.629938774277390576e-04,4.689516991150744288e-04,8.186856784961065614e+00,8.508292920016103267e+00,8.988831588790105798e+00,9.341563477083937528e+00,9.640671744384071928e+00
6.599999999999999645e+00,1.321393793017563200e-10,5.182122104338623839e-04,5.261610714235907078e-04,8.025127072806057527e+00,8.320855413610367179e+00,8.789787938829192626e+00,9.134247918666929422e+00,9.422110164152016409e+00
6.650000000000000355e+00,1.321329605994577540e-10,5.797647371981253265e-04,5.903480944089616392e-04,7.877987278561683127e+00,8.145068263160602839e+00,8.603900638453218619e+00,8.940319551032963830e+00,9.218985032574394722e+00
6.700000000000000178e+00,1.321257590682026713e-10,6.486391895564059531e-04,6.623634069599428640e-04,7.758354338269299433e+00,8.004690322258227297e+00,8.454555410636316992e+00,8.782858049223975172e+00,9.052475693506586651e+00
6.750000000000000000e+00,1.321176792844932261e-10,7.254822316140866921e-04,7.431612440545224633e-04,7.652117743093526769e+00,7.877649638452183467e+00,8.312094842173038955e+00,8.626341802030310646e+00,8.878981519298768887e+00
6.799999999999999822e+00,1.321086142062712226e-10,8.108949483037655292e-04,8.338120262741660757e-04,7.549809264751580429e+00,7.740863803361925477e+00,8.149768036355780509e+00,8.439976939745562845e+00,8.662579457127201010e+00
6.849999999999999645e+00,1.320984437616739835e-10,9.058475342850765650e-04,9.355164722468190756e-04,7.457818423365885963e+00,7.603237598740903991e+00,7.980899025606660757e+00,8.242995028199032959e+00,8.430413469951602679e+00
6.900000000000000355e+00,1.320870332672560518e-10,1.011455222917463648e-03,1.049621416426084084e-03,7.382950025615826917e+00,7.486559008554110051e+00,7.821357386187152372e+00,8.046457657958157483e+00,8.194415484318739118e+00
6.950000000000000178e+00,1.320742316552999086e-10,1.128889975485227208e-03,1.177637535987610239e-03,7.324403203548136787e+00,7.408126816341116694e+00,7.702566897093348075e+00,7.883565039337121050e+00,7.983013817575695725e+00
7.000000000000000000e+00,1.320598694874609756e-10,1.259521472539103541e-03,1.321259214376825511e-03,7.273134687869330151e+00,7.348756724086634051e+00,7.617851015531215353e+00,7.760843832157149791e+00,7.813808514702216712e+00
7.049999999999999822e+00,1.320437567293577297e-10,1.404887555980412813e-03,1.482386795409500234e-03,7.223952544126362341e+00,7.289418035894563275e+00,7.539949900974697528e+00,7.654496237387512281e+00,7.673088921675713436e+00
7.099999999999999645e+00,1.320256802577936516e-10,1.566644523572503561e-03,1.663151511050155835e-03,7.177453921130442893e+00,7.230329243208842627e+00,7.467138961165332489e+00,7.559456403954733617e+00,7.550687251046753090e+00
7.150000000000000355e+00,1.320054010690656968e-10,1.746658185859686690e-03,1.865943398329675783e-03,7.133546768973005214e+00,7.174389949681440726e+00,7.401428331285046625e+00,7.476727944014719185e+00,7.446617829249987608e+00
7.200000000000000178e+00,1.319826511532408483e-10,1.947085357207155440e-03,2.093442556578302156e-03,7.091945850293953413e+00,7.122824166537483848e+00,7.341135837342825710e+00,7.401865260691430137e+00,7.354101479877513725e+00
7.250000000000000000e+00,1.319571299953480525e-10,2.170268522255732954e-03,2.348654135506061599e-03,7.052849929531099349e+00,7.075178028461138524e+00,7.284802131180924789e+00,7.330956220115496080e+00,7.266095336685225448e+00
7.299999999999999822e+00,1.319285006601059134e-10,2.418785208129414863e-03,2.634947487927391963e-03,7.015598987937337938e+00,7.030552156706434630e+00,7.232873936687148841e+00,7.266398294289849957e+00,7.187227240650308602e+00
7.349999999999999645e+00,1.318963854120648611e-10,2.695620644765130310e-03,2.956099968337965594e-03,6.979394569231018863e+00,6.986754991740284026e+00,7.182808859243465349e+00,7.206382574390111984e+00,7.116601904597111172e+00
7.400000000000000355e+00,1.318603608178643085e-10,3.004047037711734050e-03,3.316345910343484246e-03,6.944135933793276649e+00,6.942869618553579869e+00,7.132575243194999359e+00,7.147393100619510165e+00,7.048927714200054595e+00
7.450000000000000178e+00,1.318199522716725457e-10,3.347598635305250921e-03,3.720431372261249342e-03,6.909890095182817049e+00,6.899105543682836128e+00,7.082549862471530844e+00,7.089638716550105357e+00,6.984004341534600258e+00
7.500000000000000000e+00,1.317746278787785266e-10,3.730226867495166094e-03,4.173675301201341600e-03,6.876711792063503026e+00,6.856041503374768808e+00,7.034174171914678197e+00,7.035429742014819965e+00,6.924775797409026268e+00
7.549999999999999822e+00,1.317237916257432208e-10,4.156579054840598732e-03,4.682037831554433822e-03,6.843944133347363845e+00,6.812631465587713819e+00,6.986505701156737302e+00,6.984024743863301410e+00,6.870712106490273641e+00
7.599999999999999645e+00,1.316667757585034790e-10,4.631843280873924884e-03,5.252196503951984084e-03,6.810926843435439082e+00,6.767370237320442072e+00,6.937354721040279060e+00,6.932284134930092989e+00,6.817821965646331250e+00
7.650000000000000355e+00,1.316028322823909014e-10,5.161528206172926250e-03,5.891631265077817807e-03,6.777717605316404104e+00,6.720508699143636022e+00,6.886976688042359740e+00,6.880328954643580630e+00,6.765978905095174412e+00
7.700000000000000178e+00,1.315311234902376817e-10,5.751734265176134189e-03,6.608719186609752702e-03,6.744434794443129988e+00,6.672371595569742908e+00,6.835648809085775213e+00,6.828499679639080000e+00,6.715518738637278773e+00
7.750000000000000000e+00,1.314507114166871146e-10,6.409262984830876343e-03,7.412839922115473448e-03,6.711254934886007106e+00,6.623545157716328902e+00,6.783722804993935540e+00,6.776947709485320104e+00,6.666467428027324615e+00
