# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,2.125951365414697194e-10,6.709994487721218713e-05,6.723061109070145667e-05,1.104292162281207368e+01,1.154362880552094595e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.528639552181925945e-05,7.543369527491772502e-05,1.091751521764096822e+01,1.141822518827518707e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.446859595285103792e-05,8.463763175005015052e-05,1.079162937071252060e+01,1.129233698774964978e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.476606937043232498e-05,9.496452345370001648e-05,1.066549745583063213e+01,1.116618852470625711e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.063158728616938134e-04,1.065513670828823373e-04,1.053868197593912726e+01,1.103935137802816513e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.192697221966806720e-04,1.195518691003270595e-04,1.041119844634182812e+01,1.091183808042491421e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.337981462782861914e-04,1.341384829870180377e-04,1.028293473909975120e+01,1.078353633808275447e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.500944890807941775e-04,1.505046946528156915e-04,1.015344985324443883e+01,1.065401293074927480e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.683704139204882056e-04,1.688675861701536835e-04,1.002309939311743392e+01,1.052361515753835874e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.888655307590085498e-04,1.894707116576513340e-04,9.891698254997983497e+00,1.039216046347020495e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.118471402711539109e-04,2.125873232227291291e-04,9.759108590499529612e+00,1.025951356829315841e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.376151082000843031e-04,2.385239894588641869e-04,9.625050246216197536e+00,1.012541095068908703e+01
6.099999999999999645e+00,2.125550577328640028e-10,2.665094895172340455e-04,2.676246541192679176e-04,9.488791227643062598e+00,9.989149258305239698e+00
6.150000000000000355e+00,2.125485276260225288e-10,2.989051864235849282e-04,3.002751883266174511e-04,9.349970581759215804e+00,9.850363560781389083e+00
6.200000000000000178e+00,2.125412009644671761e-10,3.352188588144825571e-04,3.369084961033257586e-04,9.208024480169740400e+00,9.708436727890855877e+00
6.250000000000000000e+00,2.125329806156516112e-10,3.759117981759016610e-04,3.780102401811241968e-04,9.061817158782773163e+00,9.562105078011228443e+00
6.299999999999999822e+00,2.125237576110710412e-10,4.214946934665767106e-04,4.241252630841054676e-04,8.907512625472527645e+00,9.407345676421662972e+00
6.349999999999999645e+00,2.125134097061989549e-10,4.725293166364302527e-04,4.758647874445214227e-04,8.741037062611070496e+00,9.239732301098854350e+00
6.400000000000000355e+00,2.125017997657818659e-10,5.296258986110544218e-04,5.339144895299463350e-04,8.566906930802652198e+00,9.063512706088133086e+00
6.450000000000000178e+00,2.124887739534585643e-10,5.934684281324186135e-04,5.990435511464893992e-04,8.380371059238626685e+00,8.873725188074431003e+00
