# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,1.647515972210659420e-10,5.199894687228689608e-05,5.210020635179414458e-05,1.131743168191896132e+01,1.181649545810708446e+01
5.549999999999999822e+00,1.647506890745610814e-10,5.834308216248199134e-05,5.845723188579991537e-05,1.119202493299040668e+01,1.169109095734879844e+01
5.599999999999999645e+00,1.647496701233828061e-10,6.545889596307004799e-05,6.558989013372863296e-05,1.106614298034445198e+01,1.156520399060605087e+01
5.650000000000000355e+00,1.647485268488590925e-10,7.343901980792491232e-05,7.359281179960753996e-05,1.094002179467314306e+01,1.143906024435487723e+01
5.700000000000000178e+00,1.647472440831900827e-10,8.238967505832057645e-05,8.257217148289732129e-05,1.081322221275141970e+01,1.131222968622530800e+01
5.750000000000000000e+00,1.647458048083271317e-10,9.242844533811198538e-05,9.264709552351583729e-05,1.068576029518159487e+01,1.118472482761150388e+01
5.799999999999999822e+00,1.647441899303389264e-10,1.036874966635085500e-04,1.039512414408954558e-04,1.055752416058636101e+01,1.105643352433786930e+01
5.849999999999999645e+00,1.647423780262792250e-10,1.163166795790298929e-04,1.166345698589073173e-04,1.042807147851399918e+01,1.092692204075773077e+01
5.900000000000000355e+00,1.647403450602103250e-10,1.304800463130535552e-04,1.308653323411854163e-04,1.029775862520020979e+01,1.079653876997683426e+01
5.950000000000000178e+00,1.647380640646298298e-10,1.463633127177142940e-04,1.468323014045896881e-04,1.016639904774774550e+01,1.066510135572801232e+01
6.000000000000000000e+00,1.647355047830925908e-10,1.641736616633839832e-04,1.647472721651657571e-04,1.003385239688419261e+01,1.053247479504538830e+01
6.049999999999999822e+00,1.647326332693107472e-10,1.841435225064783803e-04,1.848478686381222608e-04,9.899828028165337912e+00,1.039839026521593013e+01
6.099999999999999645e+00,1.647294114374430015e-10,2.065364821001329022e-04,2.074006917124019832e-04,9.763576338278582512e+00,1.026213227775561165e+01
6.150000000000000355e+00,1.647257965576451663e-10,2.316431484560481184e-04,2.327048502972068039e-04,9.624722001730901866e+00,1.012332305741230698e+01
6.200000000000000178e+00,1.647217406902374214e-10,2.597865101952047374e-04,2.610959221513806257e-04,9.482697921283417486e+00,9.981334962087537122e+00
6.250000000000000000e+00,1.647171900510421047e-10,2.913241689794242350e-04,2.929503965186994858e-04,9.336397203061480354e+00,9.834911409704602647e+00
6.299999999999999822e+00,1.647120842995483953e-10,3.266520394488034657e-04,3.286906569747019341e-04,9.182047473157211925e+00,9.680101146405064583e+00
6.349999999999999645e+00,1.647063557405572653e-10,3.662056637315884975e-04,3.687905699127244597e-04,9.015596568164426117e+00,9.512528726151415981e+00
6.400000000000000355e+00,1.646999284288358082e-10,4.104581883131161782e-04,4.137817519629037838e-04,8.841566296255997770e+00,9.336443236322594430e+00
6.450000000000000178e+00,1.646927171650569508e-10,4.599399820319775758e-04,4.642605984146496779e-04,8.655148199961807620e+00,9.146807952240465056e+00
6.500000000000000000e+00,1.646846263698970383e-10,5.152383098100005729e-04,5.208961645342824335e-04,8.458139559733680812e+00,8.945956763617878948e+00
6.549999999999999822e+00,1.646755488215975141e-10,5.770137529711299182e-04,5.844390026308225001e-04,8.266979944364877042e+00,8.745784475974772931e+00
6.599999999999999645e+00,1.646653642405508924e-10,6.458244248725926494e-04,6.557310699572191631e-04,8.079117216368189247e+00,8.546697179930831112e+00
6.650000000000000355e+00,1.646539377025187680e-10,7.225268958930062928e-04,7.357168361819484180e-04,7.903036612980237408e+00,8.360607524590321304e+00
6.700000000000000178e+00,1.646411178599193402e-10,8.083514996152523944e-04,8.254557343781189754e-04,7.762621824522028646e+00,8.210940696963739072e+00
6.750000000000000000e+00,1.646267349482003087e-10,9.041032875455422410e-04,9.261361164111038850e-04,7.635574047618746363e+00,8.068136638396069316e+00
6.799999999999999822e+00,1.646105985516230048e-10,1.010530280506298029e-03,1.039090892452440833e-03,7.499320011670533859e+00,7.904630619790879109e+00
6.849999999999999645e+00,1.645924950997899540e-10,1.128840261845323297e-03,1.165815055283618996e-03,7.362010096876680620e+00,7.734987606637865554e+00
6.900000000000000355e+00,1.645721850629315339e-10,1.260421426860010080e-03,1.307985313292630344e-03,7.245608330281555709e+00,7.575075371099721622e+00
6.950000000000000178e+00,1.645493998102848397e-10,1.406732229357071477e-03,1.467482081819417332e-03,7.168151292119617324e+00,7.455248492529825910e+00
7.000000000000000000e+00,1.645238380918311584e-10,1.569476996469369679e-03,1.646414110995264969e-03,7.109797576038289435e+00,7.369430236162003212e+00
7.049999999999999822e+00,1.644951620991614420e-10,1.750568947186804773e-03,1.847146059683388037e-03,7.051155088788043201e+00,7.290794893006776078e+00
7.099999999999999645e+00,1.644629930562892876e-10,1.952068068971291081e-03,2.072329359788443754e-03,6.992321260242775338e+00,7.217658014367870578e+00
7.150000000000000355e+00,1.644269062857885803e-10,2.176294393184353623e-03,2.324936753293336232e-03,6.936534854152213825e+00,7.151721335628778320e+00
7.200000000000000178e+00,1.643864256896713078e-10,2.425929286516498740e-03,2.608300926114253890e-03,6.885209054021366626e+00,7.091179143588057343e+00
7.250000000000000000e+00,1.643410175779118646e-10,2.703883824777399397e-03,2.926157708430315255e-03,6.837795536431372057e+00,7.034648694683959036e+00
7.299999999999999822e+00,1.642900837704476143e-10,3.013359912103069464e-03,3.282694360679992446e-03,6.793388877875301546e+00,6.982570985987990753e+00
7.349999999999999645e+00,1.642329538908275625e-10,3.358064942109832869e-03,3.682603518020497596e-03,6.749751102509620182e+00,6.932449016690718224e+00
7.400000000000000355e+00,1.641688767614460274e-10,3.742060656609430633e-03,4.131143423691226516e-03,6.705983272042985277e+00,6.882233308248089543e+00
7.450000000000000178e+00,1.640970108015034789e-10,4.169731257527639276e-03,4.634205143289009746e-03,6.662352631238469769e+00,6.832238398966545390e+00
7.500000000000000000e+00,1.640164133195260767e-10,4.645975741633809157e-03,5.198387517130906299e-03,6.619407362336353629e+00,6.783939846649886363e+00
7.549999999999999822e+00,1.639260285825288965e-10,5.176553971748478963e-03,5.831080676111197181e-03,6.576153277956684917e+00,6.736337958159474226e+00
7.599999999999999645e+00,1.638246745338442271e-10,5.767891663245245867e-03,6.540559016903911907e-03,6.531218120488176737e+00,6.687100029496662046e+00
7.650000000000000355e+00,1.637110280214366908e-10,6.426803972757653971e-03,7.336084603756569573e-03,6.484792418443944939e+00,6.636550370191358184e+00
7.700000000000000178e+00,1.635836083884454963e-10,7.160831019806105854e-03,8.228022034694941131e-03,6.437081170782036565e+00,6.585098284125592727e+00
7.750000000000000000e+00,1.634407592680808728e-10,7.978371022491135417e-03,9.227965877247303744e-03,6.388628552476070865e+00,6.533146236822481967e+00
7.799999999999999822e+00,1.632806284163329573e-10,8.888770445527783767e-03,1.034888183948270805e-02,6.340576956782761897e+00,6.481171983342257192e+00
7.849999999999999645e+00,1.631011454088547937e-10,9.902344270823140379e-03,1.160526289182987024e-02,6.293511725524894018e+00,6.429516963549808395e+00
7.900000000000000355e+00,1.628999970236883259e-10,1.103050124750734780e-02,1.301330158799524073e-02,6.247621018451297914e+00,6.378890157502802083e+00
7.950000000000000178e+00,1.626746001302866963e-10,1.228611375056744628e-02,1.459107984180657049e-02,6.202551517389849778e+00,6.329093399042442059e+00
8.000000000000000000e+00,1.624220719089336963e-10,1.368351686859605246e-02,1.635877739127753958e-02,6.157683015038323049e+00,6.279375211351968744e+00
8.050000000000000711e+00,1.621391972349362159e-10,1.523831922680887220e-02,1.833890010925982167e-02,6.113123003137928890e+00,6.229953988554683519e+00
8.099999999999999645e+00,1.618223930811051318e-10,1.696774481083782385e-02,2.055652918607757743e-02,6.069071436406119346e+00,6.181252874081117454e+00
8.150000000000000355e+00,1.614676698228501453e-10,1.888952351290761056e-02,2.303959199386238291e-02,6.025572661889782466e+00,6.133343394757339695e+00
