# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.000000000000000000e+00,6.666233380095578866e-10,6.531514295857127137e-05,6.666455592818335441e-05,1.103570873563693056e+01,1.130536232136139319e+01
5.049999999999999822e+00,6.666179153416597523e-10,7.328432271198560475e-05,7.479855777532997665e-05,1.091229281555657593e+01,1.118257645518042409e+01
5.099999999999999645e+00,6.666118310607191569e-10,8.222664893007477778e-05,8.392497918622769768e-05,1.079042327282694202e+01,1.106285394477205841e+01
5.150000000000000355e+00,6.666050044513317374e-10,9.224394367448835537e-05,9.416489326740511438e-05,1.067109962387255706e+01,1.094671547074418072e+01
5.200000000000000178e+00,6.665973449528441033e-10,1.034806315835675551e-04,1.056541409987980475e-04,1.055234131131724240e+01,1.083230741025893451e+01
5.250000000000000000e+00,6.665887509589636005e-10,1.161011678481915278e-04,1.185451318194422001e-04,1.043196135512964418e+01,1.071768763091646548e+01
5.299999999999999822e+00,6.665791084711339164e-10,1.302415273947653534e-04,1.330088635640703750e-04,1.031363387473045634e+01,1.060562780008708472e+01
5.349999999999999645e+00,6.665682895878935912e-10,1.461014684019093708e-04,1.492371884245439063e-04,1.019578564775779483e+01,1.049471419850804921e+01
5.400000000000000355e+00,6.665561508102843473e-10,1.639186019150333984e-04,1.674453548384711944e-04,1.007584041325578283e+01,1.038264920817633197e+01
5.450000000000000178e+00,6.665425311409566431e-10,1.838923851169020802e-04,1.878748588300301883e-04,9.956921208640650889e+00,1.027179274358969252e+01
5.500000000000000000e+00,6.665272499519245990e-10,2.063161333198086785e-04,2.107966423780003673e-04,9.837073329114957687e+00,1.016040777312553445e+01
5.549999999999999822e+00,6.665101045928935070e-10,2.314595137812736503e-04,2.365146809247209653e-04,9.717422817668463608e+00,1.004931452003212655e+01
5.599999999999999645e+00,6.664908677086967675e-10,2.596634649868004578e-04,2.653700072197472766e-04,9.597403851413517373e+00,9.937989900952985067e+00
5.650000000000000355e+00,6.664692842305942255e-10,2.913402380002449586e-04,2.977452243735537294e-04,9.474976976639709392e+00,9.824615136505549629e+00
5.700000000000000178e+00,6.664450680019394084e-10,3.267965652590397907e-04,3.340695673558882793e-04,9.354362028513875771e+00,9.712643129747860371e+00
5.750000000000000000e+00,6.664178979939886968e-10,3.666647960873693638e-04,3.748245792820425830e-04,9.232889144753208654e+00,9.599752384109066838e+00
5.799999999999999822e+00,6.663874140623267462e-10,4.115608621931367609e-04,4.205504767749604442e-04,9.107975870044185740e+00,9.483604600918823735e+00
5.849999999999999645e+00,6.663532121884636911e-10,4.617619120419379436e-04,4.718532875694636270e-04,8.983519871156289582e+00,9.367508948546067415e+00
5.900000000000000355e+00,6.663148391445528680e-10,5.180116524974350684e-04,5.294128534356308058e-04,8.857754034409836663e+00,9.249934515597644236e+00
5.950000000000000178e+00,6.662717865118058552e-10,5.811870585702088405e-04,5.939918025560927484e-04,8.729200512425116187e+00,9.129479714867649420e+00
6.000000000000000000e+00,6.662234839749581110e-10,6.520338793491903566e-04,6.664456078277176216e-04,8.600496172177599874e+00,9.008408811493595181e+00
6.049999999999999822e+00,6.661692918059800475e-10,7.313589521470181170e-04,7.477338612948584507e-04,8.471523470407639422e+00,8.886630281395632380e+00
6.099999999999999645e+00,6.661084924400304846e-10,8.202821411075675567e-04,8.389329102193497862e-04,8.340080084503064484e+00,8.762171572200543324e+00
6.150000000000000355e+00,6.660402810353105394e-10,9.199084268779560408e-04,9.412500172991930319e-04,8.207563444928474894e+00,8.636304558815353971e+00
6.200000000000000178e+00,6.659637548958826951e-10,1.031397398589403323e-03,1.056039226441017565e-03,8.074918701282825850e+00,8.509879869599856761e+00
6.250000000000000000e+00,6.658779016225460314e-10,1.156562084845032994e-03,1.184819136446003300e-03,7.937708959296330136e+00,8.378732556912353857e+00
6.299999999999999822e+00,6.657815858413914505e-10,1.296842816077495167e-03,1.329292808177764225e-03,7.797728169042109414e+00,8.244533987393488417e+00
6.349999999999999645e+00,6.656735343425501982e-10,1.454024710451396656e-03,1.491370056439652106e-03,7.655149040821527251e+00,8.107439613965865988e+00
6.400000000000000355e+00,6.655523194427784011e-10,1.630022992824884873e-03,1.673192406097340212e-03,7.508196250318889042e+00,7.965486034235212287e+00
6.450000000000000178e+00,6.654163403647467338e-10,1.826575748029055568e-03,1.877161023144898128e-03,7.356155069212384490e+00,7.817447287638188413e+00
6.500000000000000000e+00,6.652638024030965858e-10,2.047612237465702353e-03,2.105967965620149634e-03,7.195633070464459990e+00,7.660053118583547871e+00
6.549999999999999822e+00,6.650926936223748784e-10,2.296895165507992914e-03,2.362631136702673072e-03,7.019407578456991814e+00,7.486649543713120636e+00
6.599999999999999645e+00,6.649007588047528873e-10,2.577026838388656298e-03,2.650533363135673930e-03,6.751281802679820032e+00,7.199861018329507090e+00
6.650000000000000355e+00,6.646854703359113161e-10,2.890868695323177071e-03,2.973466066397942829e-03,6.473225415811903360e+00,6.875704808236775989e+00
6.700000000000000178e+00,6.644439956855959789e-10,3.241368039506079077e-03,3.335678041870943685e-03,6.240039710271858553e+00,6.597433917067924369e+00
6.750000000000000000e+00,6.641731611051518730e-10,3.632700854224024407e-03,3.741929912537124599e-03,5.997032250557403188e+00,6.327557732112879307e+00
6.799999999999999822e+00,6.638694111279349653e-10,4.067924450489666076e-03,4.197554878362515576e-03,5.793502772270315404e+00,6.076770909958391087e+00
6.849999999999999645e+00,6.635287634201137355e-10,4.550762715178163081e-03,4.708526440094372607e-03,5.660741817611352644e+00,5.873178659783128808e+00
6.900000000000000355e+00,6.631467584893750252e-10,5.086752724437431858e-03,5.281533836202401307e-03,5.566548544712105695e+00,5.729100673048421299e+00
6.950000000000000178e+00,6.627184037180200711e-10,5.681776138124973625e-03,5.924065993234865074e-03,5.490701334790351495e+00,5.636729152083027827e+00
7.000000000000000000e+00,6.622381111457075360e-10,6.342510275833748191e-03,6.644504851703732576e-03,5.433581211203602379e+00,5.575601381133708401e+00
7.049999999999999822e+00,6.616996283868348572e-10,7.076519057755896285e-03,7.452228990012688993e-03,5.387462616440508612e+00,5.524157276681734174e+00
7.099999999999999645e+00,6.610959620298480940e-10,7.892154940217860348e-03,8.357728525492817695e-03,5.347599037090759566e+00,5.480641094617695330e+00
7.150000000000000355e+00,6.604192928327691586e-10,8.798677669743449475e-03,9.372732321111241702e-03,5.313114001092912986e+00,5.444640950315566386e+00
7.200000000000000178e+00,6.596608820037707595e-10,9.806387603050120000e-03,1.051034856460884674e-02,5.272158065133865534e+00,5.395576595049945468e+00
7.250000000000000000e+00,6.588109678414128432e-10,1.092667249398409854e-02,1.178521980814577728e-02,5.220565505306034026e+00,5.334625257418124988e+00
7.299999999999999822e+00,6.578586520109786651e-10,1.217214420607085762e-02,1.321369355379686111e-02,5.176823765878097561e+00,5.288192882811699747e+00
7.349999999999999645e+00,6.567917747573682919e-10,1.355718071272309783e-02,1.481400943421261850e-02,5.143723556826152787e+00,5.251474761902073851e+00
7.400000000000000355e+00,6.555967784090317440e-10,1.509777836525423057e-02,1.660650395671733198e-02,5.105613666674535978e+00,5.208692580745349687e+00
7.450000000000000178e+00,6.542585586213501385e-10,1.681119134440156593e-02,1.861383363823975942e-02,5.062704122707103238e+00,5.163944475849170601e+00
7.500000000000000000e+00,6.527603029540267009e-10,1.871648219646304331e-02,2.086121713922500440e-02,5.017841999931263786e+00,5.119679816687217055e+00
7.549999999999999822e+00,6.510833165908503717e-10,2.083497452045039028e-02,2.337669668398943690e-02,4.972458769311536741e+00,5.074947038384372888e+00
7.599999999999999645e+00,6.492068353105492849e-10,2.319003054201912439e-02,2.619141860444115788e-02,4.927785691137152924e+00,5.029589178148860640e+00
7.650000000000000355e+00,6.471078262275856405e-10,2.580623539407676109e-02,2.933993222888650262e-02,4.883109378424322244e+00,4.982668529878822028e+00
7.700000000000000178e+00,6.447607773697355499e-10,2.870964096987266290e-02,3.286050551566149780e-02,4.839757909352371712e+00,4.936412500171599049e+00
7.750000000000000000e+00,6.421374778788568887e-10,3.193072776104980554e-02,3.679545475197955329e-02,4.798637658122572702e+00,4.891811343559325564e+00
7.799999999999999822e+00,6.392067915523345748e-10,3.550384706635238696e-02,4.119148424176301976e-02,4.758731960255886406e+00,4.847845561193025787e+00
7.849999999999999645e+00,6.359344276319690361e-10,3.946511179731690411e-02,4.610003012231139036e-02,4.719719982981565920e+00,4.804934090629295440e+00
7.900000000000000355e+00,6.322827142481535272e-10,4.385506835769091560e-02,5.157760019803473567e-02,4.681881416909085658e+00,4.762539901242732299e+00
7.950000000000000178e+00,6.282103818002604604e-10,4.871637074569643011e-02,5.768609886987422636e-02,4.644994812521495930e+00,4.720720699388266439e+00
8.000000000000000000e+00,6.236723658648511075e-10,5.409325485134772876e-02,6.449312277298833995e-02,4.609088193515532339e+00,4.680075539173131460e+00
8.050000000000000711e+00,6.186196420403129755e-10,6.003538216319109777e-02,7.207220850979551008e-02,4.574091443226052434e+00,4.640496981320012537e+00
8.099999999999999645e+00,6.129991085272237567e-10,6.659663205583923884e-02,8.050300877942943856e-02,4.540065714540176600e+00,4.602339508472880425e+00
8.150000000000000355e+00,6.067535362673863116e-10,7.383507842618375339e-02,8.987136716918552037e-02,4.506839319165536040e+00,4.565448245534028615e+00
8.199999999999999289e+00,5.998216111616442060e-10,8.181248656040715495e-02,1.002692548277986373e-01,4.474292310499073722e+00,4.529402631186179917e+00
8.250000000000000000e+00,5.921380982634965333e-10,9.059068025593787488e-02,1.117945241750201157e-01,4.442710704889748285e+00,4.494096823121836337e+00
8.300000000000000711e+00,5.836341638523791554e-10,1.002310447771225521e-01,1.245504257916961593e-01,4.412465434070092840e+00,4.460170960795885264e+00
8.349999999999999645e+00,5.742378977910201989e-10,1.107989033252389788e-01,1.386448248837347241e-01,4.383694486100786492e+00,4.428040655281598958e+00
8.400000000000000355e+00,5.638750853031902793e-10,1.223632389441623586e-01,1.541890436154794708e-01,4.356588145485652319e+00,4.397657680681014369e+00
8.449999999999999289e+00,5.524702838315692143e-10,1.349882760526141534e-01,1.712962458229110863e-01,4.331475694329249393e+00,4.369221870739920632e+00
8.500000000000000000e+00,5.399482662698662801e-10,1.487368626780791458e-01,1.900792721654655515e-01,4.308710406993043307e+00,4.342874646339744515e+00
8.550000000000000711e+00,5.262358956139898529e-10,1.636695795898733818e-01,2.106478281492802362e-01,4.288606094467368735e+00,4.318704268300372462e+00
8.599999999999999645e+00,5.112644965545018271e-10,1.798357488615114075e-01,2.331049267385122969e-01,4.271624490761169568e+00,4.297110235660895228e+00
8.650000000000000355e+00,4.949727848760582519e-10,1.972736626174953489e-01,2.575424942561775343e-01,4.258337729728481236e+00,4.278403078041620233e+00
8.699999999999999289e+00,4.773104033502890021e-10,2.160077789971248108e-01,2.840360665448314892e-01,4.249194637066203484e+00,4.262835397514777469e+00
8.750000000000000000e+00,4.582420901826912300e-10,2.360415107293014625e-01,3.126385362962280645e-01,4.244633729488228369e+00,4.250709120697472088e+00
8.800000000000000711e+00,4.377524696276169414e-10,2.573567402925311942e-01,3.433729671288395235e-01,4.245129168616756488e+00,4.242227310592433298e+00
8.849999999999999645e+00,4.158514005319514744e-10,2.799067252837820763e-01,3.762245707723378407e-01,4.251261142271985705e+00,4.237972858127520226e+00
8.900000000000000355e+00,3.925797439791476659e-10,3.035945556102971343e-01,4.111320556015434224e-01,4.263840392593337469e+00,4.238593173652837720e+00
8.949999999999999289e+00,3.680153136026008838e-10,3.282854073098494530e-01,4.479787011663636243e-01,4.283637880173557733e+00,4.244458170579356704e+00
9.000000000000000000e+00,3.422786514969211625e-10,3.538169168895554662e-01,4.865836943248832425e-01,4.311087973461454226e+00,4.255710145908167874e+00
9.050000000000000711e+00,3.155381328750568548e-10,3.799594718887898126e-01,5.266944722576796245e-01,4.346055759912886174e+00,4.270608188828795448e+00
9.099999999999999645e+00,2.880137536083010849e-10,4.064143073666155459e-01,5.679810411578133378e-01,4.387927426100006301e+00,4.286543793432599614e+00
9.150000000000000355e+00,2.599788147663079943e-10,4.325964226028941040e-01,6.100334494208028424e-01,4.440811580330645825e+00,4.311576238657721660e+00
9.199999999999999289e+00,2.317586157806850147e-10,4.580805834810166566e-01,6.523637478992373451e-01,4.508217848762534175e+00,4.352580226590056611e+00
9.250000000000000000e+00,2.037252425437089028e-10,4.827146660238412768e-01,6.944138077547015175e-01,4.588571049884954789e+00,4.406049615222514149e+00
9.300000000000000711e+00,1.762876376415541670e-10,5.061294600681897071e-01,7.355702151079336337e-01,4.681926621467589200e+00,4.471115114133347390e+00
9.349999999999999645e+00,1.498764193304048988e-10,5.279504918189571461e-01,7.751870425746575366e-01,4.788940385567968860e+00,4.548212845874168408e+00
9.400000000000000355e+00,1.249234173193164494e-10,5.478228002740073155e-01,8.126165455912902624e-01,4.909841325581353999e+00,4.636805020957439183e+00
9.449999999999999289e+00,1.018366326160042213e-10,5.653953348794084066e-01,8.472467226462586654e-01,5.045183502462805336e+00,4.737339165890602999e+00
9.500000000000000000e+00,8.097226880842456027e-11,5.803921065753584463e-01,8.785432683576280821e-01,5.195539808735901488e+00,4.850612336628017829e+00
9.550000000000000711e+00,6.260650882569082597e-11,5.926564775486806713e-01,9.060919083317287015e-01,5.359785772249679781e+00,4.974638047319302814e+00
9.599999999999999645e+00,4.691061764047617418e-11,6.021203863800941303e-01,9.296357451095507152e-01,5.536973725977055949e+00,5.108695578486234012e+00
9.650000000000000355e+00,3.393344913628285268e-11,6.088417370174615817e-01,9.491014978658407486e-01,5.725462783471819250e+00,5.251647519945521481e+00
9.699999999999999289e+00,2.359520747369799645e-11,6.130137088091058839e-01,9.646088603597180455e-01,5.922113529737622173e+00,5.401059175847812810e+00
9.750000000000000000e+00,1.569511746516672692e-11,6.149294102175234533e-01,9.764589953725149041e-01,6.122969699385897968e+00,5.554153329739435208e+00
9.800000000000000711e+00,9.933466848809258443e-12,6.149692369082623289e-01,9.851014712970511678e-01,6.324678101554873422e+00,5.708315213106821773e+00
9.849999999999999645e+00,5.945610878582691947e-12,6.135258460495994770e-01,9.910832552523908268e-01,6.522675432693866071e+00,5.859803215980896596e+00
9.900000000000000355e+00,3.342671299560268965e-12,6.110325796691626898e-01,9.949876646209245834e-01,6.715837594078102768e+00,6.010438526014617366e+00
9.949999999999999289e+00,1.751756364614545590e-12,6.078993500263414340e-01,9.973740370233430408e-01,6.901108232495396066e+00,6.157677886124716338e+00
