# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.980564476304850663e-01,1.000000000000000000e+00,6.118392697616670262e-01,1.112546452470546399e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.978912964085338011e-01,1.000000000000000000e+00,6.044542137870223542e-01,1.105211381206366639e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.973950778127850247e-01,1.000000000000000000e+00,6.021264235630283679e-01,1.102748935292993337e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.969168236882459677e-01,1.000000000000000000e+00,5.982047044056599816e-01,1.098698417568314767e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.966941683524599416e-01,1.000000000000000000e+00,5.875598238778252380e-01,1.088055185043060646e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.961396924381298312e-01,1.000000000000000000e+00,5.823362503318065819e-01,1.082646413096888693e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.958870059460103175e-01,1.000000000000000000e+00,5.687200711680020504e-01,1.069007224917442045e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.955811208911986565e-01,1.000000000000000000e+00,5.539876325489814235e-01,1.054219985272439430e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.949593801475515864e-01,1.000000000000000000e+00,5.442440451332402063e-01,1.044305716340893753e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.945642507501417651e-01,1.000000000000000000e+00,5.249926538391278541e-01,1.025024008622636984e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.937718126327585999e-01,1.000000000000000000e+00,5.105089703693650449e-01,1.010410088856787070e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.932312927301548688e-01,1.000000000000000000e+00,4.846743366665933195e-01,9.848137205583071818e-01
6.099999999999999645e+00,0.000000000000000000e+00,9.926049761264653659e-01,1.000000000000000000e+00,4.548712559842016390e-01,9.553953266151751222e-01
6.150000000000000355e+00,0.000000000000000000e+00,9.918022712621223924e-01,1.000000000000000000e+00,4.192478379312163383e-01,9.200135465484677866e-01
6.200000000000000178e+00,0.000000000000000000e+00,9.907693730195242798e-01,1.000000000000000000e+00,3.759268197414513679e-01,8.762777368740657380e-01
6.250000000000000000e+00,0.000000000000000000e+00,9.893683155581515232e-01,1.000000000000000000e+00,3.173701559361532532e-01,8.159536444941792865e-01
6.299999999999999822e+00,0.000000000000000000e+00,9.875917670495660827e-01,1.000000000000000000e+00,2.108795584813663027e-01,7.062384870368916268e-01
6.349999999999999645e+00,0.000000000000000000e+00,9.852117650268358284e-01,1.000000000000000000e+00,8.296928114384627406e-02,5.718386894297040612e-01
6.400000000000000355e+00,0.000000000000000000e+00,9.820198586853120526e-01,1.000000000000000000e+00,1.838949822653290767e-02,4.992772550616493277e-01
6.450000000000000178e+00,0.000000000000000000e+00,9.785513400410740248e-01,1.000000000000000000e+00,-1.681456576998598962e-01,3.042275330612227435e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.743188515968762564e-01,1.000000000000000000e+00,-2.421053432637734204e-01,2.265930668637636813e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.701480672908636693e-01,1.000000000000000000e+00,-2.413527181723154058e-01,1.621680433694336898e-01
6.599999999999999645e+00,0.000000000000000000e+00,9.604484163481047387e-01,1.000000000000000000e+00,-3.269217473165184629e-01,8.763890692504361368e-02
6.650000000000000355e+00,0.000000000000000000e+00,9.575399359404881405e-01,1.000000000000000000e+00,-2.176885236886008101e-01,1.733536892199154522e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.552984717573439477e-01,1.000000000000000000e+00,1.142390555768670879e-01,4.960845856492213102e-01
6.750000000000000000e+00,0.000000000000000000e+00,9.469956047492174012e-01,1.000000000000000000e+00,-2.968950691592908697e-02,2.367010837024423608e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.376560935329240065e-01,1.000000000000000000e+00,-6.681756228235258277e-02,1.409140543138249768e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.297702401454529531e-01,1.000000000000000000e+00,-6.855152400021324866e-02,6.812908429025554824e-02
6.900000000000000355e+00,0.000000000000000000e+00,9.215112913242232695e-01,1.000000000000000000e+00,3.135487093317976814e-01,1.841727418225360680e-01
6.950000000000000178e+00,0.000000000000000000e+00,9.134048402404224554e-01,1.000000000000000000e+00,8.858459889207566107e-01,7.393668598222689070e-01
7.000000000000000000e+00,0.000000000000000000e+00,9.059316314917554847e-01,1.000000000000000000e+00,9.653158325314237231e-01,9.077157508119242380e-01
7.049999999999999822e+00,0.000000000000000000e+00,8.986699978011137846e-01,1.000000000000000000e+00,1.017454452321317149e+00,1.005303059772636232e+00
7.099999999999999645e+00,0.000000000000000000e+00,8.912866586870394903e-01,1.000000000000000000e+00,1.105919638173482156e+00,1.155024855037765974e+00
7.150000000000000355e+00,0.000000000000000000e+00,8.843371565614134289e-01,1.000000000000000000e+00,1.273529829940102331e+00,1.340666933125966409e+00
7.200000000000000178e+00,0.000000000000000000e+00,8.779447643722845251e-01,1.000000000000000000e+00,1.422842722713625108e+00,1.461381315552010562e+00
7.250000000000000000e+00,0.000000000000000000e+00,8.713627860973116590e-01,1.000000000000000000e+00,1.595622690615485340e+00,1.622018901090129361e+00
7.299999999999999822e+00,0.000000000000000000e+00,8.650556221890914887e-01,1.000000000000000000e+00,1.718474232179517003e+00,1.777979268628719467e+00
7.349999999999999645e+00,0.000000000000000000e+00,8.592907316939419893e-01,1.000000000000000000e+00,1.795040211658729845e+00,1.844919532412760077e+00
7.400000000000000355e+00,0.000000000000000000e+00,8.533822915091388017e-01,1.000000000000000000e+00,1.874917535318992634e+00,1.919129185845889651e+00
7.450000000000000178e+00,0.000000000000000000e+00,8.474026613397059871e-01,1.000000000000000000e+00,1.961710285041881718e+00,2.002218344252611359e+00
7.500000000000000000e+00,0.000000000000000000e+00,8.414239859136812827e-01,1.000000000000000000e+00,2.071406387534167948e+00,2.143125959886958753e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.363758384540170843e-01,1.000000000000000000e+00,2.104701737278993789e+00,2.183592525494589154e+00
7.599999999999999645e+00,0.000000000000000000e+00,8.312367966847468148e-01,1.000000000000000000e+00,2.140453168197069544e+00,2.228123709088116300e+00
7.650000000000000355e+00,0.000000000000000000e+00,8.260176501265588112e-01,1.000000000000000000e+00,2.185241873911991206e+00,2.278576616181567260e+00
7.700000000000000178e+00,0.000000000000000000e+00,8.206769765459792643e-01,1.000000000000000000e+00,2.234910037693005336e+00,2.333594798087474942e+00
7.750000000000000000e+00,0.000000000000000000e+00,8.153499485028958826e-01,1.000000000000000000e+00,2.304764661446384366e+00,2.397532720135934881e+00
7.799999999999999822e+00,0.000000000000000000e+00,8.099772279461318059e-01,1.000000000000000000e+00,2.400414699424331388e+00,2.474708562033967496e+00
7.849999999999999645e+00,0.000000000000000000e+00,8.045457861333805694e-01,1.000000000000000000e+00,2.493040976789316687e+00,2.555644606317159173e+00
7.900000000000000355e+00,0.000000000000000000e+00,7.990595139924590029e-01,1.000000000000000000e+00,2.602164617207691322e+00,2.661754547411476324e+00
7.950000000000000178e+00,0.000000000000000000e+00,7.938324355355704798e-01,1.000000000000000000e+00,2.685449731439604193e+00,2.728703922528467274e+00
8.000000000000000000e+00,0.000000000000000000e+00,7.886155110904849996e-01,1.000000000000000000e+00,2.766698929412555685e+00,2.804331934493703216e+00
8.050000000000000711e+00,0.000000000000000000e+00,7.833512190720749446e-01,1.000000000000000000e+00,2.849968763979283892e+00,2.884733429301832075e+00
8.099999999999999645e+00,0.000000000000000000e+00,7.780826812771666212e-01,1.000000000000000000e+00,2.938745343545349442e+00,2.980156556059796458e+00
8.150000000000000355e+00,0.000000000000000000e+00,7.717848704600507315e-01,1.000000000000000000e+00,3.020661741309190518e+00,3.065868216635855958e+00
8.199999999999999289e+00,0.000000000000000000e+00,7.654318214317443747e-01,1.000000000000000000e+00,3.111422951835130846e+00,3.162571205390996454e+00
8.250000000000000000e+00,0.000000000000000000e+00,7.593685248912376284e-01,1.000000000000000000e+00,3.196034660215538281e+00,3.246550841200118498e+00
8.300000000000000711e+00,0.000000000000000000e+00,7.549241848782661801e-01,1.000000000000000000e+00,3.282522578303989746e+00,3.331801781102100790e+00
8.349999999999999645e+00,0.000000000000000000e+00,7.504855117674867904e-01,1.000000000000000000e+00,3.376411873352665793e+00,3.407873164249643594e+00
8.400000000000000355e+00,0.000000000000000000e+00,7.460391953615319593e-01,1.000000000000000000e+00,3.471506634920807244e+00,3.479608795460507054e+00
8.449999999999999289e+00,0.000000000000000000e+00,7.414068862610556643e-01,1.000000000000000000e+00,3.566871432155679145e+00,3.548044610121912967e+00
8.500000000000000000e+00,0.000000000000000000e+00,7.354446907432916625e-01,1.000000000000000000e+00,3.667576707074829301e+00,3.625989068751771072e+00
8.550000000000000711e+00,0.000000000000000000e+00,7.317838332094701581e-01,1.000000000000000000e+00,3.765663997751765635e+00,3.708251127760753718e+00
8.599999999999999645e+00,0.000000000000000000e+00,7.271564235727371317e-01,1.000000000000000000e+00,3.869781199863979282e+00,3.793681962176457034e+00
8.650000000000000355e+00,0.000000000000000000e+00,7.224852444311388178e-01,1.000000000000000000e+00,3.983474869873184332e+00,3.875582302581854321e+00
8.699999999999999289e+00,0.000000000000000000e+00,7.177787072425075854e-01,1.000000000000000000e+00,4.098585544810262604e+00,3.955907855754546176e+00
8.750000000000000000e+00,0.000000000000000000e+00,7.126192608961680053e-01,1.000000000000000000e+00,4.223470397910602969e+00,4.041930892194116609e+00
8.800000000000000711e+00,0.000000000000000000e+00,7.078761484160038808e-01,1.000000000000000000e+00,4.353299895904051198e+00,4.132496126503369283e+00
8.849999999999999645e+00,0.000000000000000000e+00,7.031105968479447466e-01,1.000000000000000000e+00,4.478792877808899675e+00,4.226322157295477666e+00
8.900000000000000355e+00,0.000000000000000000e+00,6.983080137387610575e-01,1.000000000000000000e+00,4.608452620853071835e+00,4.310512660448054589e+00
8.949999999999999289e+00,0.000000000000000000e+00,6.927130725728892768e-01,1.000000000000000000e+00,4.739800712686431439e+00,4.399936321372784676e+00
9.000000000000000000e+00,0.000000000000000000e+00,6.878483221559134053e-01,1.000000000000000000e+00,4.865447610812132950e+00,4.492534316847780929e+00
9.050000000000000711e+00,0.000000000000000000e+00,6.832417823317793459e-01,1.000000000000000000e+00,4.990376174395613873e+00,4.580085566073641701e+00
9.099999999999999645e+00,0.000000000000000000e+00,6.778825371003900369e-01,1.000000000000000000e+00,5.080149480233636439e+00,4.600722729809056943e+00
9.150000000000000355e+00,0.000000000000000000e+00,6.727401984369234533e-01,1.000000000000000000e+00,5.146914111737402209e+00,4.614956021417803811e+00
9.199999999999999289e+00,0.000000000000000000e+00,6.619229178118838375e-01,1.000000000000000000e+00,5.392259049175983421e+00,4.858209994631629058e+00
9.250000000000000000e+00,0.000000000000000000e+00,6.569817173879988204e-01,1.000000000000000000e+00,5.547564640081361631e+00,4.996424554083716885e+00
9.300000000000000711e+00,0.000000000000000000e+00,6.520045111627783552e-01,1.000000000000000000e+00,5.697114272115790357e+00,5.129235665120404519e+00
9.349999999999999645e+00,0.000000000000000000e+00,6.473827728122090175e-01,1.000000000000000000e+00,5.829490969547698853e+00,5.236838103097070984e+00
9.400000000000000355e+00,0.000000000000000000e+00,6.429962207836604771e-01,1.000000000000000000e+00,5.959385328146453276e+00,5.342363419025083715e+00
9.449999999999999289e+00,0.000000000000000000e+00,6.387191060747557936e-01,1.000000000000000000e+00,6.095652858081798797e+00,5.452870628284955501e+00
9.500000000000000000e+00,0.000000000000000000e+00,6.343180888431975140e-01,1.000000000000000000e+00,6.220692399407852236e+00,5.554691269273305920e+00
9.550000000000000711e+00,0.000000000000000000e+00,6.302608413977015545e-01,1.000000000000000000e+00,6.338706977244548568e+00,5.655240865464456590e+00
9.599999999999999645e+00,0.000000000000000000e+00,6.262714943400182754e-01,1.000000000000000000e+00,6.460690870045532108e+00,5.764213666143625403e+00
9.650000000000000355e+00,0.000000000000000000e+00,6.222809114157257238e-01,1.000000000000000000e+00,6.551359487685886052e+00,5.852282644557334379e+00
9.699999999999999289e+00,0.000000000000000000e+00,6.185420168056620094e-01,1.000000000000000000e+00,6.658254099283929861e+00,5.943146832689315318e+00
9.750000000000000000e+00,0.000000000000000000e+00,6.148507339723076059e-01,1.000000000000000000e+00,6.771273937136925269e+00,6.041431803183044735e+00
9.800000000000000711e+00,0.000000000000000000e+00,6.112948298584551798e-01,1.000000000000000000e+00,6.926149349996961746e+00,6.196540701181902477e+00
9.849999999999999645e+00,0.000000000000000000e+00,6.081016866062370907e-01,1.000000000000000000e+00,7.032011344821320620e+00,6.290311330927991662e+00
9.900000000000000355e+00,0.000000000000000000e+00,6.049529299597893317e-01,1.000000000000000000e+00,7.141997139336119460e+00,6.388083505210737201e+00
9.949999999999999289e+00,0.000000000000000000e+00,6.018637377009109501e-01,1.000000000000000000e+00,7.245096600047673974e+00,6.475801611811043301e+00
1.000000000000000000e+01,0.000000000000000000e+00,5.988032340368842910e-01,1.000000000000000000e+00,7.351826856582050596e+00,6.568284140743067212e+00
1.005000000000000071e+01,0.000000000000000000e+00,5.957929368265881820e-01,1.000000000000000000e+00,7.454694703615992069e+00,6.657308498395067886e+00
1.009999999999999964e+01,0.000000000000000000e+00,5.928271434284866359e-01,1.000000000000000000e+00,7.560961586300663839e+00,6.748441757806389774e+00
1.015000000000000036e+01,0.000000000000000000e+00,5.899180244242007154e-01,1.000000000000000000e+00,7.659699403640651383e+00,6.831639224416619527e+00
