# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,2.125951365414697194e-10,6.706314131925923748e-05,6.723061109070145667e-05,1.055694801998801324e+01,1.090147588548560975e+01,1.140570604879212624e+01,1.176845792894177123e+01,1.208343373325890724e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.524376488405614175e-05,7.543369527491772502e-05,1.043188365418529173e+01,1.077639166554353523e+01,1.128060798068753456e+01,1.164335053981618273e+01,1.195831781722630893e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.441784405059318689e-05,8.463763175005015052e-05,1.030666697581763458e+01,1.065111827937686684e+01,1.115529491729176925e+01,1.151801030412728721e+01,1.183295252364949590e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.470658258438454031e-05,9.496452345370001648e-05,1.018102667099476832e+01,1.052540565424718011e+01,1.102952264031538476e+01,1.139219640493209340e+01,1.170710140528457543e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.062451064454300088e-04,1.065513670828823373e-04,1.005487170100703054e+01,1.039916926508665540e+01,1.090320916533011086e+01,1.126582769443799492e+01,1.158068391052380264e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.191835348041269283e-04,1.195518691003270595e-04,9.928364104813148572e+00,1.027255860568257617e+01,1.077650478370793508e+01,1.113905312800117997e+01,1.145384532479323525e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.336925975874057816e-04,1.341384829870180377e-04,9.801152678601795287e+00,1.014525049314485727e+01,1.064909649806497072e+01,1.101156537676748570e+01,1.132628358443147221e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.499640957360538936e-04,1.505046946528156915e-04,9.672838214876072982e+00,1.001687419044969829e+01,1.052062485718975182e+01,1.088301096927716571e+01,1.119765059939219043e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.682092200159860632e-04,1.688675861701536835e-04,9.543604731541094566e+00,9.887597165475476402e+00,1.039126637349946236e+01,1.075356773901147278e+01,1.106811919501566166e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.886661220429827475e-04,1.894707116576513340e-04,9.413208612638428008e+00,9.757193960207928285e+00,1.026081595013641845e+01,1.062303919545767172e+01,1.093749379886998696e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.116010825624435989e-04,2.125873232227291291e-04,9.281441429927092202e+00,9.625469060771386864e+00,1.012909565158946634e+01,1.049125586195474824e+01,1.080560779719645126e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.373085191462367808e-04,2.385239894588641869e-04,9.148547413809367868e+00,9.492642750434455934e+00,9.996324862435116643e+00,1.035843745642989688e+01,1.067267987078506764e+01
6.099999999999999645e+00,2.125550577328640028e-10,2.661197237376811044e-04,2.676246541192679176e-04,9.014285379503135687e+00,9.358477076525403504e+00,9.862255854850005221e+00,1.022433530745256292e+01,1.053846578821539026e+01
6.150000000000000355e+00,2.125485276260225288e-10,2.983989780805994339e-04,3.002751883266174511e-04,8.876199000314791476e+00,9.220431596427374643e+00,9.724147169176731609e+00,1.008612747734071746e+01,1.040009051353033698e+01
6.200000000000000178e+00,2.125412009644671761e-10,3.345370140746943576e-04,3.369084961033257586e-04,8.731741528360601023e+00,9.075602670946288697e+00,9.578925053555231273e+00,9.940718461757711566e+00,1.025437966397094414e+01
6.250000000000000000e+00,2.125329806156516112e-10,3.749802670462297656e-04,3.780102401811241968e-04,8.581855931450256492e+00,8.924807289146770017e+00,9.426494957099421867e+00,9.788375170759756827e+00,1.010143638199497218e+01
