# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,0.000000000000000000e+00,9.969664792630487105e-01,1.000000000000000000e+00,9.655424422297329556e-01,1.306457281542449778e+00,1.806631466130085073e+00,2.162451202069817668e+00,2.474253499182609062e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.968990613004713452e-01,1.000000000000000000e+00,9.606375429050473258e-01,1.301653148245428326e+00,1.801772913632191830e+00,2.157709533055864881e+00,2.469596115712043627e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.968498947764452556e-01,1.000000000000000000e+00,9.539791089824376513e-01,1.295203444094703116e+00,1.795293869895530747e+00,2.151383415382383646e+00,2.463389181384265214e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.967286822345587938e-01,1.000000000000000000e+00,9.489681656220909645e-01,1.290196708929897795e+00,1.790169210472384975e+00,2.146357023602817549e+00,2.458434498534913359e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.966351867000609044e-01,1.000000000000000000e+00,9.415291254567890178e-01,1.282933054395599015e+00,1.782840228590032439e+00,2.139193884213369756e+00,2.451390928111905509e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.965348464854367760e-01,1.000000000000000000e+00,9.327921057152011031e-01,1.274407700514210262e+00,1.774238107078815574e+00,2.130776278957618786e+00,2.443111002239746199e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.964173431705481976e-01,1.000000000000000000e+00,9.226980433923941405e-01,1.264552280013063523e+00,1.764290367916956370e+00,2.121028890294496705e+00,2.433511530697103353e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.962369332057721127e-01,1.000000000000000000e+00,9.124866682166299370e-01,1.254513801882140456e+00,1.754110619572287533e+00,2.111054612558163512e+00,2.423673794090291267e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.960918754516892015e-01,1.000000000000000000e+00,8.970371610573053545e-01,1.239518086653369267e+00,1.739006311521777093e+00,2.096210662046964046e+00,2.409046958470746347e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.958692915295819237e-01,1.000000000000000000e+00,8.815077988812731746e-01,1.224327264985610952e+00,1.723596527794072131e+00,2.080980003282682844e+00,2.393968265677457907e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.956695034358572505e-01,1.000000000000000000e+00,8.617699583641709182e-01,1.205177715945424666e+00,1.704222096381428742e+00,2.061805355136378637e+00,2.374976196475536483e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.954337935836020668e-01,1.000000000000000000e+00,8.386594325267964223e-01,1.182751542357280528e+00,1.681483159619411083e+00,2.039190531908964488e+00,2.352503332841102690e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.951059562584523288e-01,1.000000000000000000e+00,8.137442397546834627e-01,1.158538522165571294e+00,1.656844672395592966e+00,2.014611320366931579e+00,2.327977576664650883e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.947785881456637780e-01,1.000000000000000000e+00,7.810488664588888241e-01,1.126784931121484590e+00,1.624548739768798100e+00,1.982195137241404836e+00,2.295553001483739308e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.943542902044075760e-01,1.000000000000000000e+00,7.424749390228555512e-01,1.089217386286421174e+00,1.586219949378147476e+00,1.943268970157092213e+00,2.256408007234334434e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.938149076038946816e-01,1.000000000000000000e+00,7.001861930219916985e-01,1.047737545750635491e+00,1.543942698756303855e+00,1.900204146084881529e+00,2.213079385874799243e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.928928142559482195e-01,1.000000000000000000e+00,6.268767354663893343e-01,9.727973878372893068e-01,1.465680493636575932e+00,1.821255422706762772e+00,2.133247881438087745e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.912924802037691441e-01,1.000000000000000000e+00,5.307688763064462023e-01,8.723247984326150117e-01,1.360065095826293202e+00,1.716251812745618111e+00,2.027346734560651953e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.913661769486905584e-01,1.000000000000000000e+00,4.128592957360766036e-01,7.540076566062978713e-01,1.240150904804799836e+00,1.597155937983451679e+00,1.908149291467950093e+00
6.450000000000000178e+00,0.000000000000000000e+00,9.860576181813087704e-01,1.000000000000000000e+00,2.755672316629187435e-01,5.920100488837221064e-01,1.073854738234039985e+00,1.431592918715139717e+00,1.736310644173521212e+00
6.500000000000000000e+00,0.000000000000000000e+00,9.875063528572441962e-01,1.000000000000000000e+00,1.385651877571092427e-02,3.213384800370064909e-01,7.885187231673853603e-01,1.140207456839917199e+00,1.441779744931253049e+00
6.549999999999999822e+00,0.000000000000000000e+00,9.847181947200188690e-01,1.000000000000000000e+00,2.847415827683619227e-02,2.250062156007430758e-01,6.544016449512923828e-01,9.716499717953297477e-01,1.243628194204752901e+00
6.599999999999999645e+00,0.000000000000000000e+00,9.802302077231881405e-01,1.000000000000000000e+00,1.915301453764897133e-01,3.475522384300404610e-01,7.487334837716659308e-01,1.040096691141194185e+00,1.280388253773374174e+00
6.650000000000000355e+00,0.000000000000000000e+00,9.770214815480016135e-01,1.000000000000000000e+00,2.887764289719925159e-01,3.918427972509306301e-01,7.973629145075733504e-01,1.088644376669762437e+00,1.326944173890737488e+00
6.700000000000000178e+00,0.000000000000000000e+00,9.741475566624471227e-01,1.000000000000000000e+00,3.967930675146504882e-01,4.596147978603255524e-01,8.404938177058056681e-01,1.113340120069011618e+00,1.333149429677831677e+00
6.750000000000000000e+00,0.000000000000000000e+00,9.706355271714750543e-01,1.000000000000000000e+00,5.752044326347771630e-01,4.550884163707706875e-01,7.321079655770859063e-01,9.200055284138173306e-01,1.045043596386520335e+00
6.799999999999999822e+00,0.000000000000000000e+00,9.656942869308272615e-01,1.000000000000000000e+00,7.005092713980900498e-01,3.746753782305418667e-01,5.305026300018909069e-01,6.598805026177601007e-01,7.221322134262706527e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.605171198380897390e-01,1.000000000000000000e+00,1.009012830534473437e+00,6.880474489232497604e-01,5.948617174254664519e-01,5.688023806776953961e-01,5.571596065153698873e-01
