# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,5.003494851504283936e-10,1.578312768836056840e-04,1.582369093132481193e-04,1.065211161718180222e+01,1.114792662208965623e+01
5.549999999999999822e+00,5.003398320951906082e-10,1.770869604705218193e-04,1.775430197887848728e-04,1.052672288973940340e+01,1.102254141062384463e+01
5.599999999999999645e+00,5.003290014107782066e-10,1.986876165265052941e-04,1.992043886136566613e-04,1.040085738551811545e+01,1.089667460338162641e+01
5.650000000000000355e+00,5.003168494620983173e-10,2.229166389341374552e-04,2.235082859733705015e-04,1.027473416541984363e+01,1.077053508790171321e+01
5.700000000000000178e+00,5.003032151027859492e-10,2.500959044016107680e-04,2.507770045981571835e-04,1.014794327746847813e+01,1.064372257707602643e+01
5.750000000000000000e+00,5.002879175423513518e-10,2.805837789582104279e-04,2.813721254672552400e-04,1.002049844192603700e+01,1.051624740731114116e+01
5.799999999999999822e+00,5.002707539540770817e-10,3.147827171930746726e-04,3.156993020158745632e-04,9.892293341185691702e+00,1.038800334596663077e+01
5.849999999999999645e+00,5.002514967922859875e-10,3.531469060331721361e-04,3.542136255982097155e-04,9.762912882465499820e+00,1.025858453764089262e+01
5.900000000000000355e+00,5.002298907838445835e-10,3.961788489484079512e-04,3.974256424807470680e-04,9.632686848701737858e+00,1.012831242402618415e+01
5.950000000000000178e+00,5.002056495545602740e-10,4.444451050633218842e-04,4.459081010494811881e-04,9.501437309348091276e+00,9.997013557055879573e+00
6.000000000000000000e+00,5.001784518464336445e-10,4.985791803328890005e-04,5.003035173027490417e-04,9.369027089180569590e+00,9.864556253634809480e+00
6.049999999999999822e+00,5.001479372764935638e-10,5.592916751984909314e-04,5.613326571829884738e-04,9.235176403782269006e+00,9.730682174443515464e+00
6.099999999999999645e+00,5.001137015820887835e-10,6.273845322040268700e-04,6.298040459923998600e-04,9.099175348794616980e+00,9.594715309633322420e+00
6.150000000000000355e+00,5.000752912910010498e-10,7.037484213498957546e-04,7.066246281680104357e-04,8.960660354875948030e+00,9.456290120225133933e+00
