# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,u,g,r,i,z
5.500000000000000000e+00,2.575166043268241110e-10,8.122835954423227966e-05,8.143711954090958728e-05,1.103894552736507251e+01,1.137332508610282389e+01,1.186914009101067791e+01,1.222381686213665830e+01,1.253364493475861252e+01
5.549999999999999822e+00,2.575141202291387730e-10,9.113879681762729519e-05,9.137351028221866837e-05,1.091353519248356463e+01,1.124793113856038218e+01,1.174374965930034875e+01,1.209843848399470545e+01,1.240827537724260310e+01
5.599999999999999645e+00,2.575113330542201753e-10,1.022562490043977672e-04,1.025222099564536768e-04,1.078764708175629039e+01,1.112205979624974361e+01,1.161787701405614825e+01,1.197259196469863696e+01,1.228244641404474180e+01
5.650000000000000355e+00,2.575082058284387952e-10,1.147266155652624988e-04,1.150311130821162658e-04,1.066152275856335052e+01,1.099593003491882115e+01,1.149173095817430124e+01,1.184647678212782296e+01,1.215634998839341563e+01
5.700000000000000178e+00,2.575046970686119498e-10,1.287156148854347543e-04,1.290661523895095405e-04,1.053471158801485075e+01,1.086913184079994465e+01,1.136491114229872323e+01,1.171969835470424925e+01,1.202959940406380213e+01
5.750000000000000000e+00,2.575007602322506173e-10,1.444077620886721584e-04,1.448134978347889745e-04,1.040722989950607769e+01,1.074167883928935652e+01,1.123742780827548415e+01,1.159226225057177118e+01,1.190219747199874689e+01
5.799999999999999822e+00,2.574963431008536907e-10,1.620102845152084873e-04,1.624820234226272890e-04,1.027896334055524363e+01,1.061346461864603441e+01,1.110917462934982325e+01,1.146406109181839383e+01,1.177403690859995322e+01
5.849999999999999645e+00,2.574913870881141871e-10,1.817570613971462119e-04,1.823060743805016485e-04,1.014946028977490045e+01,1.048407400268305167e+01,1.097974566611987512e+01,1.133469535342057810e+01,1.164472516762646137e+01
5.900000000000000355e+00,2.574858264639174370e-10,2.039068733772267232e-04,2.045485711676367404e-04,1.001908580225822476e+01,1.035383662013907724e+01,1.084946220685154117e+01,1.120447678073320219e+01,1.151456353170857483e+01
5.950000000000000178e+00,2.574795874839074048e-10,2.287515116648919801e-04,2.295044912074897532e-04,9.887651427231091361e+00,1.022257441877394513e+01,1.071815068139139271e+01,1.107323347342597231e+01,1.138338088166577222e+01
6.000000000000000000e+00,2.574725874131671172e-10,2.566172777225814226e-04,2.575047741687309997e-04,9.755019346339736330e+00,1.009015007850535994e+01,1.058567926131926384e+01,1.094083502339751135e+01,1.125104533332317658e+01
6.049999999999999822e+00,2.574647334311737562e-10,2.878702202649794533e-04,2.889207021422287637e-04,9.620900201466376700e+00,9.956283680262501434e+00,1.045178946989949509e+01,1.080703336740681664e+01,1.111731214591632977e+01
6.099999999999999645e+00,2.574559214036492234e-10,3.229234862460587420e-04,3.241688122404675970e-04,9.484537502366734429e+00,9.820265225448984836e+00,1.031580519818204067e+01,1.067117479788033307e+01,1.098154208666016984e+01
6.150000000000000355e+00,2.574460345051948190e-10,3.622359985953246255e-04,3.637164060579717913e-04,9.345567673972375644e+00,9.681731000900391848e+00,1.017736076290580627e+01,1.053289691293724673e+01,1.084337261781246298e+01
6.200000000000000178e+00,2.574349416746704140e-10,4.063198445404936202e-04,4.080877281556989969e-04,9.203457780219608253e+00,9.540129854946897581e+00,1.003584828125702444e+01,1.039156459489516493e+01,1.070214898163523287e+01
6.250000000000000000e+00,2.574224958831176421e-10,4.557452012575106785e-04,4.578708943665737801e-04,9.057179162224116453e+00,9.394389354270693104e+00,9.890054888120232590e+00,1.024588769787371234e+01,1.055652220271187502e+01
6.299999999999999822e+00,2.574085321916186106e-10,5.111468951467640874e-04,5.137256603627250381e-04,8.903241911037135026e+00,9.240927211284649445e+00,9.736237231104588830e+00,1.009203877671026106e+01,1.040258065194942816e+01
6.349999999999999645e+00,2.573928655737875534e-10,5.732292399548984769e-04,5.763921316870402939e-04,8.737987057689572623e+00,9.075874965924924709e+00,9.570230389978647167e+00,9.925967331283359840e+00,1.023621369990028995e+01
