# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,0.000000000000000000e+00,9.974365498454001999e-01,1.000000000000000000e+00,1.150381096398518821e+00,1.646196101306365733e+00
5.549999999999999822e+00,0.000000000000000000e+00,9.973413617691667676e-01,1.000000000000000000e+00,1.143200688420755284e+00,1.639078739738543788e+00
5.599999999999999645e+00,0.000000000000000000e+00,9.970585231903213996e-01,1.000000000000000000e+00,1.140732915272195669e+00,1.636470951874656521e+00
5.650000000000000355e+00,0.000000000000000000e+00,9.967853549702470062e-01,1.000000000000000000e+00,1.136748104963764661e+00,1.632350272422968374e+00
5.700000000000000178e+00,0.000000000000000000e+00,9.966565396575174374e-01,1.000000000000000000e+00,1.126430498265087010e+00,1.622037805551357792e+00
5.750000000000000000e+00,0.000000000000000000e+00,9.963392661565111386e-01,1.000000000000000000e+00,1.121154835194076327e+00,1.616562862971846926e+00
5.799999999999999822e+00,0.000000000000000000e+00,9.961925446225345926e-01,1.000000000000000000e+00,1.107970394361800004e+00,1.603361398062901344e+00
5.849999999999999645e+00,0.000000000000000000e+00,9.960151825712026952e-01,1.000000000000000000e+00,1.093686580098861327e+00,1.589034250345953581e+00
5.900000000000000355e+00,0.000000000000000000e+00,9.956580527406517778e-01,1.000000000000000000e+00,1.084007122221898101e+00,1.579191672797456647e+00
5.950000000000000178e+00,0.000000000000000000e+00,9.954286128686470336e-01,1.000000000000000000e+00,1.065333267959957197e+00,1.560533485938684350e+00
6.000000000000000000e+00,0.000000000000000000e+00,9.949725665821445020e-01,1.000000000000000000e+00,1.050991488515599315e+00,1.546125763574401901e+00
6.049999999999999822e+00,0.000000000000000000e+00,9.946583621012031751e-01,1.000000000000000000e+00,1.025749454947572303e+00,1.521258811320400639e+00
6.099999999999999645e+00,0.000000000000000000e+00,9.942941138290276593e-01,1.000000000000000000e+00,9.965017981070474207e-01,1.492566493723700205e+00
6.150000000000000355e+00,0.000000000000000000e+00,9.938276299134328751e-01,1.000000000000000000e+00,9.614832859973461154e-01,1.457982385920239210e+00
6.200000000000000178e+00,0.000000000000000000e+00,9.932278390218983732e-01,1.000000000000000000e+00,9.189658037236370092e-01,1.415187251368834609e+00
6.250000000000000000e+00,0.000000000000000000e+00,9.924153023439166166e-01,1.000000000000000000e+00,8.620249672145590125e-01,1.356479554627554762e+00
6.299999999999999822e+00,0.000000000000000000e+00,9.913843509544857380e-01,1.000000000000000000e+00,7.599460021796673459e-01,1.251621345236358707e+00
6.349999999999999645e+00,0.000000000000000000e+00,9.900040431374066419e-01,1.000000000000000000e+00,6.365998883812196141e-01,1.122494155421847495e+00
6.400000000000000355e+00,0.000000000000000000e+00,9.881528683161049376e-01,1.000000000000000000e+00,5.729928779890727242e-01,1.051396218208466848e+00
6.450000000000000178e+00,0.000000000000000000e+00,9.861313761867349648e-01,1.000000000000000000e+00,3.896992236811342991e-01,8.600269577029209245e-01
6.500000000000000000e+00,0.000000000000000000e+00,9.836544246351623944e-01,1.000000000000000000e+00,3.112252320318305010e-01,7.775432867617269039e-01
6.549999999999999822e+00,0.000000000000000000e+00,9.811974098245206388e-01,1.000000000000000000e+00,3.066495287482524645e-01,7.094869676733566166e-01
6.599999999999999645e+00,0.000000000000000000e+00,9.754322596965661063e-01,1.000000000000000000e+00,2.135969595466278292e-01,6.313571142081570997e-01
6.650000000000000355e+00,0.000000000000000000e+00,9.736615244126884949e-01,1.000000000000000000e+00,3.186858542590371712e-01,7.060308457987005681e-01
6.700000000000000178e+00,0.000000000000000000e+00,9.722998700813366701e-01,1.000000000000000000e+00,6.391070697812892831e-01,1.019654815123381297e+00
6.750000000000000000e+00,0.000000000000000000e+00,9.673060142470653044e-01,1.000000000000000000e+00,4.951895167872493175e-01,7.580154135677048544e-01
6.799999999999999822e+00,0.000000000000000000e+00,9.616562266489141475e-01,1.000000000000000000e+00,4.628756343623479097e-01,6.504552256245617059e-01
6.849999999999999645e+00,0.000000000000000000e+00,9.568489493603403728e-01,1.000000000000000000e+00,4.471519274488073847e-01,5.855684115913035725e-01
6.900000000000000355e+00,0.000000000000000000e+00,9.517792413183412403e-01,1.000000000000000000e+00,8.321137481297711247e-01,6.881788715616679042e-01
6.950000000000000178e+00,0.000000000000000000e+00,9.467910000686621252e-01,1.000000000000000000e+00,1.401266535207582820e+00,1.222971521741477829e+00
7.000000000000000000e+00,0.000000000000000000e+00,9.421700430666105630e-01,1.000000000000000000e+00,1.475060437347480047e+00,1.385966600699831019e+00
7.049999999999999822e+00,0.000000000000000000e+00,9.376568307379274936e-01,1.000000000000000000e+00,1.515965268221876272e+00,1.484516607057827287e+00
7.099999999999999645e+00,0.000000000000000000e+00,9.330482929159502614e-01,1.000000000000000000e+00,1.593718408220830440e+00,1.633125009451724452e+00
7.150000000000000355e+00,0.000000000000000000e+00,9.286890665110167919e-01,1.000000000000000000e+00,1.760174599944512863e+00,1.810335430212269614e+00
7.200000000000000178e+00,0.000000000000000000e+00,9.246672803345616920e-01,1.000000000000000000e+00,1.904335433713001180e+00,1.927607167858745640e+00
7.250000000000000000e+00,0.000000000000000000e+00,9.205084497945613675e-01,1.000000000000000000e+00,2.072647708952231937e+00,2.082844982514068022e+00
7.299999999999999822e+00,0.000000000000000000e+00,9.165126022689504826e-01,1.000000000000000000e+00,2.190359805382186664e+00,2.234934189204842880e+00
7.349999999999999645e+00,0.000000000000000000e+00,9.128515269888120010e-01,1.000000000000000000e+00,2.262086820244967100e+00,2.300805150832751167e+00
7.400000000000000355e+00,0.000000000000000000e+00,9.090832843802513219e-01,1.000000000000000000e+00,2.338512737073514813e+00,2.372419752723310182e+00
7.450000000000000178e+00,0.000000000000000000e+00,9.052561352454793209e-01,1.000000000000000000e+00,2.423036240224895721e+00,2.451577014942337485e+00
7.500000000000000000e+00,0.000000000000000000e+00,9.014179827935797640e-01,1.000000000000000000e+00,2.527083636748834294e+00,2.590316780406922703e+00
7.549999999999999822e+00,0.000000000000000000e+00,8.981646576768926860e-01,1.000000000000000000e+00,2.561965093139377814e+00,2.625189669170737261e+00
7.599999999999999645e+00,0.000000000000000000e+00,8.948452572718578191e-01,1.000000000000000000e+00,2.599880905923797059e+00,2.663324559247378431e+00
