# log_age,instantaneous_sfr,integrated_stellar_mass,integrated_formed_mass,g,r
5.500000000000000000e+00,2.125951365414697194e-10,6.705826877030716514e-05,6.723061109070145667e-05,1.158146344944891837e+01,1.207727845435677239e+01
5.549999999999999822e+00,2.125934959246328745e-10,7.523992682264603066e-05,7.543369527491772502e-05,1.145606845786734596e+01,1.195188697857842186e+01
5.599999999999999645e+00,2.125916551373378489e-10,8.441806661594648689e-05,8.463763175005015052e-05,1.133019594791792173e+01,1.182601316571289374e+01
5.650000000000000355e+00,2.125895897589970983e-10,9.471314404546774598e-05,9.496452345370001648e-05,1.120406487831152731e+01,1.169986580172170676e+01
5.700000000000000178e+00,2.125872723902712721e-10,1.062619788158146195e-04,1.065513670828823373e-04,1.107726522292577442e+01,1.157304452480279622e+01
5.750000000000000000e+00,2.125846722898678033e-10,1.192169111978080891e-04,1.195518691003270595e-04,1.094981058817596420e+01,1.144555955788231927e+01
5.799999999999999822e+00,2.125817549670904540e-10,1.337490352037889226e-04,1.341384829870180377e-04,1.082159454349390160e+01,1.131730455538224334e+01
5.849999999999999645e+00,2.125784817247572994e-10,1.500514519526658069e-04,1.505046946528156915e-04,1.069220189601258397e+01,1.118787356110170350e+01
5.900000000000000355e+00,2.125748091464538264e-10,1.683378257878501399e-04,1.688675861701536835e-04,1.056196224362323477e+01,1.105758783261328659e+01
5.950000000000000178e+00,2.125706885213563324e-10,1.888490802940928203e-04,1.894707116576513340e-04,1.043069750974150622e+01,1.092627377534083877e+01
6.000000000000000000e+00,2.125660651990433003e-10,2.118546383050083583e-04,2.125873232227291291e-04,1.029827034531157182e+01,1.079379953179736873e+01
6.049999999999999822e+00,2.125608778657960882e-10,2.376567477120306807e-04,2.385239894588641869e-04,1.016440080432614224e+01,1.065990659775830096e+01
6.099999999999999645e+00,2.125550577328640028e-10,2.665965531314131430e-04,2.676246541192679176e-04,1.002837886932429967e+01,1.052391884443633785e+01
6.150000000000000355e+00,2.125485276260225288e-10,2.990530081672730894e-04,3.002751883266174511e-04,9.889840798369831987e+00,1.038547055970678912e+01
6.200000000000000178e+00,2.125412009644671761e-10,3.354489796492458029e-04,3.369084961033257586e-04,9.748235415385430258e+00,1.024395383813291005e+01
6.250000000000000000e+00,2.125329806156516112e-10,3.762553200576545685e-04,3.780102401811241968e-04,9.602490282017107859e+00,1.009815581491854175e+01
6.299999999999999822e+00,2.125237576110710412e-10,4.219962901219289253e-04,4.241252630841054676e-04,9.449023216218094490e+00,9.944333250325129825e+00
6.349999999999999645e+00,2.125134097061989549e-10,4.732535624630472516e-04,4.758647874445214227e-04,9.283965890854432246e+00,9.778321371530296346e+00
6.400000000000000355e+00,2.125017997657818659e-10,5.306680990493014031e-04,5.339144895299463350e-04,9.111490357908415660e+00,9.604015843871906100e+00
6.450000000000000178e+00,2.124887739534585643e-10,5.949582530170136226e-04,5.990435511464893992e-04,8.926810750369888581e+00,9.416407323066479762e+00
6.500000000000000000e+00,2.124741597021779517e-10,6.669235349302228772e-04,6.721148075494676405e-04,8.731370476816998405e+00,9.217413605492779993e+00
6.549999999999999822e+00,2.124577634391069833e-10,7.474616581154085691e-04,7.540961229042597927e-04,8.540878900712726818e+00,9.018279400114487032e+00
6.599999999999999645e+00,2.124393680356249522e-10,8.374382032670607632e-04,8.460731403144450963e-04,8.352771279464434429e+00,8.819284454836818554e+00
6.650000000000000355e+00,2.124187299495543438e-10,9.379991073174483466e-04,9.492635706674738827e-04,8.175630430365060874e+00,8.632318847896115699e+00
6.700000000000000178e+00,2.123955760229505559e-10,1.050637642501522787e-03,1.065033203686478660e-03,8.033461114895516175e+00,8.481003606269219119e+00
6.750000000000000000e+00,2.123695998945220781e-10,1.176587864019347810e-03,1.194913845828840700e-03,7.904273716687271190e+00,8.336112109473617693e+00
6.799999999999999822e+00,2.123404579810440251e-10,1.317110766405924643e-03,1.340623413219067459e-03,7.765747491195675423e+00,8.170358422635459306e+00
6.849999999999999645e+00,2.123077649769151054e-10,1.473902662258491777e-03,1.504088433863733131e-03,7.626005229069590996e+00,7.998245837289580606e+00
6.900000000000000355e+00,2.122710888152531484e-10,1.648889952237289408e-03,1.687469242173534733e-03,7.507173188057493007e+00,7.835707759211004486e+00
6.950000000000000178e+00,2.122299450275818342e-10,1.844156893561779914e-03,1.893188180530116105e-03,7.427493013278407830e+00,7.713423619603631209e+00
7.000000000000000000e+00,2.121837904321893732e-10,2.062095012669584032e-03,2.123961157492367836e-03,7.367016726297968887e+00,7.625317621650353317e+00
7.049999999999999822e+00,2.121320160736006140e-10,2.305384790828682653e-03,2.382832950436328690e-03,7.306183549391299437e+00,7.544385273710659590e+00
7.099999999999999645e+00,2.120739393272594594e-10,2.576962091450892781e-03,2.673216682141987387e-03,7.245108346470821914e+00,7.468959455762110622e+00
7.150000000000000355e+00,2.120087950744446095e-10,2.880124923333633041e-03,2.998937946216239173e-03,7.187100533554257709e+00,7.400794511855700364e+00
7.200000000000000178e+00,2.119357258426179754e-10,3.218634222310831367e-03,3.364284105349388872e-03,7.133607197231143005e+00,7.338067902071237825e+00
7.250000000000000000e+00,2.118537707958354974e-10,3.596627038551775731e-03,3.774059339261702679e-03,7.084082390514808480e+00,7.279387561808974283e+00
7.299999999999999822e+00,2.117618534485557778e-10,4.018688095594929836e-03,4.233646075660338869e-03,7.037605519630794504e+00,7.225216440103316984e+00
7.349999999999999645e+00,2.116587679642156066e-10,4.490050870195536926e-03,4.749073497361273183e-03,6.991888857096924426e+00,7.173006264122101072e+00
7.400000000000000355e+00,2.115431638874034946e-10,5.016498048924708346e-03,5.327093881421851064e-03,6.946016282562403887e+00,7.120665158442236020e+00
7.450000000000000178e+00,2.114135291455003056e-10,5.604364855502261614e-03,5.975267590937759915e-03,6.900267987291641703e+00,7.068521579625119955e+00
7.500000000000000000e+00,2.112681711424972880e-10,6.260732033945314197e-03,6.702057605952846039e-03,6.855214497805164342e+00,7.018101678463366966e+00
7.549999999999999822e+00,2.111051957546667098e-10,6.993747827860577644e-03,7.516934545105783717e-03,6.809833540400695995e+00,6.968379489766057588e+00
7.599999999999999645e+00,2.109224840252887656e-10,7.812507656939405437e-03,8.430493191995416802e-03,6.762716763310478996e+00,6.916962730448176444e+00
7.650000000000000355e+00,2.107176663443311009e-10,8.726869423030395381e-03,9.454581596783849864e-03,6.714066886250705579e+00,6.864191837613340397e+00
7.700000000000000178e+00,2.104880938896282180e-10,9.747775250030640479e-03,1.060244387029818033e-02,6.664101905348303490e+00,6.810494907743894544e+00
7.750000000000000000e+00,2.102308070997675861e-10,1.088742015733520398e-02,1.188887781960139625e-02,6.613391210110606266e+00,6.756293249834619985e+00
7.799999999999999822e+00,2.099425009469138653e-10,1.215938368007546920e-02,1.333040858387005839e-02,6.563122537102429987e+00,6.702085850200006689e+00
7.849999999999999645e+00,2.096194867819506056e-10,1.357870216504999082e-02,1.494547940868625954e-02,6.513905437593649594e+00,6.648230682622475740e+00
7.900000000000000355e+00,2.092576505368198582e-10,1.516204212716270282e-02,1.675466063433996358e-02,6.465940338293890477e+00,6.595467553849374553e+00
7.950000000000000178e+00,2.088524070926338967e-10,1.692808447318180226e-02,1.878087785526981121e-02,6.418865377755047064e+00,6.543595789395730833e+00
8.000000000000000000e+00,2.083986506605764415e-10,1.889760367640330729e-02,2.104966001555707428e-02,6.372044840221448680e+00,6.491845166743068773e+00
8.050000000000000711e+00,2.078907010802455696e-10,2.109338585034410685e-02,2.358940791721137950e-02,6.325597969816598720e+00,6.440449360962382741e+00
8.099999999999999645e+00,2.073222460224151005e-10,2.354059768629551339e-02,2.643168320636374649e-02,6.279741141615936328e+00,6.389855515456723367e+00
8.150000000000000355e+00,2.066862791969570449e-10,2.626592162821648341e-02,2.961151733365406311e-02,6.234529266986413631e+00,6.340145657115016320e+00
8.199999999999999289e+00,2.059750348200898508e-10,2.929845495775600453e-02,3.316773921798999575e-02,6.190014645903488599e+00,6.291345398691603918e+00
8.250000000000000000e+00,2.051799187981012854e-10,3.267163162738952881e-02,3.714331932793282776e-02,6.146260907672733254e+00,6.243445427152892080e+00
8.300000000000000711e+00,2.042914373490470272e-10,3.642478738177798436e-02,4.158572657320407789e-02,6.103183930889137798e+00,6.196204431116896671e+00
8.349999999999999645e+00,2.032991241235355956e-10,4.060118931423463418e-02,4.654729270076125858e-02,6.060854966186539627e+00,6.149638821171762970e+00
8.400000000000000355e+00,2.021914673166624474e-10,4.524578907579426823e-02,5.208557673512704406e-02,6.019379917705890648e+00,6.103598118927337168e+00
8.449999999999999289e+00,2.009558388037140525e-10,5.040715989289540344e-02,5.826371929986898235e-02,5.978847947264526397e+00,6.057943558993144961e+00
8.500000000000000000e+00,1.995784280026267325e-10,5.613468968200936715e-02,6.515077330530556765e-02,5.939433379599961427e+00,6.012862931251049758e+00
8.550000000000000711e+00,1.980441839879457880e-10,6.248791267166087932e-02,7.282199337871025913e-02,5.901404495533483896e+00,5.968591037734647387e+00
8.599999999999999645e+00,1.963367703760789068e-10,6.953242510715779146e-02,8.135906143804476354e-02,5.865013497319516489e+00,5.925262187902916367e+00
8.650000000000000355e+00,1.944385386904058835e-10,7.733184249926416953e-02,9.085021986640977321e-02,5.830476090871542283e+00,5.883083499068348488e+00
8.699999999999999289e+00,1.923305273134629077e-10,8.595653861823249198e-02,1.013902767511248443e-01,5.797962892018475145e+00,5.842096621058033179e+00
8.750000000000000000e+00,1.899924947496905007e-10,9.547896787353254977e-02,1.130804395699868542e-01,5.767768173938470966e+00,5.802478641953207728e+00
8.800000000000000711e+00,1.874029977494450852e-10,1.059767291985902471e-01,1.260279245712139506e-01,5.740228861258927395e+00,5.764604332113798080e+00
8.849999999999999645e+00,1.845395268536476403e-10,1.175324190722203677e-01,1.403452790502010550e-01,5.715572619691265288e+00,5.728643824915018001e+00
8.900000000000000355e+00,1.813787140451463213e-10,1.302283989937009223e-01,1.561493430927076431e-01,5.693955302495083970e+00,5.694496076210668889e+00
8.949999999999999289e+00,1.778966293254797642e-10,1.441418708078170685e-01,1.735597666910405068e-01,5.675514759329658432e+00,5.662282731680946313e+00
9.000000000000000000e+00,1.740691849950835108e-10,1.593531293860716291e-01,1.926969883430217356e-01,5.660427722122676641e+00,5.632291110483947705e+00
9.050000000000000711e+00,1.698726679328070778e-10,1.759474976191144624e-01,2.136795736544038204e-01,5.648844057019580589e+00,5.604594515176138714e+00
9.099999999999999645e+00,1.652844208645652106e-10,1.939918003591327156e-01,2.366208089956132465e-01,5.640301927118166248e+00,5.577734245224846177e+00
9.150000000000000355e+00,1.602836929592090297e-10,2.135414160670140449e-01,2.616244485223941929e-01,5.634094287803726786e+00,5.549989645986613596e+00
9.199999999999999289e+00,1.548526774089913901e-10,2.345718670441077902e-01,2.887795262734824120e-01,5.633143222564804375e+00,5.527442227309045109e+00
9.250000000000000000e+00,1.489777480867414721e-10,2.571022603069078039e-01,3.181541728847319672e-01,5.639342130929215102e+00,5.513819136673163257e+00
9.300000000000000711e+00,1.426508979057837740e-10,2.812094801661231824e-01,3.497884237895204085e-01,5.651273949939117358e+00,5.506197765811968736e+00
9.349999999999999645e+00,1.358713670154686773e-10,3.068721285173511837e-01,3.836860782410958515e-01,5.668970751389956320e+00,5.504191785415308402e+00
9.400000000000000355e+00,1.286474283213728299e-10,3.340386901909958017e-01,4.198057717115751819e-01,5.692568263643785542e+00,5.507562549876553248e+00
9.449999999999999289e+00,1.209982701057743431e-10,3.626121265940404070e-01,4.580515627895676012e-01,5.722686091439541656e+00,5.516856541198272623e+00
9.500000000000000000e+00,1.129558803473743463e-10,3.924386970346603887e-01,4.982635115815675642e-01,5.759901628821701536e+00,5.532479474021648969e+00
9.550000000000000711e+00,1.045667952947529886e-10,4.233160081963956434e-01,5.402089368446743034e-01,5.804599570711488354e+00,5.554703042985480010e+00
9.599999999999999645e+00,9.589352812921560136e-11,4.549887519991836493e-01,5.835752726723613115e-01,5.857460292718855044e+00,5.584317157780390062e+00
9.650000000000000355e+00,8.701544666766479787e-11,4.871316454039785748e-01,6.279656799801152101e-01,5.918739822115512084e+00,5.621589984689194353e+00
9.699999999999999289e+00,7.802882953675290179e-11,5.193675246961573233e-01,6.728987656346746560e-01,5.988886947093490676e+00,5.666570265633126269e+00
9.750000000000000000e+00,6.904580912810818942e-11,5.512682027042774546e-01,7.178138676778983429e-01,6.069188826717976326e+00,5.720205924856578861e+00
9.800000000000000711e+00,6.019192133042748522e-11,5.823594810406695910e-01,7.620833066663018629e-01,6.161625817100663483e+00,5.785438862795587056e+00
9.849999999999999645e+00,5.160204308285612754e-11,6.121597944623968779e-01,8.050326979041587672e-01,6.266983902600316014e+00,5.862875268234958526e+00
9.900000000000000355e+00,4.341462498891763722e-11,6.401824701171037191e-01,8.459697883738511726e-01,6.384796230983461385e+00,5.950687884707392072e+00
9.949999999999999289e+00,3.576432752679477263e-11,6.659497596302620392e-01,8.842212756844654020e-01,6.515514882161141941e+00,6.048844119955568033e+00
1.000000000000000000e+01,2.877344275332498152e-11,6.890389002104688743e-01,9.191756995518143292e-01,6.659266375146607686e+00,6.157044048164223682e+00
1.005000000000000071e+01,2.254280455360114598e-11,7.091158719184945669e-01,9.503288905504335693e-01,6.815876222087140945e+00,6.274959344742605083e+00
